pair,mode,activate,distance,PF,WR,N,avgWin,avgLoss
USDJPY,fixed_tp,,,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.7,0.3,2.315,57.1,14,19.15,11.02
USDJPY,stage2,0.7,0.5,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.85,0.3,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.85,0.5,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.9,0.3,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.9,0.5,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.95,0.3,2.476,57.1,14,20.47,11.02
USDJPY,stage2,0.95,0.5,2.476,57.1,14,20.47,11.02
GBPJPY,fixed_tp,,,1.369,47.0,151,31.31,20.29
GBPJPY,stage2,0.7,0.3,1.265,52.0,152,23.68,20.26
GBPJPY,stage2,0.7,0.5,1.303,52.0,152,24.4,20.26
GBPJPY,stage2,0.8,0.3,1.251,48.7,152,26.91,20.41
GBPJPY,stage2,0.8,0.5,1.29,48.7,152,27.76,20.41
GBPJPY,stage2,0.85,0.3,1.311,48.0,152,28.83,20.32
GBPJPY,stage2,0.85,0.5,1.333,48.0,152,29.31,20.32
GBPJPY,stage2,0.9,0.3,1.338,47.0,151,30.6,20.29
GBPJPY,stage2,0.9,0.5,1.347,47.0,151,30.8,20.29
