pair,month,net_pip,net_jpy,n
GBPJPY,2015-12,113.3,1133,21
GBPJPY,2016-01,1485.4,14854,40
GBPJPY,2016-02,724.3,7243,30
GBPJPY,2016-03,-539.1,-5391,34
GBPJPY,2016-04,561.5,5615,28
GBPJPY,2016-05,-259.5,-2595,41
GBPJPY,2016-06,837.0,8370,30
GBPJPY,2016-07,0.0,0,0
GBPJPY,2016-08,0.0,0,0
GBPJPY,2016-09,0.0,0,0
GBPJPY,2016-10,0.0,0,0
GBPJPY,2016-11,0.0,0,0
GBPJPY,2016-12,0.0,0,0
GBPJPY,2017-01,0.0,0,0
GBPJPY,2017-02,0.0,0,0
GBPJPY,2017-03,0.0,0,0
GBPJPY,2017-04,0.0,0,0
GBPJPY,2017-05,0.0,0,0
GBPJPY,2017-06,0.0,0,0
GBPJPY,2017-07,0.0,0,0
GBPJPY,2017-08,0.0,0,0
GBPJPY,2017-09,-2514.1,-25141,6
GBPJPY,2017-10,-361.4,-3614,35
GBPJPY,2017-11,-206.4,-2064,26
GBPJPY,2017-12,-410.0,-4100,31
GBPJPY,2018-01,391.8,3918,33
GBPJPY,2018-02,852.4,8524,17
GBPJPY,2018-03,-465.4,-4654,31
GBPJPY,2018-04,229.1,2291,27
GBPJPY,2018-05,888.5,8885,23
GBPJPY,2018-06,-1148.0,-11480,34
GBPJPY,2018-07,224.7,2247,35
GBPJPY,2018-08,350.2,3502,40
GBPJPY,2018-09,319.3,3193,31
GBPJPY,2018-10,-531.1,-5311,37
GBPJPY,2018-11,189.3,1893,25
GBPJPY,2018-12,379.8,3798,26
GBPJPY,2019-01,-251.5,-2515,41
GBPJPY,2019-02,133.9,1339,24
GBPJPY,2019-03,-327.3,-3273,27
GBPJPY,2019-04,-176.1,-1761,25
GBPJPY,2019-05,1378.5,13785,28
GBPJPY,2019-06,-649.6,-6496,31
GBPJPY,2019-07,-541.4,-5414,26
GBPJPY,2019-08,402.5,4025,30
GBPJPY,2019-09,884.7,8847,40
GBPJPY,2019-10,321.0,3210,21
GBPJPY,2019-11,0.0,0,0
GBPJPY,2019-12,464.9,4649,26
GBPJPY,2020-01,123.5,1235,32
GBPJPY,2020-02,-34.1,-341,42
GBPJPY,2020-03,656.2,6562,26
GBPJPY,2020-04,228.2,2282,12
