pair,variant,net_yr,mc_dd99,worst_gap,req_cap_99,cap_eff,p_loss_5yr,oos_sharpe,oos_calmar,oos_maxdd,ins_cost_nonc,crash_offset,hedge_lot
USDJPY,baseline,88082.6143179373,2621071.784249992,1233372.0000000005,2621071.784249992,0.03360557114353957,0.27385,0.45,0.13,932318.0,0.0,0.0,
USDJPY,A_derisk_COMB,67518.91936627253,2564994.569392851,1233372.0000000005,2564994.569392851,0.026323221176353072,0.313,0.45,0.13,932318.0,-20564.0,0.0,
USDJPY,A_derisk_D1,67518.91936627253,2586355.627860718,1233372.0000000005,2586355.627860718,0.026105814157552736,0.3139,0.45,0.13,932318.0,-20564.0,0.0,
USDJPY,A_derisk_D3,67518.91936627253,2589230.3184642843,1233372.0000000005,2589230.3184642843,0.026076830201153804,0.31165,0.45,0.13,932318.0,-20564.0,0.0,
USDJPY,B_hedge_cal,101731.42233299061,2533447.527639285,1233372.0000000005,2533447.527639285,0.04015533032483443,0.25415,0.6,0.21,835238.0,51160.0,150980.0,0.2
USDJPY,B_hedge_0.5,127907.82521068874,2704775.4160392787,1233372.0000000005,2704775.4160392787,0.04728962872562254,0.2373,0.7,0.35,721048.0,127900.0,377450.0,0.5
USDJPY,B_hedge_1.0,171535.1633401857,3203181.138178556,1233372.0000000005,3203181.138178556,0.053551502690767826,0.2472,0.71,0.38,996355.0,255800.0,754900.0,1.0
USDJPY,B_hedge_2.0,258789.83959917963,4457083.401221403,1233372.0000000005,4457083.401221403,0.05806259751124733,0.2763,0.66,0.35,1824855.0,511600.0,1509800.0,2.0
USDJPY,carryoff_cal,84280.56264718455,2532432.809577362,1233372.0000000005,2532432.809577362,0.03328047335686277,0.2785,0.45,0.13,932318.0,-1.0,2.0,
NZDJPY,baseline,189606.74240204203,4048480.0811178656,1711263.1199999985,4048480.0811178656,0.04683405589331388,0.26745,0.79,0.33,919323.0,0.0,0.0,
NZDJPY,A_derisk_COMB,176856.53565112894,4161970.159914059,1711263.1199999985,4161970.159914059,0.04249346555977731,0.2825,0.8,0.34,919323.0,-12750.0,0.0,
NZDJPY,A_derisk_D1,188456.5130249206,3981574.146003212,1711263.1199999985,3981574.146003212,0.0473321621334359,0.27515,0.8,0.34,919323.0,-1150.0,0.0,
NZDJPY,A_derisk_D3,175735.22845456618,4124334.9225899912,1711263.1199999985,4124334.9225899912,0.04260934956858652,0.2837,0.8,0.34,919323.0,-13872.0,0.0,
NZDJPY,B_hedge_cal,216520.80188785042,3221949.331516043,1711263.1199999985,3221949.331516043,0.067201802266074,0.22685,0.61,0.26,1171999.0,-1163295.0,1569853.0,0.94
NZDJPY,B_hedge_0.5,200097.64077317753,3465307.1634271387,1711263.1199999985,3465307.1634271387,0.05774311809498695,0.24265,0.72,0.3,1011292.0,-618971.0,835294.0,0.5
NZDJPY,B_hedge_1.0,218773.0028451205,3309112.5975590334,1711263.1199999985,3309112.5975590334,0.0661122873263661,0.22765,0.59,0.25,1194038.0,-1237942.0,1670588.0,1.0
NZDJPY,B_hedge_2.0,256123.72698900648,3598022.4417860606,1711263.1199999985,3598022.4417860606,0.07118458295714979,0.2454,0.39,0.17,1795994.0,-2475884.0,3341175.0,2.0
NZDJPY,carryoff_cal,223635.3162913894,3582605.123417877,1711263.1199999985,3582605.123417877,0.062422541303697135,0.22095,0.74,0.34,925013.0,-571332.0,1060300.0,
