pair,n,lag-3,lag-2,lag-1,lag+0,lag+1,lag+2,lag+3
XAUUSD->AUD,2176,-0.013,0.024,-0.006,0.334,0.014,0.036,0.041
XAUUSD->CHF,2176,-0.023,0.032,0.027,0.363,0.036,0.022,0.049
COPPER->AUD,2172,0.005,0.063,-0.004,0.415,0.013,0.038,-0.009
COPPER->NZD,2172,-0.001,0.053,0.004,0.339,0.008,0.007,-0.003
WTI->CAD,2168,-0.031,0.031,0.019,0.365,0.003,-0.053,0.045
BRENT->CAD,1831,0.015,0.016,0.026,0.393,0.017,-0.022,0.056
XAGUSD->AUD,2176,-0.005,0.04,0.002,0.406,0.009,0.08,0.052
XAUUSD->NZD,2176,-0.015,0.006,-0.0,0.355,0.015,0.02,0.028
WTI->AUD,2168,-0.042,0.043,-0.021,0.223,-0.013,-0.042,0.055
METAL-OIL->AUDCAD,2034,0.003,-0.022,0.037,0.11,0.026,0.015,-0.025
COPPER-OIL->AUDCAD,2032,0.032,-0.017,0.056,0.141,0.015,0.021,-0.03
OIL-METAL->CADCHF,2168,-0.007,0.026,0.008,0.329,-0.042,-0.039,0.048
