pair,W,H,corr
XAUUSD->AUD,1,1,0.038
XAUUSD->AUD,1,5,0.018
XAUUSD->AUD,1,20,-0.009
XAUUSD->AUD,5,1,0.018
XAUUSD->AUD,5,5,-0.056
XAUUSD->AUD,5,20,-0.067
XAUUSD->AUD,20,1,-0.002
XAUUSD->AUD,20,5,-0.052
XAUUSD->AUD,20,20,-0.0
XAUUSD->CHF,1,1,0.024
XAUUSD->CHF,1,5,0.019
XAUUSD->CHF,1,20,0.004
XAUUSD->CHF,5,1,0.019
XAUUSD->CHF,5,5,-0.011
XAUUSD->CHF,5,20,-0.034
XAUUSD->CHF,20,1,-0.002
XAUUSD->CHF,20,5,-0.034
XAUUSD->CHF,20,20,-0.042
COPPER->AUD,1,1,0.038
COPPER->AUD,1,5,-0.002
COPPER->AUD,1,20,-0.022
COPPER->AUD,5,1,-0.001
COPPER->AUD,5,5,-0.052
COPPER->AUD,5,20,-0.057
COPPER->AUD,20,1,-0.026
COPPER->AUD,20,5,-0.067
COPPER->AUD,20,20,-0.048
COPPER->NZD,1,1,0.007
COPPER->NZD,1,5,-0.001
COPPER->NZD,1,20,-0.016
COPPER->NZD,5,1,-0.001
COPPER->NZD,5,5,-0.023
COPPER->NZD,5,20,-0.038
COPPER->NZD,20,1,-0.02
COPPER->NZD,20,5,-0.054
COPPER->NZD,20,20,-0.077
WTI->CAD,1,1,-0.05
WTI->CAD,1,5,-0.001
WTI->CAD,1,20,0.032
WTI->CAD,5,1,-0.0
WTI->CAD,5,5,0.047
WTI->CAD,5,20,0.066
WTI->CAD,20,1,0.03
WTI->CAD,20,5,0.055
WTI->CAD,20,20,0.031
