corr_window,z_entry,z_exit,hold_period,tp_mult,sl_mult,n,wins,losses,win_rate,pf,avg_hold,max_dd,gross_profit,gross_loss
30,0.8,0.0,5,2.5,1.5,143,63,80,44.1,0.812,6.0,-0.157952,0.424927,0.523184
30,0.8,0.0,10,2.5,1.5,93,44,49,47.3,0.883,9.8,-0.149452,0.401312,0.454706
30,0.8,0.0,15,2.5,1.5,75,31,44,41.3,0.727,12.9,-0.196471,0.326408,0.448677
30,0.8,0.0,20,2.5,1.5,72,25,47,34.7,0.762,14.4,-0.195691,0.355379,0.466192
30,0.8,0.3,5,2.5,1.5,145,67,78,46.2,0.859,5.4,-0.152409,0.438748,0.510638
30,0.8,0.3,10,2.5,1.5,99,52,47,52.5,0.845,8.0,-0.157444,0.367837,0.435311
30,0.8,0.3,15,2.5,1.5,88,43,45,48.9,0.788,9.2,-0.168721,0.33576,0.425945
30,0.8,0.3,20,2.5,1.5,86,42,44,48.8,0.773,9.4,-0.16727,0.3311,0.428422
30,0.8,0.5,5,2.5,1.5,147,70,77,47.6,0.843,5.0,-0.145286,0.42453,0.503658
30,0.8,0.5,10,2.5,1.5,103,57,46,55.3,0.85,7.3,-0.141066,0.365923,0.430421
30,0.8,0.5,15,2.5,1.5,95,51,44,53.7,0.799,7.9,-0.147279,0.339741,0.424975
30,0.8,0.5,20,2.5,1.5,94,51,43,54.3,0.799,8.0,-0.147279,0.337281,0.422035
30,1.0,0.0,5,2.5,1.5,131,56,75,42.7,0.786,5.9,-0.151755,0.368787,0.469256
30,1.0,0.0,10,2.5,1.5,87,41,46,47.1,0.845,10.0,-0.150897,0.359844,0.425615
30,1.0,0.0,15,2.5,1.5,73,30,43,41.1,0.742,12.8,-0.182559,0.313447,0.422557
30,1.0,0.0,20,2.5,1.5,71,25,46,35.2,0.802,14.4,-0.179518,0.35541,0.442971
30,1.0,0.3,5,2.5,1.5,132,60,72,45.5,0.875,5.4,-0.135055,0.394508,0.45091
30,1.0,0.3,10,2.5,1.5,92,49,43,53.3,0.88,8.1,-0.145906,0.345862,0.392907
30,1.0,0.3,15,2.5,1.5,84,42,42,50.0,0.859,9.1,-0.150927,0.338102,0.39377
30,1.0,0.3,20,2.5,1.5,82,42,40,51.2,0.851,9.5,-0.150054,0.334549,0.393202
30,1.0,0.5,5,2.5,1.5,134,62,72,46.3,0.876,5.2,-0.130687,0.395955,0.452012
30,1.0,0.5,10,2.5,1.5,95,51,44,53.7,0.864,7.5,-0.129528,0.347201,0.402048
30,1.0,0.5,15,2.5,1.5,88,46,42,52.3,0.82,8.2,-0.129485,0.327338,0.399245
30,1.0,0.5,20,2.5,1.5,87,47,40,54.0,0.829,8.3,-0.130063,0.325985,0.39326
30,1.2,0.0,5,2.5,1.5,114,48,66,42.1,0.767,6.0,-0.128107,0.311839,0.406661
30,1.2,0.0,10,2.5,1.5,79,36,43,45.6,0.807,10.0,-0.141745,0.307405,0.380752
30,1.2,0.0,15,2.5,1.5,70,27,43,38.6,0.781,12.8,-0.186833,0.327418,0.419351
30,1.2,0.0,20,2.5,1.5,66,23,43,34.8,0.8,14.9,-0.2029,0.326504,0.408065
30,1.2,0.3,5,2.5,1.5,115,50,65,43.5,0.821,5.7,-0.10834,0.331482,0.403696
30,1.2,0.3,10,2.5,1.5,83,42,41,50.6,0.802,8.4,-0.133587,0.301541,0.375938
30,1.2,0.3,15,2.5,1.5,77,38,39,49.4,0.864,9.6,-0.139435,0.32242,0.373332
30,1.2,0.3,20,2.5,1.5,75,38,37,50.7,0.855,10.0,-0.138562,0.318867,0.372764
30,1.2,0.5,5,2.5,1.5,117,51,66,43.6,0.828,5.5,-0.110694,0.337412,0.407736
30,1.2,0.5,10,2.5,1.5,85,43,42,50.6,0.78,7.9,-0.127348,0.301976,0.387344
30,1.2,0.5,15,2.5,1.5,80,41,39,51.2,0.818,8.7,-0.127348,0.314077,0.383827
30,1.2,0.5,20,2.5,1.5,79,42,37,53.2,0.828,8.8,-0.127348,0.312724,0.377842
30,1.5,0.0,5,2.5,1.5,87,36,51,41.4,0.873,6.0,-0.092785,0.283357,0.324483
30,1.5,0.0,10,2.5,1.5,66,28,38,42.4,0.895,10.1,-0.12019,0.300986,0.336383
30,1.5,0.0,15,2.5,1.5,61,26,35,42.6,1.009,12.7,-0.107514,0.34335,0.34034
30,1.5,0.0,20,2.5,1.5,59,24,35,40.7,1.121,14.3,-0.129637,0.380326,0.339365
30,1.5,0.3,5,2.5,1.5,87,36,51,41.4,0.831,5.7,-0.107302,0.269715,0.324483
30,1.5,0.3,10,2.5,1.5,68,32,36,47.1,0.891,8.4,-0.107614,0.28027,0.314619
30,1.5,0.3,15,2.5,1.5,65,33,32,50.8,1.058,9.6,-0.104143,0.320337,0.302669
30,1.5,0.3,20,2.5,1.5,64,33,31,51.6,1.007,10.0,-0.111005,0.312487,0.310414
30,1.5,0.5,5,2.5,1.5,88,36,52,40.9,0.845,5.5,-0.104146,0.277441,0.328523
30,1.5,0.5,10,2.5,1.5,69,32,37,46.4,0.822,8.0,-0.113615,0.268024,0.326025
30,1.5,0.5,15,2.5,1.5,68,34,34,50.0,0.915,8.7,-0.103246,0.301072,0.329072
30,1.5,0.5,20,2.5,1.5,67,35,32,52.2,0.914,9.0,-0.103246,0.295422,0.323087
30,2.0,0.0,5,2.5,1.5,40,18,22,45.0,1.199,6.5,-0.057508,0.129311,0.107858
30,2.0,0.0,10,2.5,1.5,35,16,19,45.7,1.047,10.5,-0.071214,0.163367,0.156039
30,2.0,0.0,15,2.5,1.5,35,16,19,45.7,1.208,12.9,-0.055136,0.215542,0.1784
30,2.0,0.0,20,2.5,1.5,35,16,19,45.7,1.162,14.6,-0.06644,0.218503,0.188087
30,2.0,0.3,5,2.5,1.5,40,18,22,45.0,1.21,6.3,-0.057508,0.130502,0.107858
30,2.0,0.3,10,2.5,1.5,36,17,19,47.2,1.023,9.2,-0.065807,0.1597,0.156039
30,2.0,0.3,15,2.5,1.5,36,18,18,50.0,1.115,10.9,-0.05225,0.18729,0.167976
30,2.0,0.3,20,2.5,1.5,36,19,17,52.8,1.102,11.3,-0.053522,0.18956,0.172036
30,2.0,0.5,5,2.5,1.5,40,18,22,45.0,1.22,6.2,-0.056315,0.131569,0.107858
30,2.0,0.5,10,2.5,1.5,36,17,19,47.2,0.99,9.0,-0.068469,0.154469,0.156039
30,2.0,0.5,15,2.5,1.5,36,19,17,52.8,1.174,10.3,-0.052157,0.189692,0.161556
30,2.0,0.5,20,2.5,1.5,36,20,16,55.6,1.187,10.7,-0.050237,0.191962,0.16178
60,0.8,0.0,5,2.5,1.5,133,57,76,42.9,0.826,5.8,-0.161592,0.401126,0.485617
60,0.8,0.0,10,2.5,1.5,86,41,45,47.7,0.818,9.7,-0.171936,0.334409,0.408825
60,0.8,0.0,15,2.5,1.5,72,31,41,43.1,0.811,11.9,-0.170245,0.329927,0.406691
60,0.8,0.0,20,2.5,1.5,66,26,40,39.4,0.839,13.8,-0.176652,0.331466,0.394977
60,0.8,0.3,5,2.5,1.5,133,57,76,42.9,0.76,5.5,-0.168653,0.368614,0.485271
60,0.8,0.3,10,2.5,1.5,87,43,44,49.4,0.731,8.6,-0.172391,0.297955,0.40741
60,0.8,0.3,15,2.5,1.5,74,34,40,45.9,0.735,10.1,-0.176452,0.296621,0.403717
60,0.8,0.3,20,2.5,1.5,70,30,40,42.9,0.716,10.8,-0.173261,0.283643,0.396336
60,0.8,0.5,5,2.5,1.5,136,62,74,45.6,0.785,5.2,-0.152099,0.384543,0.489976
60,0.8,0.5,10,2.5,1.5,90,46,44,51.1,0.712,8.0,-0.159447,0.295576,0.4149
60,0.8,0.5,15,2.5,1.5,79,37,42,46.8,0.722,9.1,-0.158975,0.297909,0.412601
60,0.8,0.5,20,2.5,1.5,74,34,40,45.9,0.696,9.7,-0.156742,0.275674,0.396009
60,1.0,0.0,5,2.5,1.5,115,48,67,41.7,0.725,5.9,-0.162276,0.300972,0.415239
