date,pair,direction,cot_index,entry,exit,result,hold_days,pnl_raw
2023-08-18,EURUSD,SHORT,87.1,1.087559461593628,1.0811155674204744,TP1,2,0.006443894173153497
2023-08-25,EURUSD,SHORT,99.9,1.0797386169433594,1.0898960940536144,SL,2,-0.010157477110255053
2023-09-01,EURUSD,SHORT,96.8,1.07758629322052,1.0690273558112648,TP1,3,0.008558937409255174
2023-09-08,EURUSD,SHORT,92.6,1.071811318397522,1.0643657151763473,TP1,4,0.0074456032211747125
2023-09-15,EURUSD,SHORT,82.3,1.0668259859085083,1.0593798681462299,TP1,5,0.007446117762278437
2023-09-29,EURUSD,SHORT,80.8,1.0565240383148191,1.0483613700340824,TP1,1,0.008162668280736751
2023-10-06,EURUSD,SHORT,82.1,1.056747317314148,1.0564459562301636,TIMEOUT,14,0.000301361083984375
2023-12-08,EURUSD,SHORT,81.0,1.0765769481658936,1.0876838621438085,SL,3,-0.011106913977914967
2024-01-19,EURUSD,SHORT,80.8,1.089229702949524,1.083251426344409,TP1,1,0.005978276605114852
2024-06-07,EURUSD,SHORT,81.2,1.077888250350952,1.0706023450647553,TP1,4,0.007285905286196659
2024-10-11,EURUSD,SHORT,83.8,1.0925379991531372,1.0866859027343703,TP1,3,0.005852096418766939
2025-01-24,EURUSD,LONG,14.4,1.0467586517333984,1.032686687926716,SL,5,-0.014071963806682408
2025-10-17,EURUSD,SHORT,80.9,1.165745735168457,1.1582588112730083,TP1,2,0.007486923895448694
2025-10-24,EURUSD,SHORT,81.1,1.1631693840026855,1.1571867103696187,TP1,3,0.005982673633066815
2026-01-09,EURUSD,SHORT,94.6,1.162493348121643,1.1708596408545757,SL,6,-0.008366292732932656
2026-02-27,EURUSD,SHORT,81.2,1.176014065742493,1.1621784002027824,TP2,1,0.013835665539710496
2023-08-04,GBPUSD,SHORT,80.0,1.2751199007034302,1.2632749514074872,TP1,5,0.01184494929594293
2023-08-11,GBPUSD,SHORT,84.4,1.2695027589797974,1.2592336156959176,TP1,9,0.010269143283879734
2023-08-18,GBPUSD,SHORT,94.3,1.2741774320602417,1.2654389446678773,TP1,2,0.00873848739236438
2023-08-25,GBPUSD,SHORT,94.6,1.2591921091079712,1.273802096586258,SL,2,-0.01460998747828679
2023-09-01,GBPUSD,SHORT,91.7,1.2591286897659302,1.249177456265282,TP1,2,0.009951233500648193
2023-09-08,GBPUSD,SHORT,95.2,1.248907208442688,1.2393724983716052,TP1,4,0.009534710071082753
2023-09-15,GBPUSD,SHORT,92.3,1.2397565841674805,1.2312853960978147,TP1,3,0.008471188069665736
2023-09-22,GBPUSD,SHORT,100.0,1.2242748737335205,1.2152500792448755,TP1,2,0.009024794488645016
2023-09-29,GBPUSD,SHORT,100.0,1.2191107273101809,1.2093910871481028,TP1,1,0.009719640162078047
2023-10-06,GBPUSD,SHORT,93.4,1.222195029258728,1.2117177288078465,TP1,8,0.010477300450881577
2024-04-05,GBPUSD,SHORT,90.3,1.26262629032135,1.2548153895762126,TP1,2,0.007810900745137461
2024-05-17,GBPUSD,LONG,5.2,1.270793318748474,1.2782345233400632,TP1,6,0.007441204591589257
2024-05-24,GBPUSD,LONG,16.8,1.2734473943710327,1.2802015271059037,TP1,6,0.006754132734871021
2024-08-02,GBPUSD,SHORT,88.2,1.278821349143982,1.2707296313827228,TP1,1,0.008091717761259165
2024-10-11,GBPUSD,SHORT,82.2,1.3049379587173462,1.2966136804692963,TP1,6,0.008324278248049932
2025-12-05,GBPUSD,LONG,17.8,1.3326581716537476,1.340957715610657,TP1,3,0.00829954395690935
2025-12-12,GBPUSD,LONG,19.5,1.336844801902771,1.3443812999033125,TP1,1,0.007536498000541458
2023-07-14,USDJPY,SHORT,15.4,138.6820068359375,141.19506671838224,SL,4,-2.513059882444736
2023-12-01,USDJPY,SHORT,8.2,146.39300537109375,144.84793144555726,TP1,3,1.5450739255364851
2023-12-08,USDJPY,SHORT,9.2,144.98300170898438,142.92830691772664,TP1,3,2.054694791257731
2023-12-15,USDJPY,SHORT,12.7,142.31300354003906,140.4067859438322,TP1,8,1.906217596206858
2023-12-22,USDJPY,SHORT,16.8,142.3419952392578,140.66534047170242,TP1,3,1.676654767555391
2023-12-29,USDJPY,SHORT,16.5,140.95199584960938,142.97346313304746,SL,2,-2.021467283438085
2024-01-05,USDJPY,SHORT,16.0,144.71600341796875,147.3174696537496,SL,7,-2.601466235780862
2024-03-08,USDJPY,SHORT,7.2,146.7740020751953,148.74253288729966,SL,4,-1.9685308121043477
2024-10-04,USDJPY,LONG,100.0,148.82000732421875,151.24046903410962,TP1,12,2.4204617098908727
2024-10-11,USDJPY,LONG,100.0,149.33399963378906,152.93671135116207,TP2,7,3.602711717373012
2024-10-18,USDJPY,LONG,100.0,149.60000610351562,150.97899380659487,TP1,1,1.3789877030792468
2024-10-25,USDJPY,LONG,97.8,152.95199584960938,154.55202871183178,TP1,7,1.600032862222406
2024-11-01,USDJPY,LONG,89.2,152.28700256347656,153.62799955548655,TP1,2,1.3409969920099911
2024-11-08,USDJPY,LONG,81.5,152.9040069580078,154.62071410151773,TP1,1,1.7167071435099217
2025-06-20,USDJPY,LONG,86.1,146.2239990234375,143.94049296175245,SL,3,-2.2835060616850456
2025-07-11,USDJPY,LONG,81.1,147.2949981689453,148.7333206089915,TP1,1,1.4383224400461927
2026-01-23,USDJPY,SHORT,17.4,155.18699645996094,153.5693143849504,TP1,1,1.6176820750105492
