exit_mode,z_stop,vt_th,is_pf,oos_pf,full_pf,wfo_min,oos_net,oos_dd,oos_n,all_fold_gt1,sign_reversal,selectable
A,4.0,1.01,0.43025711131553446,0.4062866606492627,0.43736471130800975,0.19067413134912012,-5475.083640301777,5490.861140301779,353,False,True,False
A,4.0,0.5,0.37520061806859367,0.3736860181581001,0.39066969339096397,0.1646778605209089,-4176.526874713933,4192.304374713933,353,False,True,False
A,4.0,0.6,0.36454138127417907,0.3959285133604084,0.3917077721342171,0.1719827131910202,-4176.601955161557,4192.379455161561,353,False,True,False
A,4.0,0.7,0.3667230746195415,0.4054731150373374,0.39739755435197055,0.15570840736891728,-4457.840600593198,4473.618100593204,353,False,True,False
A,4.0,0.8,0.41870102408105875,0.41470503881605686,0.4333000918252948,0.15374797646970478,-4526.588460746755,4542.36596074676,353,False,True,False
A,4.0,0.9,0.4190520736326787,0.4299589661285286,0.43984563988738606,0.1955016050023494,-4623.533155735761,4639.310655735765,353,False,True,False
A,4.5,1.01,0.3233860135512393,0.4314550294004588,0.37577391304377517,0.2811207020719744,-6209.49553375458,6225.273033754577,310,False,True,False
A,4.5,0.5,0.2698705192551654,0.4113632156551345,0.3319126608910038,0.2488152229809421,-4606.0534495311085,4621.83094953111,310,False,True,False
A,4.5,0.6,0.2660651637816078,0.4232141900982096,0.3324457797201033,0.2976356154409369,-4677.359380655254,4693.136880655257,310,False,True,False
A,4.5,0.7,0.2765196399124807,0.4262337817127817,0.3433544489116045,0.25589855004719764,-5102.658429319046,5118.4359293190455,310,False,True,False
A,4.5,0.8,0.31745070312703394,0.4366552018507336,0.37339132012640003,0.2743452805515086,-5159.793706866065,5175.571206866064,310,False,True,False
A,4.5,0.9,0.31909184554210906,0.4472490154389338,0.3789751436244851,0.2996653445416957,-5250.077948808742,5265.855448808741,310,False,True,False
A,5.0,1.01,0.28240758828025353,0.3426505647170905,0.3177173489741452,0.27337320489828754,-7808.148324923538,7823.925824923538,293,False,True,False
A,5.0,0.5,0.2385988120833241,0.32504074802168154,0.2807619888510943,0.23393458026082706,-5802.465448449679,5818.242948449677,293,False,True,False
A,5.0,0.6,0.23629763220290007,0.33832102971143396,0.28410449088934514,0.24396021422637768,-5924.074055618007,5939.851555618006,293,False,True,False
A,5.0,0.7,0.24647143842067243,0.3480979110003348,0.29611057412756375,0.24963313318606561,-6310.799360262385,6326.576860262383,293,False,True,False
A,5.0,0.8,0.2644740136358878,0.364145572601869,0.3132070874067303,0.26735346481890265,-6291.458369883554,6307.2358698835515,293,False,True,False
A,5.0,0.9,0.257957019472423,0.37670443758515776,0.31271448324118906,0.2920383559076855,-6372.911708153195,6388.689208153192,293,False,True,False
B,4.0,1.01,0.4412057046120297,0.38241136209501303,0.4354012184987654,0.18751234347845605,-5583.388083697162,5599.165583697166,353,False,True,False
B,4.0,0.5,0.37752672716901303,0.35026959680872966,0.38385672209095617,0.16086772088102425,-4232.083554887893,4247.861054887893,353,False,True,False
B,4.0,0.6,0.36446367509256455,0.37244707741960054,0.3837278128180056,0.16820932469111516,-4241.794287363786,4257.571787363789,353,False,True,False
B,4.0,0.7,0.3645959836318231,0.37264410988522584,0.3843755219873398,0.1526089286114662,-4606.866969168794,4622.6444691687975,353,False,True,False
B,4.0,0.8,0.4148932548907245,0.3830856889542356,0.4196848650204925,0.15072529618933936,-4675.61482932235,4691.392329322353,353,False,True,False
B,4.0,0.9,0.41543835056663686,0.4048520094745034,0.42898805065172385,0.1917419548473262,-4701.041004969862,4716.818504969865,353,False,True,False
B,4.5,1.01,0.32989039102740003,0.34794928340476877,0.3515552519592046,0.1921296396126612,-6866.9667905864735,6882.744290586475,310,False,True,False
B,4.5,0.5,0.27364512864420515,0.32359598259305317,0.3058916987778362,0.15703507389648202,-5089.190609063606,5104.968109063608,310,False,True,False
B,4.5,0.6,0.2701950502741183,0.3336855357462776,0.30675693909437435,0.1915579595930562,-5202.7792735283165,5218.556773528319,310,False,True,False
B,4.5,0.7,0.27729835494305916,0.3356149985481729,0.3135815149474581,0.17027031586001948,-5659.63788774925,5675.415387749251,310,False,True,False
B,4.5,0.8,0.31714550092327504,0.34437717782688887,0.34230286224324047,0.16893006496838908,-5760.788515070018,5776.566015070018,310,False,True,False
B,4.5,0.9,0.3166849217257847,0.3605800769778091,0.3485760258105666,0.19657150549350608,-5814.543134006488,5830.320634006489,310,False,True,False
B,5.0,1.01,0.30666742689783866,0.2759233420715671,0.30874802705628535,0.18892707697083563,-8234.46699973531,8250.24449973531,293,False,True,False
B,5.0,0.5,0.25487517533691734,0.2572026102080617,0.2689551750821032,0.15134285054254823,-6055.285367926314,6071.062867926312,293,False,True,False
B,5.0,0.6,0.2522618818854041,0.2678856180213094,0.271619088193879,0.18404760244507257,-6209.569016580466,6225.346516580464,293,False,True,False
B,5.0,0.7,0.2594527769814808,0.27228624760055403,0.27853563840120527,0.16835316432334718,-6688.028517300751,6703.806017300749,293,False,True,False
B,5.0,0.8,0.28103237982872376,0.2834704201983022,0.2964313051649682,0.16683663894443354,-6740.076609970222,6755.8541099702215,293,False,True,False
B,5.0,0.9,0.2760642933064421,0.3008362013631273,0.30021742702473453,0.19413909067865495,-6785.0003252336555,6800.777825233654,293,False,True,False
