pair,lb,adx,er_n,er_th,dir,full_pf,full_n,full_net,full_sh,full_dd,is_pf,is_n,oos_pf,oos_n,wfo_min,wfo_med,yr_pos,PASS
GBPJPY,60,0,0,0.0,both,0.582,405,-23557.6,-4.23,95.3,0.702,228,0.453,177,0.11,0.41,17.0,
GBPJPY,60,0,0,0.0,long,0.569,207,-12267.8,-3.34,50.4,0.535,105,0.598,102,0.14,0.73,25.0,
GBPJPY,60,0,20,0.3,both,0.732,210,-7572.5,-1.7,33.9,0.86,129,0.553,81,0.0,0.44,33.0,
GBPJPY,60,0,20,0.3,long,0.615,112,-6010.8,-2.24,24.7,0.574,60,0.656,52,0.0,0.43,17.0,
GBPJPY,60,0,20,0.4,both,0.81,119,-2850.1,-0.47,10.9,0.924,75,0.664,44,0.48,0.74,33.0,
GBPJPY,60,0,20,0.4,long,0.924,64,-507.7,-0.53,7.2,0.993,35,0.871,29,0.65,1.12,45.0,
GBPJPY,60,0,30,0.35,both,0.71,78,-3657.7,-0.77,12.6,0.834,50,0.51,28,0.23,0.46,27.0,
GBPJPY,60,0,30,0.35,long,0.882,39,-623.4,-0.39,7.5,1.044,21,0.713,18,0.23,0.34,27.0,
GBPJPY,60,20,0,0.0,both,0.583,307,-18522.6,-3.85,81.3,0.712,177,0.441,130,0.01,0.44,17.0,
GBPJPY,60,20,0,0.0,long,0.543,158,-9958.6,-3.26,41.5,0.485,82,0.594,76,0.02,0.51,8.0,
GBPJPY,60,20,20,0.3,both,0.791,175,-4894.0,-1.29,26.6,0.897,111,0.626,64,0.0,0.46,33.0,
GBPJPY,60,20,20,0.3,long,0.706,90,-3534.6,-1.55,16.4,0.602,52,0.83,38,0.0,0.51,27.0,
GBPJPY,60,20,20,0.4,both,0.846,106,-2150.4,-0.24,9.7,0.957,67,0.701,39,0.55,0.72,42.0,
GBPJPY,60,20,20,0.4,long,1.001,55,4.4,-0.23,6.0,1.034,31,0.973,24,0.77,0.81,55.0,
GBPJPY,60,20,30,0.35,both,0.749,71,-2881.4,-0.56,10.7,0.851,46,0.577,25,0.23,0.51,36.0,
GBPJPY,60,20,30,0.35,long,1.001,34,6.6,-0.17,6.4,1.079,19,0.909,15,0.23,0.39,40.0,
