pair,sizing_mode,n,z_in,z_tp,z_stop,max_hold,is_pf,is_n,is_net,is_dd,oos_pf,oos_n,oos_net,oos_dd,oos_wr,oos_avglot,wfo_min
AUDCAD,fixed,20,2.0,0.0,4.0,24,0.9777176665595761,2141,-446.8784849077897,2213.330586212224,0.9802912638505118,1462,-247.4707387748834,838.2345847910602,0.5697674418604651,1.0,0.930295393642027
AUDCAD,zscale,20,2.0,0.0,4.0,24,0.9757866924316434,2141,-700.5150940033823,3217.984400868405,0.9930815985501484,1462,-126.56134909378594,1171.525214006004,0.5697674418604651,1.4649356778607205,0.9580229514022178
AUDCAD,voladj,20,2.0,0.0,4.0,24,0.9626674213173688,2141,-626.6539378325765,1959.599325652104,0.9884937935637241,1462,-117.16940451564307,618.1831438480262,0.5697674418604651,0.8211354309165527,0.9490584178322786
AUDCAD,combo,20,2.0,0.0,4.0,24,0.9653380596838904,2141,-831.759322975666,2769.800844280181,1.0076809201778987,1462,113.32804582148879,891.2145393591389,0.5697674418604651,1.2037278399998645,0.9334278824042666
AUDCAD,fixed,20,2.0,0.0,4.0,48,0.9879276198744659,2121,-238.66160265280587,2159.166979145452,0.9895565484324312,1454,-128.67631242383047,681.0155082833994,0.5687757909215956,1.0,0.9355322353615001
AUDCAD,zscale,20,2.0,0.0,4.0,48,0.9884758335748047,2121,-328.3747162898446,3117.09007449414,1.000610296125664,1454,10.986628020400872,962.0669285619349,0.5687757909215956,1.4655285464083836,0.9363057317344238
AUDCAD,voladj,20,2.0,0.0,4.0,48,0.9741127428044768,2121,-428.0383433454168,1786.9792112459124,0.9962381712339714,1454,-37.66301292649274,577.8706438480262,0.5687757909215956,0.8215268225584594,0.9271239863358754
AUDCAD,combo,20,2.0,0.0,4.0,48,0.9803801724171957,2121,-462.92347349292834,2529.8469095405244,1.011480867663301,1454,167.46673284492823,849.3397759962792,0.5687757909215956,1.204822232184238,0.8959919098239799
AUDCAD,fixed,20,2.0,1.0,4.0,24,0.8607825339909749,2458,-2164.1925841732796,2418.596920410724,0.8692861258843383,1673,-1241.1222415731957,1662.154303738644,0.5851763299462044,1.0,0.7242971374010017
AUDCAD,zscale,20,2.0,1.0,4.0,24,0.8510796874541986,2458,-3388.084415605308,3660.7185043933728,0.8755238920804908,1673,-1737.0880338093277,2337.105721916357,0.5851763299462044,1.450907793525359,0.7149094549183517
AUDCAD,voladj,20,2.0,1.0,4.0,24,0.8526751828434749,2458,-1904.8880493750905,2173.1217343197395,0.875111152181006,1673,-963.150208028495,1225.6452359829602,0.5851763299462044,0.8212791392707711,0.7393676938730587
AUDCAD,combo,20,2.0,1.0,4.0,24,0.8452413905632364,2458,-2907.964470029037,3209.976069981424,0.8887704074187098,1673,-1254.0307000105367,1696.8116584491495,0.5851763299462044,1.191761692007645,0.7258501129788887
AUDCAD,fixed,20,2.0,1.0,4.0,48,0.8607825339909749,2458,-2164.1925841732796,2418.596920410724,0.8696165479026255,1673,-1237.5145113367523,1658.5465735022008,0.5851763299462044,1.0,0.7242971374010017
AUDCAD,zscale,20,2.0,1.0,4.0,48,0.8510796874541986,2458,-3388.084415605308,3660.7185043933728,0.8759147322681261,1673,-1730.861114897311,2330.87880300434,0.5851763299462044,1.450907793525359,0.7149094549183517
