pair,htf_mode,threshold,n,z_in,is_pf,is_n,oos_pf,oos_n,oos_wr,oos_dd,wfo_min,d_oos_pf,n_retained
AUDCAD,adx,20.0,40,2.0,1.0819954485907497,658,1.3777978690545112,521,0.654510556621881,296.3327630138248,1.0792431081263842,-0.004324098008764432,0.5827740492170023
AUDCAD,adx,25.0,40,2.0,1.0208727090982457,898,1.4261969249623092,707,0.6492220650636492,287.3702344000717,1.1637507741209852,0.044074957899033596,0.79082774049217
AUDCAD,adx,30.0,40,2.0,1.0613455701846457,1068,1.3806762814578637,782,0.6445012787723785,322.93782899820576,1.2073803678258643,-0.0014456856054119172,0.8747203579418344
AUDCAD,slope,0.5,40,2.0,1.094463539082717,639,1.4335936743554403,473,0.6405919661733616,269.76194848476894,1.0140794373999404,0.05147170729216466,0.529082774049217
AUDCAD,slope,1.0,40,2.0,1.036853146566386,1072,1.3669482452903803,762,0.6482939632545932,418.69165001631245,1.1458140990142525,-0.015173721772895332,0.8523489932885906
AUDCAD,slope,2.0,40,2.0,1.0759997998146618,1295,1.3790060321465687,892,0.6423766816143498,382.6027058530967,1.2615164702003836,-0.0031159349167069195,0.9977628635346756
AUDCAD,adx,20.0,40,2.5,1.207761754435675,425,1.3797290875709518,324,0.5833333333333334,297.2311984938551,1.0240052683320275,-0.028045204492981757,0.5754884547069272
AUDCAD,adx,25.0,40,2.5,1.028065944098763,567,1.410575956288825,446,0.5829596412556054,313.83040674151454,1.065628551458211,0.002801664224891365,0.7921847246891652
AUDCAD,adx,30.0,40,2.5,1.067988600747011,683,1.361605532686389,490,0.5877551020408164,411.1161585519078,1.027765686549666,-0.04616875937754461,0.8703374777975134
AUDCAD,slope,0.5,40,2.5,1.15028989309756,397,1.3229871917491123,288,0.5694444444444444,247.77123079794353,0.7692063945061459,-0.08478710031482128,0.5115452930728241
AUDCAD,slope,1.0,40,2.5,1.1064853017223828,689,1.3994777068478585,468,0.5961538461538461,314.8010779364181,0.9880671689360991,-0.008296585216075014,0.8312611012433393
AUDCAD,slope,2.0,40,2.5,1.1137479197677091,838,1.4038222007829113,562,0.5871886120996441,327.66505013362394,1.1139448696449206,-0.003952091281022252,0.9982238010657194
AUDCAD,adx,20.0,80,2.0,0.9695211781405716,433,1.2996928074648184,335,0.6149253731343284,355.7866951682432,1.1235267895528371,-0.024642922055189365,0.6429942418426103
AUDCAD,adx,25.0,80,2.0,0.900217771823176,585,1.3119253524598486,437,0.6041189931350115,387.9242928631031,1.1096461435001521,-0.012410377060159128,0.8387715930902111
AUDCAD,adx,30.0,80,2.0,0.953599335604553,667,1.260720672827683,478,0.600418410041841,507.2200059666871,1.0082872403468117,-0.06361505669232481,0.9174664107485605
AUDCAD,slope,0.5,80,2.0,0.9266587221533932,408,1.3522110022399545,309,0.5954692556634305,389.7512500000018,0.9299120521325351,0.02787527271994672,0.5930902111324377
AUDCAD,slope,1.0,80,2.0,0.9743320669731985,683,1.2232186967248613,466,0.6008583690987125,486.19555768676264,0.9537254208641176,-0.1011170327951465,0.8944337811900192
AUDCAD,slope,2.0,80,2.0,1.0209840349881867,778,1.3199656627758625,520,0.6096153846153847,552.4823875322879,1.0071168090031728,-0.004370066744145307,0.9980806142034548
AUDCAD,adx,20.0,80,2.5,1.061955950161784,307,1.3751554858733261,227,0.5506607929515418,359.2754451682374,1.212686872755077,-0.03313279055254781,0.6323119777158774
AUDCAD,adx,25.0,80,2.5,0.926657389597919,414,1.512569199668101,308,0.5454545454545454,448.25304286309506,1.2203938618155052,0.10428092324222704,0.8579387186629527
AUDCAD,adx,30.0,80,2.5,0.9741189558353816,471,1.39113101307646,332,0.5391566265060241,413.9830428630946,1.0412136347574619,-0.01715726334941392,0.924791086350975
AUDCAD,slope,0.5,80,2.5,0.987361262274389,277,1.345442773743083,222,0.5315315315315315,418.0158945490276,0.8915540080294264,-0.06284550268279099,0.6183844011142061
AUDCAD,slope,1.0,80,2.5,0.9558796236640478,473,1.3124556551770616,321,0.5358255451713395,449.56955699457194,0.9441111535362599,-0.09583262124881231,0.8941504178272981
AUDCAD,slope,2.0,80,2.5,1.047290692245668,550,1.408288276425874,359,0.5403899721448467,462.3173875322798,0.9432354674908119,0.0,1.0
EURGBP,adx,20.0,40,2.0,0.7976527575717449,625,0.9420220940830628,441,0.5578231292517006,556.9293643222882,0.7125730643365032,-0.16588390348359483,0.4555785123966942
EURGBP,adx,25.0,40,2.0,0.7990295989742906,958,1.0111435193841827,589,0.5772495755517827,595.3472138814694,0.8369099294513777,-0.09676247818247496,0.6084710743801653
EURGBP,adx,30.0,40,2.0,0.8115351671786178,1195,1.0748376643547313,761,0.5873850197109067,624.8692152738438,0.909089799781192,-0.03306833321192637,0.7861570247933884
EURGBP,slope,0.5,40,2.0,0.6838773836420927,656,0.9817687230318843,476,0.5903361344537815,635.349801541628,0.8603721513986172,-0.1261372745347733,0.49173553719008267
EURGBP,slope,1.0,40,2.0,0.8473045047433284,1162,1.0332195792271448,780,0.5858974358974359,683.5178162831533,0.9700875687221142,-0.07468641833951284,0.8057851239669421
EURGBP,slope,2.0,40,2.0,0.8481665195667778,1530,1.1088658636873403,964,0.5892116182572614,454.95577047555327,0.8606626955295763,0.000959866120682662,0.9958677685950413
EURGBP,adx,20.0,40,2.5,1.0199714580650066,439,0.976278194927183,315,0.5079365079365079,235.12100311123294,0.9270289365524967,-0.1812408956734035,0.481651376146789
EURGBP,adx,25.0,40,2.5,0.9511123780785329,685,1.0791393035920132,403,0.5210918114143921,323.3940444226625,0.8569745501052621,-0.0783797870085734,0.6162079510703364
EURGBP,adx,30.0,40,2.5,0.9409703747739359,838,1.1104434735523212,516,0.5271317829457365,554.284589749353,0.994602363478186,-0.04707561704826535,0.7889908256880734
EURGBP,slope,0.5,40,2.5,0.7641407874128104,452,0.9070850126962442,310,0.5064516129032258,585.0742774525563,0.6904516154259611,-0.25043407790434236,0.4740061162079511
EURGBP,slope,1.0,40,2.5,1.0321169247227693,820,1.055837685130843,528,0.509469696969697,520.6600194758698,0.8812231070395402,-0.10168140546974347,0.8073394495412844
EURGBP,slope,2.0,40,2.5,0.9711534176749933,1088,1.161458201383262,651,0.522273425499232,532.1460907267267,0.9457553953525455,0.003939110782675392,0.9954128440366973
