run,rsi_buy_max,rsi_sell_min,bw_ratio,bw_lookback,sl_atr_mult,rr,PF,WR,N,MaxDD,avg_win,avg_loss,delta_pf,verdict
1,55,35,0.8,10,2.0,1.5,2.243,56.2,16,162.9,96.7,55.4,0.598,REJECT
2,55,35,0.8,10,2.0,2.0,2.991,56.2,16,162.9,128.9,55.4,1.346,REJECT
3,55,35,0.8,10,2.5,1.5,2.243,56.2,16,203.7,120.9,69.3,0.598,REJECT
4,55,35,0.8,10,2.5,2.0,2.319,50.0,16,203.7,162.4,70.0,0.674,REJECT
5,55,35,0.8,10,3.0,1.5,2.792,60.0,15,145.4,145.6,78.2,1.147,REJECT
6,55,35,0.8,10,3.0,2.0,3.723,60.0,15,145.4,194.1,78.2,2.078,REJECT
7,55,35,0.8,20,2.0,1.5,2.789,63.6,11,138.7,101.9,63.9,1.144,REJECT
8,55,35,0.8,20,2.0,2.0,3.718,63.6,11,135.5,135.9,63.9,2.073,REJECT
9,55,35,0.8,20,2.5,1.5,2.789,63.6,11,173.4,127.4,79.9,1.144,REJECT
10,55,35,0.8,20,2.5,2.0,2.626,54.5,11,169.4,173.0,79.1,0.981,REJECT
11,55,35,0.8,20,3.0,1.5,3.965,70.0,10,180.4,153.5,90.4,2.32,REJECT
12,55,35,0.8,20,3.0,2.0,5.286,70.0,10,180.4,204.7,90.4,3.641,REJECT
13,55,35,0.8,30,2.0,1.5,2.214,54.5,11,181.0,102.5,55.6,0.569,REJECT
14,55,35,0.8,30,2.0,2.0,2.952,54.5,11,181.0,136.7,55.6,1.307,REJECT
15,55,35,0.8,30,2.5,1.5,2.214,54.5,11,226.2,128.2,69.5,0.569,REJECT
16,55,35,0.8,30,2.5,2.0,2.067,45.5,11,226.2,174.9,70.5,0.422,REJECT
17,55,35,0.8,30,3.0,1.5,3.049,60.0,10,145.4,154.6,76.1,1.404,REJECT
18,55,35,0.8,30,3.0,2.0,4.065,60.0,10,145.4,206.1,76.1,2.42,REJECT
19,55,35,1.0,10,2.0,1.5,2.791,60.0,10,181.0,103.8,55.8,1.146,REJECT
20,55,35,1.0,10,2.0,2.0,3.722,60.0,10,181.0,138.4,55.8,2.077,REJECT
21,55,35,1.0,10,2.5,1.5,2.791,60.0,10,226.2,129.7,69.7,1.146,REJECT
22,55,35,1.0,10,2.5,2.0,3.722,60.0,10,226.2,173.0,69.7,2.077,REJECT
23,55,35,1.0,10,3.0,1.5,8.18,77.8,9,68.2,153.5,65.7,6.535,REJECT
24,55,35,1.0,10,3.0,2.0,10.907,77.8,9,68.2,204.7,65.7,9.262,REJECT
25,55,35,1.0,20,2.0,1.5,7.152,75.0,4,54.8,130.7,54.8,5.507,REJECT
26,55,35,1.0,20,2.0,2.0,9.536,75.0,4,54.8,174.3,54.8,7.891,REJECT
27,55,35,1.0,20,2.5,1.5,7.152,75.0,4,68.6,163.4,68.6,5.507,REJECT
28,55,35,1.0,20,2.5,2.0,9.536,75.0,4,68.6,217.9,68.6,7.891,REJECT
29,55,35,1.0,20,3.0,1.5,7.152,75.0,4,82.3,196.1,82.3,5.507,REJECT
30,55,35,1.0,20,3.0,2.0,9.536,75.0,4,82.3,261.5,82.3,7.891,REJECT
31,55,35,1.0,30,2.0,1.5,5.364,66.7,3,54.8,147.1,54.8,3.719,REJECT
32,55,35,1.0,30,2.0,2.0,7.152,66.7,3,54.8,196.1,54.8,5.507,REJECT
33,55,35,1.0,30,2.5,1.5,5.364,66.7,3,68.6,183.9,68.6,3.719,REJECT
34,55,35,1.0,30,2.5,2.0,7.152,66.7,3,68.6,245.1,68.6,5.507,REJECT
35,55,35,1.0,30,3.0,1.5,5.364,66.7,3,82.3,220.6,82.3,3.719,REJECT
36,55,35,1.0,30,3.0,2.0,7.152,66.7,3,82.3,294.2,82.3,5.507,REJECT
37,55,35,1.2,10,2.0,1.5,3.682,75.0,4,72.9,89.5,72.9,2.037,REJECT
38,55,35,1.2,10,2.0,2.0,4.91,75.0,4,72.9,119.4,72.9,3.265,REJECT
39,55,35,1.2,10,2.5,1.5,3.682,75.0,4,91.2,111.9,91.2,2.037,REJECT
40,55,35,1.2,10,2.5,2.0,4.91,75.0,4,91.2,149.2,91.2,3.265,REJECT
41,55,35,1.2,10,3.0,1.5,99.0,100.0,3,0.0,134.3,0.0,97.355,REJECT
42,55,35,1.2,10,3.0,2.0,99.0,100.0,3,0.0,179.1,0.0,97.355,REJECT
73,55,40,0.8,10,2.0,1.5,1.787,53.3,15,162.9,86.6,55.4,0.142,REJECT
74,55,40,0.8,10,2.0,2.0,2.383,53.3,15,162.9,115.5,55.4,0.738,REJECT
75,55,40,0.8,10,2.5,1.5,1.787,53.3,15,203.7,108.3,69.3,0.142,REJECT
76,55,40,0.8,10,2.5,2.0,1.792,46.7,15,203.7,143.4,70.0,0.147,REJECT
