axis,sl,rr,bb_sigma,rsi_buy_max,rsi_sell_min,bw_th,hours,pf_a,wr_a,n_a,pf_b,wr_b,n_b,pf_full,n_full
1,1.0,1.5,1.5,45,55,0.002,all,2.788,58.3,12,1.392,50.0,2,2.612,14
1,1.0,2.0,1.5,45,55,0.002,all,1.107,33.3,12,1.856,50.0,2,1.162,14
1,1.0,2.5,1.5,45,55,0.002,all,1.384,33.3,12,2.32,50.0,2,1.452,14
1,1.0,3.0,1.5,45,55,0.002,all,1.073,25.0,12,2.783,50.0,2,1.183,14
1,1.2,1.5,1.5,45,55,0.002,all,2.447,58.3,12,1.392,50.0,2,2.323,14
1,1.2,2.0,1.5,45,55,0.002,all,1.562,41.7,12,1.856,50.0,2,1.587,14
1,1.2,2.5,1.5,45,55,0.002,all,1.321,33.3,12,2.32,50.0,2,1.392,14
1,1.2,3.0,1.5,45,55,0.002,all,1.585,33.3,12,2.783,50.0,2,1.671,14
1,1.5,1.5,1.5,45,55,0.002,all,1.172,41.7,12,1.392,50.0,2,1.19,14
1,1.5,2.0,1.5,45,55,0.002,all,1.057,33.3,12,1.856,50.0,2,1.114,14
1,1.5,2.5,1.5,45,55,0.002,all,1.321,33.3,12,2.32,50.0,2,1.392,14
1,1.5,3.0,1.5,45,55,0.002,all,1.585,33.3,12,2.783,50.0,2,1.671,14
1,2.0,1.5,1.5,45,55,0.002,all,1.448,50.0,12,1.392,50.0,2,1.443,14
1,2.0,2.0,1.5,45,55,0.002,all,1.931,50.0,12,1.856,50.0,2,1.924,14
1,2.0,2.5,1.5,45,55,0.002,all,2.413,50.0,12,2.32,50.0,2,2.405,14
1,2.0,3.0,1.5,45,55,0.002,all,2.341,41.7,12,2.783,50.0,2,2.377,14
1,2.5,1.5,1.5,45,55,0.002,all,1.448,50.0,12,99.0,100.0,2,1.735,14
1,2.5,2.0,1.5,45,55,0.002,all,1.931,50.0,12,1.856,50.0,2,1.924,14
1,2.5,2.5,1.5,45,55,0.002,all,1.95,41.7,12,0.0,0.0,2,1.662,14
1,2.5,3.0,1.5,45,55,0.002,all,1.658,33.3,12,0.0,0.0,2,1.44,14
1,3.0,1.5,1.5,45,55,0.002,all,1.934,58.3,12,1.392,50.0,2,1.878,14
1,3.0,2.0,1.5,45,55,0.002,all,2.084,50.0,12,1.856,50.0,2,2.063,14
1,3.0,2.5,1.5,45,55,0.002,all,1.871,41.7,12,0.0,0.0,2,1.599,14
1,3.0,3.0,1.5,45,55,0.002,all,1.299,27.3,11,0.0,0.0,2,1.123,13
2,1.0,1.5,1.5,45,55,0.002,all,2.788,58.3,12,1.392,50.0,2,2.612,14
3,1.0,1.5,1.5,45,55,0.0015,all,1.278,41.9,31,1.478,50.0,8,1.311,39
3,1.0,1.5,1.5,45,55,0.002,all,2.788,58.3,12,1.392,50.0,2,2.612,14
3,1.0,1.5,1.5,45,55,0.0025,all,3.859,66.7,6,0.0,0.0,0,3.859,6
3,1.0,1.5,1.5,45,55,0.003,all,99.0,100.0,1,0.0,0.0,0,99.0,1
3,1.0,1.5,1.5,35,65,0.0015,all,1.658,43.5,23,1.03,42.9,7,1.502,30
3,1.0,1.5,1.5,35,65,0.002,all,3.215,60.0,10,1.392,50.0,2,2.906,12
3,1.0,1.5,1.5,35,65,0.0025,all,13.259,80.0,5,0.0,0.0,0,13.259,5
3,1.0,1.5,1.5,35,65,0.003,all,0.0,0.0,0,0.0,0.0,0,0.0,0
3,1.0,1.5,1.5,30,70,0.0015,all,0.738,30.8,13,2.805,66.7,3,0.937,16
3,1.0,1.5,1.5,30,70,0.002,all,0.941,33.3,6,1.392,50.0,2,1.018,8
3,1.0,1.5,1.5,30,70,0.0025,all,6.903,66.7,3,0.0,0.0,0,6.903,3
3,1.0,1.5,1.5,30,70,0.003,all,0.0,0.0,0,0.0,0.0,0,0.0,0
4,1.0,1.5,1.5,45,55,0.002,no_filter,2.788,58.3,12,1.392,50.0,2,2.612,14
4,1.0,1.5,1.5,45,55,0.002,eu_session,9.483,87.5,8,0.0,0.0,0,9.483,8
4,1.0,1.5,1.5,45,55,0.002,eu_ny_overlap,4.286,75.0,4,0.0,0.0,0,4.286,4
4,1.0,1.5,1.5,45,55,0.002,asia,0.0,0.0,2,0.0,0.0,0,0.0,2
