pair,atr_mult,is_current,full_pf,full_net,full_maxDD,full_nTP,full_nFS,is_pf,is_net,oos_pf,oos_net,oos_maxDD,wfo_oos_pf_med,wfo_oos_pf_min,wfo_oos_gt12_frac
AUDCAD,0.75,False,1.4197,6134979.0,1435652.0,1902,10,1.4419,3618816.0,1.3914,2516163.0,1435652.0,1.682,1.412,1.0
AUDCAD,1.0,True,1.3463,4834234.0,1698030.0,1282,10,1.3172,2562570.0,1.3864,2271664.0,1087421.0,1.637,1.31,1.0
AUDCAD,1.25,False,1.3603,4561571.0,1474534.0,936,10,1.2772,2095730.0,1.4836,2465841.0,1333146.0,2.005,1.249,1.0
AUDCAD,1.5,False,1.514,5582022.0,880833.0,738,8,1.4635,2907985.0,1.5831,2674038.0,880833.0,1.831,1.201,1.0
AUDCAD,1.75,False,1.0933,1277856.0,1962954.0,574,13,1.1445,1054363.0,1.035,223493.0,1962954.0,1.422,0.697,0.714
AUDCAD,2.0,False,1.0875,1205712.0,2051954.0,504,13,1.1854,1299950.0,0.9861,-94238.0,2051954.0,2.462,0.716,0.714
AUDCAD,2.5,False,1.5723,4911693.0,1511360.0,366,9,1.6938,2986613.0,1.45,1925081.0,1511360.0,2.973,0.772,0.714
AUDCAD,3.0,False,1.1776,1949824.0,1641399.0,284,13,1.0511,320691.0,1.346,1629134.0,1641399.0,1.98,0.768,0.571
GBPJPY,0.75,False,0.8267,-13041743.0,17744011.0,3158,39,0.7515,-9749891.0,0.9086,-3291852.0,7430918.0,1.169,0.361,0.429
GBPJPY,1.0,False,0.8355,-11115629.0,15399729.0,2153,39,0.7434,-9369700.0,0.9438,-1745929.0,6619471.0,0.9,0.378,0.429
GBPJPY,1.25,False,0.7766,-14608756.0,17329706.0,1540,39,0.7108,-9904098.0,0.849,-4704657.0,8093402.0,1.085,0.356,0.286
GBPJPY,1.5,True,0.8073,-11547299.0,17859067.0,1230,37,0.6857,-10820096.0,0.9715,-727203.0,7591870.0,1.158,0.347,0.429
GBPJPY,1.75,False,0.7747,-12672125.0,18039100.0,950,35,0.6676,-10725237.0,0.9188,-1946888.0,9183063.0,1.261,0.381,0.571
GBPJPY,2.0,False,0.846,-7678857.0,11028143.0,795,32,0.7317,-7559957.0,0.9945,-118900.0,5281800.0,1.246,0.473,0.571
GBPJPY,2.5,False,0.8394,-7537546.0,12361500.0,600,29,0.7316,-7231979.0,0.9847,-305568.0,6447093.0,1.362,0.468,0.714
GBPJPY,3.0,False,0.845,-6863357.0,8966543.0,470,27,0.8082,-4462829.0,0.9544,-889929.0,4377400.0,1.289,0.434,0.571
NZDJPY,0.75,False,1.1748,6334484.0,3237286.0,3654,24,1.0638,1301280.0,1.3178,5033204.0,1791466.0,1.244,0.605,0.571
NZDJPY,1.0,False,1.1967,6270521.0,2819764.0,2445,23,1.1294,2200229.0,1.2735,4070293.0,1861914.0,1.199,0.783,0.429
NZDJPY,1.25,False,1.1266,3909014.0,4575225.0,1773,24,1.0378,661814.0,1.2432,3247200.0,1849879.0,1.515,0.702,0.571
NZDJPY,1.5,True,1.0998,2841093.0,3733907.0,1324,24,1.0601,946714.0,1.149,1894379.0,2509982.0,1.078,0.771,0.286
NZDJPY,1.75,False,1.0696,1872750.0,3163400.0,1050,25,1.053,779787.0,1.0895,1092963.0,2672150.0,1.029,0.671,0.286
NZDJPY,2.0,False,1.1678,4031243.0,2898857.0,895,23,1.028,410800.0,1.3866,3620443.0,1721914.0,1.071,0.669,0.429
NZDJPY,2.5,False,1.2497,5094550.0,3399893.0,640,18,0.9547,-636046.0,1.9032,5730596.0,1418036.0,1.272,0.644,0.571
NZDJPY,3.0,False,0.9538,-1125321.0,4773393.0,485,22,0.7714,-3666357.0,1.3048,2541036.0,1209464.0,0.943,0.654,0.286
CHFJPY,0.75,False,1.069,1567484.0,1804130.0,1731,0,1.0969,1014112.0,1.0436,534075.0,1804130.0,1.103,0.856,0.286
CHFJPY,1.0,True,0.9454,-1320557.0,2776471.0,1219,2,1.0882,866679.0,0.8468,-2199443.0,2776471.0,1.028,0.632,0.286
CHFJPY,1.25,False,0.8825,-2751493.0,3385266.0,888,2,0.9704,-297241.0,0.8155,-2470939.0,3385266.0,0.987,0.634,0.286
CHFJPY,1.5,False,0.8563,-3250539.0,4293729.0,696,3,1.0397,353714.0,0.7357,-3624279.0,4293729.0,0.93,0.53,0.286
CHFJPY,1.75,False,0.8288,-3863938.0,4750250.0,572,4,1.0396,342562.0,0.6975,-4206500.0,4750250.0,1.102,0.5,0.286
CHFJPY,2.0,False,0.7495,-5710886.0,5947586.0,446,3,0.8964,-919871.0,0.6559,-4791014.0,5170271.0,0.947,0.451,0.286
CHFJPY,2.5,False,0.9013,-1842304.0,3527614.0,347,3,1.0124,92082.0,0.8275,-1934386.0,3122482.0,1.105,0.394,0.286
CHFJPY,3.0,False,0.9271,-1196236.0,3224679.0,265,3,1.0405,276064.0,0.8465,-1472300.0,2975407.0,1.128,0.423,0.5
