pair,hl,trig,seg,grid_pf,blend_pf,grid_maxdd,blend_maxdd,grid_worstD,blend_worstD,grid_net,blend_net,hedge_net
GBPJPY,0.5,0.4,IS,1.23,1.21,3291133,3027530,-1624696,-1488197,1356701,1260722,-179232
GBPJPY,0.5,0.4,OOS,inf,21.95,0,75657,0,-72872,4609255,4292259,-316996
GBPJPY,0.5,0.6,IS,1.23,1.19,3291133,3100987,-1624696,-1510497,1356701,1147831,-208870
GBPJPY,0.5,0.6,OOS,inf,42.73,0,42989,0,-42989,4609255,4405070,-204185
GBPJPY,1.0,0.4,IS,1.23,1.19,3291133,2763927,-1624696,-1351697,1356701,1164744,-358465
GBPJPY,1.0,0.4,OOS,inf,9.33,0,177242,0,-171672,4609255,3975262,-633993
GBPJPY,1.0,0.6,IS,1.23,1.16,3291133,2910840,-1624696,-1396297,1356701,938961,-417740
GBPJPY,1.0,0.6,OOS,inf,20.9,0,85979,0,-85979,4609255,4200885,-408370
CHFJPY,0.5,0.4,IS,1.4,1.33,608438,607138,-608438,-607138,736034,632985,-103049
CHFJPY,0.5,0.4,OOS,2.41,2.41,388199,388199,-388199,-388199,676085,676085,0
CHFJPY,0.5,0.6,IS,1.4,1.4,608438,608438,-608438,-608438,736034,736034,0
CHFJPY,0.5,0.6,OOS,2.41,2.41,388199,388199,-388199,-388199,676085,676085,0
CHFJPY,1.0,0.4,IS,1.4,1.27,608438,605838,-608438,-605838,736034,529936,-206098
CHFJPY,1.0,0.4,OOS,2.41,2.41,388199,388199,-388199,-388199,676085,676085,0
CHFJPY,1.0,0.6,IS,1.4,1.4,608438,608438,-608438,-608438,736034,736034,0
CHFJPY,1.0,0.6,OOS,2.41,2.41,388199,388199,-388199,-388199,676085,676085,0
NZDJPY,0.5,0.4,IS,2.42,2.19,1053399,1001834,-1053399,-1001834,2942067,2625009,-317058
NZDJPY,0.5,0.4,OOS,2.39,2.22,698402,680552,-698402,-680552,1604303,1450911,-153391
NZDJPY,0.5,0.6,IS,2.42,2.3,1053399,1010335,-1053399,-1010335,2942067,2804043,-138024
NZDJPY,0.5,0.6,OOS,2.39,2.27,698402,684752,-698402,-684752,1604303,1543317,-60986
NZDJPY,1.0,0.4,IS,2.42,1.99,1053399,950270,-1053399,-950270,2942067,2307952,-634115
NZDJPY,1.0,0.4,OOS,2.39,2.04,698402,662701,-698402,-662701,1604303,1297520,-306783
NZDJPY,1.0,0.6,IS,2.42,2.18,1053399,967271,-1053399,-967271,2942067,2666018,-276048
NZDJPY,1.0,0.6,OOS,2.39,2.17,698402,671101,-698402,-671101,1604303,1482331,-121972
AUDCAD,0.5,0.4,IS,3.99,3.14,373587,359656,-373587,-359656,3903738,3554059,-349679
AUDCAD,0.5,0.4,OOS,5.18,4.49,382033,374419,-382033,-374419,1596140,1467512,-213304
AUDCAD,0.5,0.6,IS,3.99,3.62,373587,370132,-373587,-370132,3903738,3762502,-141237
AUDCAD,0.5,0.6,OOS,5.18,4.64,382033,379549,-382033,-379549,1596140,1524806,-71334
AUDCAD,1.0,0.4,IS,3.99,2.57,373587,356421,-373587,-345724,3903738,3204380,-699359
AUDCAD,1.0,0.4,OOS,5.18,3.92,382033,366805,-382033,-366805,1596140,1338884,-426608
AUDCAD,1.0,0.6,IS,3.99,3.31,373587,366676,-373587,-366676,3903738,3621265,-282473
AUDCAD,1.0,0.6,OOS,5.18,4.18,382033,377065,-382033,-377065,1596140,1453472,-142668
