pair,gm,lv,full_PF,full_n,full_PnL,full_DD,IS_PF,IS_n,IS_PnL,OOS_PF,OOS_n,OOS_PnL,OOS_DD,PF_decay,is_best
GBPJPY,1.0,3,0.746,309,-26733,30.67,0.764,262,-20992,0.507,44,-8793,12.99,0.664,True
GBPJPY,1.0,5,1.075,336,6871,27.77,1.091,284,7056,0.793,49,-3122,15.1,0.727,True
GBPJPY,1.0,7,1.711,374,47314,42.35,1.463,319,31200,9.99,51,13473,0.0,6.828,True
GBPJPY,1.5,3,0.958,203,-3370,20.99,1.011,169,668,0.641,33,-6154,15.25,0.634,False
GBPJPY,1.5,5,1.559,209,32443,18.77,1.668,171,30675,0.946,35,-702,12.89,0.567,True
GBPJPY,1.5,7,3.857,218,75945,26.59,2.741,182,54649,9.99,35,13806,0.0,3.645,True
GBPJPY,2.0,3,1.089,157,6458,17.5,1.038,134,2473,1.138,23,1250,9.06,1.096,False
GBPJPY,2.0,5,2.946,154,60726,16.99,2.417,129,45895,9.99,24,12059,0.0,4.133,False
GBPJPY,2.0,7,2.755,162,64217,36.6,2.102,138,44990,9.99,24,12059,0.0,4.753,False
NZDJPY,1.0,3,0.649,376,-26706,30.13,0.596,301,-26019,0.765,75,-3279,7.28,1.284,True
NZDJPY,1.0,5,1.207,406,10425,12.7,1.047,327,2170,1.81,79,5662,5.93,1.729,True
NZDJPY,1.0,7,1.391,425,19108,10.91,1.328,347,13545,1.298,78,2971,9.97,0.977,True
NZDJPY,1.5,3,1.046,248,2201,10.91,0.908,199,-4005,1.835,49,4861,3.82,2.021,False
NZDJPY,1.5,5,2.217,247,31836,8.39,1.876,208,22553,5.998,39,7938,1.39,3.197,True
NZDJPY,1.5,7,1.335,254,15099,22.72,1.051,211,2355,9.99,43,11398,0.0,9.505,False
NZDJPY,2.0,3,0.971,188,-1400,11.79,0.872,152,-5399,1.384,36,2590,4.63,1.587,False
NZDJPY,2.0,5,1.809,175,24318,9.14,1.743,148,19691,1.686,27,3218,4.69,0.967,False
NZDJPY,2.0,7,0.805,173,-13095,30.93,0.779,143,-12302,22.441,30,9820,0.46,28.807,False
CHFJPY,1.0,3,0.505,277,-58186,64.99,0.507,210,-44893,0.755,67,-4452,10.82,1.489,True
CHFJPY,1.0,5,0.47,334,-85859,98.14,0.498,255,-59524,0.915,80,-1646,14.79,1.837,False
CHFJPY,1.0,7,0.413,320,-102202,115.97,0.474,247,-61977,0.695,81,-8086,26.5,1.466,False
CHFJPY,1.5,3,0.539,197,-51117,57.69,0.552,150,-37870,0.775,47,-3948,11.12,1.404,True
CHFJPY,1.5,5,0.398,203,-98791,114.56,0.359,152,-84811,2.506,53,11270,7.48,6.981,False
CHFJPY,1.5,7,0.312,205,-154647,172.27,0.31,154,-114668,1.548,54,7088,12.93,4.994,False
CHFJPY,2.0,3,0.698,154,-26893,37.42,0.669,117,-23057,1.566,37,5926,5.64,2.341,True
CHFJPY,2.0,5,0.565,158,-52156,76.32,0.486,120,-51885,1.106,38,1646,15.6,2.276,False
CHFJPY,2.0,7,0.755,155,-24084,65.17,1.023,117,1257,1.521,38,6649,12.77,1.487,True
