pair,label,full_pf,full_net,full_dd,full_nfs,full_ntp,is_pf,oos_pf,wfo_min,req99_cal,netyr_cal,p5
EURGBP,baseline,1.5215,3716640.0,2504031.0,1,705,1.231,2.5569,1.4994,3398906.0,335336.0,0.1389
EURGBP,fs x0.6,1.197,1783334.0,2049805.0,1,699,1.1378,1.3209,1.0152,2949852.0,160902.0,0.2647
EURGBP,fs x0.75,1.3857,3056348.0,2429753.0,1,707,1.1191,2.3527,1.726,2996733.0,275761.0,0.1603
EURGBP,fs x0.85,1.3763,2975911.0,2771083.0,1,705,1.125,2.2197,1.6062,3553247.0,268503.0,0.1885
EURGBP,fs x1.3,1.5643,3895933.0,2516228.0,0,706,1.2741,2.5569,1.4994,2660289.0,351513.0,0.1062
EURGBP,max_lv3,1.276,2303233.0,1572586.0,1,622,1.2034,1.4261,0.9776,3082057.0,207810.0,0.1928
EURGBP,max_lv4,1.3206,2643670.0,2559481.0,1,680,1.0551,2.2456,1.5741,3480915.0,238527.0,0.2011
EURGBP,taper0.6,1.5483,3471153.0,2517666.0,1,706,1.2393,2.6669,1.609,3188461.0,313187.0,0.1383
EURGBP,taper0.8,1.4172,3539372.0,3259964.0,1,707,1.1579,2.2977,1.7032,4146135.0,319342.0,0.1865
EURGBP,cull0.4,1.3382,2740914.0,2840799.0,1,704,1.072,2.3076,1.6972,3726810.0,247301.0,0.2102
EURGBP,cull0.6,1.5284,3737461.0,2774209.0,1,706,1.237,2.5569,1.4994,3320565.0,337215.0,0.1379
EURGBP,lv4+fs0.85,1.2353,2075988.0,2826533.0,1,678,0.9754,2.1911,1.5741,3661246.0,187307.0,0.2496
EURGBP,lv3+taper0.6,1.2622,2068404.0,1569115.0,1,622,1.1763,1.4452,0.987,3079064.0,186623.0,0.2102
CADCHF,baseline,1.4432,9712039.0,1437210.0,17,1158,1.5617,1.3869,1.3108,3032927.0,869735.0,0.0208
CADCHF,fs x0.6,1.2314,5905581.0,1500031.0,40,1149,1.2234,1.2621,0.8731,2763157.0,528858.0,0.058
CADCHF,fs x0.75,1.2033,5319895.0,1811526.0,31,1152,1.298,1.2167,0.943,2863045.0,476409.0,0.0779
CADCHF,fs x0.85,1.2936,7172446.0,1829236.0,24,1157,1.3098,1.2954,1.0793,3229710.0,642309.0,0.0607
CADCHF,fs x1.3,1.3376,7892438.0,2072367.0,12,1142,1.4819,1.3925,1.099,4447359.0,706785.0,0.0741
CADCHF,max_lv3,1.4505,8673242.0,1372944.0,2,1022,1.4328,1.4544,1.0766,2099524.0,776708.0,0.0069
CADCHF,max_lv4,1.4513,9327117.0,1537146.0,8,1098,1.4627,1.3426,1.0204,2581406.0,835264.0,0.0153
CADCHF,taper0.6,1.2554,3954186.0,1462496.0,8,1140,1.3289,1.2943,0.9844,3706287.0,354106.0,0.1475
CADCHF,taper0.8,1.2546,4966318.0,1738248.0,14,1134,1.2831,1.3689,1.0249,4055728.0,444745.0,0.1246
CADCHF,cull0.4,1.4559,10063089.0,1329716.0,1,1182,1.4361,1.4957,1.326,2367594.0,901172.0,0.008
CADCHF,cull0.6,1.4545,10051736.0,1366460.0,1,1171,1.4459,1.4557,1.3501,2267837.0,900155.0,0.0088
CADCHF,+combo,1.4373,5778555.0,1476045.0,1,989,1.23,1.5157,1.4037,2345571.0,517483.0,0.0369
CADCHF,+combo+lv4,1.4644,6273376.0,1485302.0,1,964,1.3247,1.5523,1.4444,2115834.0,561795.0,0.022
CADCHF,+combo+fs0.75,1.2332,3659960.0,1410789.0,3,986,1.1211,1.448,1.254,3007032.0,327758.0,0.1449
