pair,ci_threshold,is_current,full_pf,full_net,full_maxDD,full_nTP,full_nFS,is_pf,is_net,oos_pf,oos_net,oos_maxDD,wfo_oos_pf_med,wfo_oos_pf_min,wfo_oos_gt12_frac
AUDCAD,50.0,False,1.1566,22626171.0,2694129.0,11227,75,1.1259,10857348.0,1.209,12106817.0,2122262.0,1.204,0.933,0.571
AUDCAD,52.5,False,1.108,13350366.0,2689971.0,9243,67,1.0556,4104864.0,1.1906,9459836.0,2689971.0,1.221,0.973,0.571
AUDCAD,55.0,False,1.1264,11956148.0,4340998.0,7222,48,1.0636,3475695.0,1.2186,8694787.0,1710874.0,1.158,1.011,0.286
AUDCAD,57.5,False,1.2186,14022759.0,2657996.0,5299,34,1.1677,5793452.0,1.2781,8229307.0,1718689.0,1.351,0.92,0.714
AUDCAD,60.0,False,1.208,9063229.0,2548137.0,3606,26,1.1395,3198451.0,1.2841,5864778.0,1548527.0,1.539,0.913,0.714
AUDCAD,61.8,False,1.3462,10085958.0,1483095.0,2687,16,1.264,4233083.0,1.4468,5852875.0,1152861.0,1.656,0.877,0.857
AUDCAD,62.5,False,1.3317,8624016.0,1727884.0,2371,16,1.2622,3828315.0,1.4208,4795701.0,1399788.0,1.506,1.194,0.857
AUDCAD,65.0,True,1.3463,4834234.0,1698030.0,1282,10,1.3172,2562570.0,1.3864,2271664.0,1087421.0,1.637,1.31,1.0
AUDCAD,67.5,False,1.9217,4562151.0,1011273.0,660,2,1.8525,2206317.0,1.9975,2355835.0,1011273.0,4.194,1.592,1.0
AUDCAD,70.0,False,1.1376,531337.0,1471870.0,288,3,0.6887,-791416.0,2.0019,1322753.0,481140.0,1.958,0.571,0.8
GBPJPY,50.0,False,0.8558,-35191870.0,38280531.0,5103,139,0.8263,-21841429.0,0.8872,-13336288.0,15377823.0,0.833,0.691,0.0
GBPJPY,52.5,False,0.8083,-40142527.0,44154543.0,4155,118,0.7313,-31522171.0,0.9063,-8620356.0,11661057.0,0.77,0.581,0.0
GBPJPY,55.0,False,0.8018,-32155648.0,36539721.0,3241,89,0.729,-24910800.0,0.8969,-7244848.0,10981746.0,0.78,0.595,0.0
GBPJPY,57.5,False,0.7651,-28775191.0,33898314.0,2356,66,0.6668,-23562600.0,0.8994,-5212591.0,10294686.0,0.744,0.453,0.143
GBPJPY,60.0,False,0.8224,-14005402.0,18743006.0,1630,46,0.7697,-9236275.0,0.8769,-4769127.0,9050095.0,0.738,0.454,0.286
GBPJPY,61.8,True,0.8073,-11547299.0,17859067.0,1230,37,0.6857,-10820096.0,0.9715,-727203.0,7591870.0,1.158,0.347,0.429
GBPJPY,62.5,False,0.8282,-9082506.0,13510439.0,1113,32,0.7153,-8328757.0,0.9668,-784638.0,5597686.0,1.264,0.443,0.571
GBPJPY,65.0,False,0.9367,-1618524.0,8358996.0,590,15,0.8553,-2028554.0,1.0328,379140.0,4591686.0,0.728,0.366,0.286
GBPJPY,67.5,False,0.8701,-1377071.0,4901993.0,241,7,0.7121,-2181082.0,1.2656,804011.0,2323693.0,inf,0.432,0.667
GBPJPY,70.0,False,0.721,-1784657.0,3315750.0,110,4,0.6381,-1645886.0,0.925,-138771.0,1788879.0,inf,0.356,0.667
NZDJPY,50.0,False,0.8855,-16940857.0,24011279.0,5343,113,0.8347,-13600150.0,0.9486,-3374168.0,8963850.0,0.919,0.751,0.143
NZDJPY,52.5,False,0.9401,-6874300.0,11463221.0,4441,90,0.9667,-2034561.0,0.9102,-4819886.0,7703411.0,1.017,0.728,0.0
NZDJPY,55.0,False,1.0105,904179.0,6042300.0,3592,70,1.0191,891807.0,1.0008,32225.0,4723600.0,1.149,0.715,0.429
NZDJPY,57.5,False,1.0136,856104.0,5139539.0,2644,53,0.9942,-210839.0,1.0651,1723007.0,2626800.0,1.075,0.866,0.286
NZDJPY,60.0,False,1.0261,1111014.0,4967293.0,1825,35,0.9901,-234854.0,1.0731,1376479.0,2477975.0,1.287,0.73,0.571
NZDJPY,61.8,True,1.0998,2841093.0,3733907.0,1324,24,1.0601,946714.0,1.149,1894379.0,2509982.0,1.078,0.771,0.286
NZDJPY,62.5,False,1.0697,1757143.0,3787514.0,1164,21,0.9126,-1370425.0,1.3286,3127568.0,1778729.0,1.045,0.688,0.286
NZDJPY,65.0,False,1.0841,1272907.0,4696354.0,733,13,0.7354,-3239964.0,2.5554,4512871.0,1148286.0,1.285,0.452,0.571
NZDJPY,67.5,False,1.0785,558754.0,3049471.0,364,7,0.8235,-898950.0,1.7209,1457704.0,1012700.0,inf,0.114,0.714
NZDJPY,70.0,False,1.0834,252818.0,2167700.0,155,3,0.9762,-48189.0,1.2992,301007.0,1005900.0,inf,0.671,0.5
CHFJPY,50.0,False,1.0751,11423437.0,3132771.0,8313,2,1.0634,4909164.0,1.0873,6514273.0,3132771.0,1.113,1.053,0.0
CHFJPY,52.5,False,1.0722,9045780.0,2778136.0,6837,2,1.0732,4697293.0,1.0706,4319308.0,2778136.0,1.12,0.955,0.143
CHFJPY,55.0,False,1.0551,5499064.0,3394136.0,5439,2,1.0289,1472371.0,1.082,4013536.0,2006050.0,1.118,1.057,0.0
CHFJPY,57.5,False,1.0774,5625257.0,2444400.0,4069,3,1.0808,2895943.0,1.0737,2716157.0,2444400.0,1.088,1.007,0.143
CHFJPY,60.0,False,1.1201,6065536.0,2798879.0,2903,1,1.0994,2450486.0,1.14,3618579.0,2007050.0,1.125,0.941,0.286
CHFJPY,61.8,False,1.023,970214.0,2978436.0,2248,2,1.117,2219514.0,0.9466,-1244521.0,2978436.0,1.176,0.639,0.429
CHFJPY,62.5,False,1.0211,790957.0,2954650.0,1994,2,1.1326,2145943.0,0.936,-1367193.0,2954650.0,1.189,0.557,0.429
