pair,tag,full_pf,full_sharpe,full_n,is_pf,is_sharpe,oos_pf,oos_sharpe,oos_n,oos_net,wfo_min,wfo,blend_oos_g_sh,blend_oos_c_sh,blend_oos_g_dd,blend_oos_c_dd,oos_corr
AUDCAD,S1_sma200_stop3.0,0.382,-4.63,2784,0.398,-4.34,0.361,-5.06,1181,-15356597.0,0.32,"[np.float64(0.38), np.float64(0.34), np.float64(0.36), np.float64(0.32)]",1.18,-3.81,452815.0,13328696.0,0.003
AUDCAD,S1_sma200_stop5.0,0.479,-2.57,1565,0.516,-2.23,0.428,-3.11,673,-4444437.0,0.36,"[np.float64(0.37), np.float64(0.44), np.float64(0.47), np.float64(0.36)]",1.18,-1.08,452815.0,2472709.0,-0.006
AUDCAD,S1_sma480_stop3.0,0.387,-4.25,2473,0.404,-3.79,0.366,-4.93,1095,-15046438.0,0.34,"[np.float64(0.36), np.float64(0.34), np.float64(0.37), np.float64(0.34)]",1.18,-3.69,452815.0,12997405.0,0.017
AUDCAD,S1_sma480_stop5.0,0.479,-2.13,1168,0.501,-1.99,0.45,-2.34,497,-3741056.0,0.32,"[np.float64(0.43), np.float64(0.39), np.float64(0.55), np.float64(0.32)]",1.18,-0.73,452815.0,2079438.0,0.009
AUDCAD,S3_always_sma480_stop3.0,0.404,-4.87,4709,0.413,-4.47,0.393,-5.46,2033,-17965302.0,0.34,"[np.float64(0.41), np.float64(0.34), np.float64(0.38), np.float64(0.36)]",1.18,-4.31,452815.0,15916268.0,-0.013
AUDCAD,S2_fade_z2.0,0.522,-2.49,3955,0.508,-2.59,0.547,-2.33,1554,-3819635.0,0.47,"[np.float64(0.67), np.float64(0.68), np.float64(0.47), np.float64(0.5)]",1.18,-0.74,452815.0,2174325.0,0.04
AUDCAD,S2_fade_z2.5,0.532,-1.53,1490,0.555,-1.47,0.494,-1.61,580,-1644189.0,0.43,"[np.float64(0.57), np.float64(0.54), np.float64(0.43), np.float64(0.46)]",1.18,0.19,452815.0,802555.0,0.017
EURGBP,S1_sma200_stop3.0,0.4,-4.45,3182,0.446,-4.02,0.329,-5.2,1266,-18421079.0,0.23,"[np.float64(0.41), np.float64(0.29), np.float64(0.23), np.float64(0.38)]",1.14,-3.89,523745.0,15968999.0,-0.021
EURGBP,S1_sma200_stop5.0,0.494,-2.35,1682,0.557,-2.0,0.396,-2.97,697,-5666581.0,0.26,"[np.float64(0.59), np.float64(0.35), np.float64(0.26), np.float64(0.46)]",1.14,-1.15,523745.0,3701250.0,-0.056
EURGBP,S1_sma480_stop3.0,0.401,-4.25,2910,0.436,-4.06,0.339,-4.61,1078,-16287619.0,0.19,"[np.float64(0.45), np.float64(0.29), np.float64(0.19), np.float64(0.44)]",1.14,-3.38,523745.0,13851295.0,-0.029
