pair,tag,full_pf,full_net,full_dd,full_nfs,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCHF,baseline,1.2283,5393129.0,2971327.0,16,-1272110.0,1017,1.0421,1.6825,4688054.0,1550807.0,2.03355,0.8162
AUDCHF,long-only,0.8255,-2880304.0,4459816.0,12,-1176570.0,475,0.7289,1.0503,249402.0,2274284.0,0.9183000000000001,0.5424
AUDCHF,R-SMA1200,1.0856,1900788.0,3917644.0,17,-1176570.0,831,0.8965,1.5477,3531143.0,1550297.0,1.5958,0.8166
AUDCHF,soft short_lot0.5,1.099,1923832.0,2686279.0,13,-1176570.0,1017,0.9627,1.4101,2428055.0,1772001.0,1.4759,0.7026
AUDCHF,combo (both),1.1504,2385858.0,1643950.0,0,-695912.0,898,1.0579,1.3511,1757655.0,1122565.0,1.88815,0.5416
AUDCHF,long-only+combo,0.8895,-1020717.0,2399829.0,0,-695912.0,416,0.8942,0.8805,-379257.0,1854531.0,0.78335,0.3087
AUDCHF,R-SMA1200+combo,1.2166,2748800.0,1371839.0,0,-695912.0,744,1.0915,1.4905,1950922.0,1142097.0,1.8111000000000002,0.5415
NZDCHF,baseline,1.1274,3437679.0,5110607.0,20,-1197820.0,1127,0.7872,1.7167,7077713.0,1492995.0,1.6327500000000001,1.5102
NZDCHF,long-only,0.8511,-2527305.0,3268044.0,13,-1197820.0,528,0.8388,0.8632,-1169345.0,2530462.0,0.7866500000000001,0.6255
NZDCHF,R-SMA1200,1.1309,2985321.0,4009723.0,18,-1197820.0,952,0.8443,1.5292,5049874.0,1917114.0,1.617,1.1164
NZDCHF,soft short_lot0.5,1.0141,310620.0,3297050.0,15,-1197820.0,1125,0.7891,1.3376,3058315.0,1441051.0,1.19565,1.1242
NZDCHF,combo (both),1.1102,1849435.0,1780402.0,0,-490110.0,992,0.8954,1.4029,2862391.0,817875.0,1.38705,1.2817
NZDCHF,long-only+combo,0.8881,-1124936.0,2626359.0,0,-490110.0,442,1.0281,0.7706,-1253923.0,2236937.0,0.75065,0.5605
