pair,grp,n_years,trend_atr_med,path_eff_med,fs_per_yr,tp_fs_ratio_med,gate_share_med,pf_med,win_yr_rate,env_score,stageB
AUDCAD,ANCHOR_GO,12,25.138406138966374,0.0386246347971245,1.5833333333333333,35.75,0.061777977674732656,1.6353499999999999,0.8333333333333334,4,False
EURGBP,ANCHOR_GO,12,38.99484699213183,0.04984967710777895,1.8333333333333333,28.5,0.0681188117282043,1.53325,0.6666666666666666,4,False
AUDNZD,ANCHOR_GO,12,21.18984425088879,0.031261063933414934,1.9166666666666667,27.625,0.05382674598663997,0.9588000000000001,0.4166666666666667,4,False
GBPJPY,ANCHOR_NOGO,12,48.24309486452094,0.06718096105675322,1.5,27.0,0.03992406850662643,1.0070999999999999,0.5,1,False
EURUSD,ANCHOR_NOGO,12,36.98962776095822,0.04880942926197353,1.75,20.1,0.027077790932516194,0.9053,0.4166666666666667,3,False
CHFJPY,ANCHOR_NOGO,12,28.927133655394584,0.04444244346516759,2.25,25.916666666666664,0.061643910259919665,1.0457,0.6666666666666666,2,False
EURCHF,ANCHOR_NOGO,12,38.00225627881323,0.05601231648757383,3.25,33.75,0.1159122891566265,1.1012,0.75,2,False
AUDCHF,CAND_CHF,12,22.042023036123435,0.03260991511648054,2.1666666666666665,36.875,0.08591943462897526,1.43435,0.5833333333333334,3,True
NZDCHF,CAND_CHF,12,20.42455000292904,0.038577449237941076,2.6666666666666665,39.625,0.07127207215509007,1.5666,0.5833333333333334,3,True
CADCHF,CAND_CHF,12,29.589120353156403,0.04508663879501184,3.0833333333333335,37.45833333333333,0.10000821959469178,1.397,0.75,3,True
GBPCHF,CAND_EUROPE,12,34.314866940989745,0.049601833350917904,2.75,29.366666666666667,0.06642901793959256,1.2026,0.6666666666666666,3,True
GBPCAD,CAND_MIXED,12,21.15478804782763,0.033641807864126246,1.6666666666666667,31.5,0.04735936849232854,1.6167500000000001,0.6666666666666666,4,True
EURNZD,CAND_MIXED,12,20.8657843283415,0.029248217570807956,2.0,29.75,0.05499360479928535,1.0337,0.5,3,True
GBPAUD,CAND_MIXED,12,32.10359145143759,0.044714933393221946,2.25,25.25,0.0540869518849041,0.931,0.4166666666666667,2,False
EURAUD,CAND_MIXED,12,19.4192801119923,0.02609939798023437,2.3333333333333335,26.041666666666664,0.049527167815355023,0.83335,0.4166666666666667,2,False
EURCAD,CAND_MIXED,12,36.129903111322605,0.04592708118341155,2.5,37.5,0.07285048356415547,1.04525,0.5833333333333334,3,True
GBPNZD,CAND_MIXED,12,30.016916925414144,0.04572476615415656,2.75,28.166666666666664,0.06724955284930666,0.9,0.3333333333333333,3,True
NZDCAD,CAND_RESOURCE,12,22.51504848185108,0.033184933491303886,2.4166666666666665,28.0,0.06768454234272564,1.1286,0.5833333333333334,3,True
