pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
AUDCAD,ANCHOR_GO,2015,inf,293289.0,11,0,0,0,11.0,0.0,0.0,31.669515669515803,0.07939886573048978,58.06837606837621,0.007140816909454442
AUDCAD,ANCHOR_GO,2016,1.1431,334017.0,93,3,0,3,31.0,854353.0,-793908.0,26.66808873720139,0.041428902806773325,64.10494880546088,0.08392056374119154
AUDCAD,ANCHOR_GO,2017,2.4998,684049.0,53,0,1,1,53.0,456084.0,-456084.0,9.409233997901373,0.014001071120194927,56.32318992654774,0.04531576410091596
AUDCAD,ANCHOR_GO,2018,0.6512,-264465.0,23,1,0,1,23.0,758160.0,-758160.0,16.89042675893912,0.02441386875795014,91.88811995386561,0.014939759036144579
AUDCAD,ANCHOR_GO,2019,2.1923,722886.0,67,0,1,1,67.0,606312.0,-606312.0,47.24033149171256,0.06497945287460265,75.34668508287261,0.061837455830388695
AUDCAD,ANCHOR_GO,2020,1.2012,308803.0,78,1,2,3,26.0,776628.0,-776628.0,50.27305888483539,0.06919438893853729,130.62532569046277,0.08416
AUDCAD,ANCHOR_GO,2021,2.3883,810868.0,71,0,2,2,35.5,343548.0,-343548.0,54.52770780856456,0.07986209746145687,90.12720403022733,0.07307692307692308
AUDCAD,ANCHOR_GO,2022,1.3188,451166.0,72,1,1,2,36.0,784728.0,-784728.0,3.5961445783132544,0.005368438016196023,61.9575903614452,0.061718499519076625
AUDCAD,ANCHOR_GO,2023,1.4394,340867.0,47,1,0,1,47.0,775764.0,-775764.0,14.9498069498071,0.020871965155892826,75.97683397683498,0.03279215560199325
AUDCAD,ANCHOR_GO,2024,2.7517,1156132.0,103,0,2,2,51.5,454865.0,-439452.0,11.563920454545498,0.01615098322408626,64.70028409090914,0.08423256563053631
AUDCAD,ANCHOR_GO,2025,1.8313,767325.0,86,0,2,2,43.0,505548.0,-505548.0,23.608723540731354,0.03582036678747568,73.30468248877541,0.08145886889460155
