pair,tag,full_pf,full_net,full_dd,full_nfs,full_nb48,full_ncull,full_worst,full_ntp,is_pf,is_dd,is_worst,oos_pf,oos_net,oos_dd,oos_worst,wfo_med,wfo_min
AUDCAD,baseline,1.514,5582022.0,880833.0,8,11,0,-811728.0,738,1.4635,854353.0,-793908.0,1.5831,2674038.0,880833.0,-811728.0,1.6353499999999999,1.3188
AUDCAD,F1_mom2.0,2.478,8629856.0,884393.0,5,5,0,-811728.0,655,2.583,884393.0,-776736.0,2.3432,3436363.0,811728.0,-811728.0,4.71475,1.0073
AUDCAD,D1_cull0.4,1.5675,6258018.0,1007794.0,1,0,71,-753192.0,781,1.7605,416487.0,-300240.0,1.3719,2036768.0,1007794.0,-753192.0,1.8769,1.4645
AUDCAD,D1_cull0.5,1.6175,6540249.0,1116381.0,1,3,53,-753192.0,771,1.8108,536039.0,-335340.0,1.4263,2269882.0,1116381.0,-753192.0,1.9079000000000002,1.3682
AUDCAD,D1_cull0.6,1.7743,7455171.0,1260561.0,1,4,39,-753192.0,770,1.9584,628606.0,-366660.0,1.5828,2749537.0,1260561.0,-753192.0,2.58365,1.2108
AUDCAD,D2_taper0.85,1.4177,4086291.0,958254.0,7,12,0,-853308.0,736,1.3706,853308.0,-853308.0,1.4825,1986140.0,958254.0,-779717.0,1.5644,1.2435
AUDCAD,D2_taper0.7,1.3434,2996563.0,1043469.0,5,14,0,-789156.0,734,1.3025,789156.0,-789156.0,1.3991,1474601.0,1043469.0,-757220.0,1.53145,1.103
AUDCAD,D2_taper0.6,1.2993,2429171.0,1103874.0,5,14,0,-762480.0,734,1.2581,756950.0,-756950.0,1.3555,1221905.0,1103874.0,-762480.0,1.51725,0.9971
AUDCAD,D2_taper0.5,1.3878,2672816.0,1148585.0,4,14,0,-762426.0,738,1.4551,762426.0,-762426.0,1.3109,999480.0,1148585.0,-757566.0,1.51515,0.8903
AUDCAD,D3_widen0.3,1.7509,6261076.0,1120496.0,10,1,0,-823500.0,661,1.5546,1097565.0,-793152.0,2.0776,3372612.0,1120496.0,-823500.0,2.06785,1.2112
AUDCAD,D3_widen0.5,1.7285,5588942.0,1283553.0,10,0,0,-793152.0,603,1.5965,1166778.0,-793152.0,1.9262,2844076.0,1283553.0,-775008.0,1.99925,1.0264
AUDCAD,E_mom2.0+cull0.5,1.7921,6460869.0,787474.0,0,0,46,-498528.0,661,2.0165,520020.0,-335340.0,1.5509,2166438.0,787474.0,-498528.0,1.8606500000000001,0.941
AUDCAD,E_mom2.0+taper0.7,2.2917,6148100.0,789156.0,3,7,0,-789156.0,655,2.4013,789156.0,-789156.0,2.153,2423101.0,751264.0,-751264.0,4.8291,0.8413
AUDCAD,E_mom2.0+cull0.5+tap0.7,2.2658,6175830.0,410380.0,0,4,18,-344520.0,662,2.5611,392980.0,-344520.0,1.946,2215719.0,410380.0,-276158.0,2.30095,1.3619
EURGBP,baseline,1.2589,4606516.0,3217236.0,8,13,0,-1556670.0,826,1.2836,3217236.0,-1556670.0,1.2165,1418662.0,1682328.0,-1351660.0,1.3595000000000002,0.7728
EURGBP,EURGBP_mom2.0,1.6378,7469456.0,3031884.0,5,8,0,-1956810.0,701,1.5034,3031884.0,-1956810.0,1.9414,3382176.0,1325060.0,-1325060.0,1.43865,1.4217
EURGBP,EURGBP_cull0.5,1.2854,5133020.0,3340682.0,2,9,41,-1333800.0,851,1.3066,3340682.0,-1333800.0,1.2493,1664006.0,1007774.0,-428640.0,1.3160500000000002,0.9673
EURGBP,EURGBP_taper0.7,1.5591,5851643.0,2928195.0,3,15,0,-1333800.0,835,1.4919,2928195.0,-1333800.0,1.6948,2406811.0,1180891.0,-1210470.0,1.7184,1.3465
EURGBP,EURGBP_mom+cull,1.3934,5437807.0,3646724.0,2,2,34,-1333800.0,710,1.2504,3646724.0,-1333800.0,1.7251,3019107.0,907535.0,-414960.0,1.77065,1.202
EURGBP,EURGBP_mom+cull+tap,1.4754,4578433.0,2969407.0,2,6,14,-1333800.0,704,1.2903,2969407.0,-1333800.0,1.9647,2550677.0,693576.0,-515691.0,1.9717500000000001,1.6187
