pair,cull,taper,full_pf,full_net,full_dd,full_nfs,full_nb48,full_ncull,full_worst,full_ntp,is_pf,is_dd,is_worst,oos_pf,oos_net,oos_dd,oos_worst,wfo_med,wfo_min,mom
AUDCAD,0.4,0.6,2.1132,5282154.0,359149.0,0,6,18,-304776.0,651,2.261,317292.0,-304776.0,1.9373,2030510.0,359149.0,-243305.0,1.9781499999999999,1.4098,
AUDCAD,0.4,0.7,2.0825,5742076.0,541247.0,0,3,26,-304776.0,661,2.1695,358247.0,-304776.0,1.9727,2281857.0,541247.0,-262430.0,2.5637999999999996,0.9844,
AUDCAD,0.4,0.85,1.7901,5611293.0,642023.0,0,0,44,-360186.0,665,2.103,451491.0,-304776.0,1.4794,1708367.0,642023.0,-360186.0,2.0055,1.0048,
AUDCAD,0.4,1.0,1.7507,6268679.0,748448.0,0,0,54,-498528.0,662,1.9431,406084.0,-304776.0,1.5348,2104241.0,748448.0,-498528.0,2.06805,1.0011,
AUDCAD,0.5,0.6,2.1229,5343708.0,445938.0,0,5,15,-346143.0,662,2.2778,425369.0,-344520.0,1.9363,2020189.0,445938.0,-346143.0,2.1546000000000003,1.1525,
AUDCAD,0.5,0.7,2.2658,6175830.0,410380.0,0,4,18,-344520.0,662,2.5611,392980.0,-344520.0,1.946,2215719.0,410380.0,-276158.0,2.30095,1.3619,
AUDCAD,0.5,0.85,2.0136,6401185.0,727264.0,0,2,29,-365102.0,664,2.2057,525197.0,-335340.0,1.7949,2347939.0,727264.0,-365102.0,2.4027,0.9173,
AUDCAD,0.5,1.0,1.7921,6460869.0,787474.0,0,0,46,-498528.0,661,2.0165,520020.0,-335340.0,1.5509,2166438.0,787474.0,-498528.0,1.8606500000000001,0.941,
AUDCAD,0.6,0.6,2.0415,5085077.0,535214.0,0,7,10,-389723.0,656,2.2984,389723.0,-389723.0,1.7678,1814514.0,535214.0,-346143.0,2.03215,0.9766,
AUDCAD,0.6,0.7,2.0911,5702426.0,502447.0,0,5,15,-441194.0,659,2.1014,455933.0,-441194.0,2.077,2372356.0,502447.0,-297000.0,2.1390000000000002,1.1394,
AUDCAD,0.6,0.85,2.2638,7072914.0,746898.0,0,4,19,-399826.0,662,2.5975,403321.0,-326268.0,1.9168,2514715.0,746898.0,-399826.0,2.314,0.8018,
AUDCAD,0.6,1.0,2.1832,7988907.0,879274.0,0,1,31,-498528.0,667,2.2897,612036.0,-328212.0,2.049,3133713.0,879274.0,-498528.0,3.333,0.8473,
AUDCAD,0.5,0.7,2.4291,6298569.0,410380.0,0,4,15,-344520.0,631,2.4187,403689.0,-344520.0,2.4443,2575868.0,410380.0,-276158.0,3.3967,1.2897,1.5
AUDCAD,0.5,0.7,2.2658,6175830.0,410380.0,0,4,18,-344520.0,662,2.5611,392980.0,-344520.0,1.946,2215719.0,410380.0,-276158.0,2.30095,1.3619,2.0
AUDCAD,0.5,0.7,2.1306,5853080.0,460177.0,0,5,18,-335340.0,667,2.2716,460177.0,-335340.0,1.9603,2252703.0,413706.0,-276158.0,2.2936500000000004,1.3821,2.5
AUDCAD,0.5,0.7,2.0945,5933058.0,413706.0,0,5,19,-335340.0,696,2.1997,391090.0,-335340.0,1.9657,2353824.0,413706.0,-321131.0,2.20875,1.4934,3.0
EURGBP,0.4,0.6,1.3819,3564871.0,3048493.0,1,6,17,-1333800.0,702,1.1589,3048493.0,-1333800.0,2.0632,2447897.0,574021.0,-442677.0,2.0207,1.6792,
