pair,tag,src,full_pf,full_net,full_dd,full_nfs,full_nb48,full_ncull,full_worst,full_ntp,is_pf,is_dd,is_worst,oos_pf,oos_net,oos_dd,oos_worst,wfo_med,wfo_min
GBPJPY,baseline,v7,0.8073,-11547299.0,17859067.0,37,0,0,-2750400.0,1230,0.6857,11438975.0,-2750400.0,0.9715,-727203.0,7591870.0,-1856100.0,0.9953,0.606
GBPJPY,mom2.0_only,v7,0.8033,-9624396.0,16339210.0,31,0,0,-1878400.0,1000,0.676,9760225.0,-1878400.0,0.981,-388346.0,8767549.0,-1793700.0,1.3496000000000001,0.4967
GBPJPY,combo_m+c+t,v7,0.9162,-2602026.0,5504852.0,3,3,59,-1698536.0,1029,0.775,5287505.0,-1698536.0,1.112,1458092.0,2335058.0,-738200.0,1.6271,0.6113
CHFJPY,baseline,v7,0.9454,-1320557.0,2776471.0,2,70,0,-1531600.0,1219,1.0882,1085429.0,-878900.0,0.8468,-2199443.0,2776471.0,-1531600.0,1.0074,0.6324
CHFJPY,mom2.0_only,v7,1.0747,1426943.0,1488543.0,1,59,0,-1510000.0,1093,1.1192,1209400.0,-865500.0,1.0393,418236.0,1488543.0,-1510000.0,1.169,1.0506
CHFJPY,combo_m+c+t,v7,1.103,1542893.0,1207582.0,0,59,4,-749400.0,1091,1.1652,893218.0,-651951.0,1.0541,454118.0,1207582.0,-749400.0,1.05205,0.742
NZDJPY,baseline,v7,1.0998,2841093.0,3733907.0,24,5,0,-1195000.0,1324,1.0601,3512875.0,-1142600.0,1.149,1894379.0,2509982.0,-1195000.0,1.0947,0.7709
NZDJPY,mom2.0_only,v7,1.0016,43111.0,5431261.0,24,1,0,-1287900.0,1117,0.83,5431261.0,-1287900.0,1.316,2922536.0,1760129.0,-1195000.0,1.0895,0.8575
NZDJPY,combo_m+c+t,v7,0.9791,-371874.0,2832932.0,1,2,59,-1426053.0,1145,0.8276,2832932.0,-1426053.0,1.2539,1608708.0,1381315.0,-440700.0,1.4470999999999998,0.7393
AUDNZD,baseline,tpl(price),1.0775,958288.0,1505298.0,13,12,0,-885600.0,819,0.9406,1451491.0,-885600.0,1.3077,1663200.0,1505298.0,-668880.0,1.2349,0.9821
AUDNZD,mom2.0_only,tpl(price),1.2321,2179781.0,1137722.0,10,8,0,-729990.0,716,1.27,1042200.0,-729990.0,1.2075,1036598.0,1137722.0,-657900.0,1.0333,0.9769
AUDNZD,combo_m+c+t,tpl(price),1.1818,1311355.0,1164838.0,1,5,31,-650160.0,726,1.232,737727.0,-650160.0,1.1537,561458.0,1164838.0,-261588.0,1.7182,1.0441
EURCHF,baseline,tpl(price),1.2235,6504224.0,2685951.0,14,21,0,-1373600.0,1420,1.2279,2685951.0,-1275510.0,1.2142,2294314.0,1647840.0,-1373600.0,1.0737999999999999,1.0418
EURCHF,mom2.0_only,tpl(price),1.0071,212731.0,5606946.0,17,14,0,-1454010.0,1191,0.9822,5056844.0,-1454010.0,1.0521,541711.0,2652468.0,-1346740.0,1.0408,0.8673
EURCHF,combo_m+c+t,tpl(price),1.0418,817896.0,3355299.0,1,14,38,-1193740.0,1203,0.8948,3313234.0,-1193740.0,1.4446,2310230.0,810816.0,-466239.0,1.4894,1.1937
USDJPY,baseline,"tpl(ATR), qj=1.0",1.0926,906575.0,2496879.0,7,8,0,-999000.0,434,1.112,1223000.0,-999000.0,1.0713,332839.0,1988654.0,-916700.0,0.60425,0.2453
USDJPY,mom2.0_only,"tpl(ATR), qj=1.0",1.3562,2365511.0,2093779.0,7,1,0,-931400.0,370,1.8313,1386204.0,-887000.0,1.0389,154868.0,1709593.0,-931400.0,0.645,0.1873
USDJPY,combo_m+c+t,"tpl(ATR), qj=1.0",1.0422,299338.0,1678925.0,1,1,20,-1027810.0,373,1.2835,1561936.0,-1027810.0,0.843,-609804.0,1678925.0,-466130.0,0.5692999999999999,0.3094
EURUSD,baseline,"tpl(ATR), qj=155.0",0.8268,-3489426.0,4369821.0,10,11,0,-1395775.0,504,0.8944,2714426.0,-1201095.0,0.8071,-2186662.0,3122342.0,-1395775.0,0.942,0.5969
EURUSD,mom2.0_only,"tpl(ATR), qj=155.0",0.7976,-3640407.0,4725784.0,13,4,0,-1395775.0,433,0.8604,2040697.0,-1169630.0,0.7496,-2602611.0,4241088.0,-1395775.0,0.6454,0.2889
EURUSD,combo_m+c+t,"tpl(ATR), qj=155.0",0.8562,-1893092.0,2953918.0,0,2,33,-891197.0,450,0.7742,2640549.0,-891197.0,0.9916,-50717.0,1608760.0,-728810.0,0.9925999999999999,0.4138
