pair,tag,full_pf,full_net,full_dd,full_nfs,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCAD,baseline,1.514,5582022.0,880833.0,8,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,long-only,1.7734,3577947.0,1001492.0,4,-793908.0,368,1.7416,1.8182,1570470.0,775764.0,2.28225,0.6776
AUDCAD,R_sma480,1.7444,5552137.0,946065.0,7,-835164.0,580,1.5969,1.9963,2744315.0,932310.0,3.60295,1.2005
AUDCAD,R_sma1200,2.027,6195065.0,840996.0,4,-793908.0,548,1.6232,2.8921,3631747.0,775764.0,3.44455,1.2318
AUDCAD,R_sma2400,1.6411,4774414.0,964702.0,5,-793908.0,548,1.6012,1.6902,2301746.0,964702.0,1.3763,1.1382
AUDCAD,S sml2,1.5089,4765947.0,793908.0,4,-793908.0,635,1.6457,1.3578,1592178.0,775764.0,1.5738,1.039
AUDCAD,S sml2+slot0.5,1.5964,4171947.0,793908.0,4,-793908.0,635,1.6798,1.4966,1581324.0,775764.0,1.7917999999999998,0.9152
AUDCAD,S slot0.5,1.6527,4884535.0,1023495.0,5,-793908.0,741,1.8858,1.4216,1584001.0,1023495.0,2.1521500000000002,1.0585
AUDCAD,T_slot0.5,1.6527,4884535.0,1023495.0,5,-793908.0,741,1.8858,1.4216,1584001.0,1023495.0,2.1521500000000002,1.0585
AUDCAD,T_slot0.3,1.82,4830025.0,793908.0,4,-793908.0,742,1.8387,1.7958,2046713.0,775764.0,2.14365,0.9062
AUDCAD,C R-SMA1200+combo,2.8388,5596736.0,452815.0,0,-344520.0,492,3.5993,2.2138,2027900.0,452815.0,1.89085,1.1994
AUDCAD,C sml2+combo,1.6659,4164586.0,591508.0,0,-344520.0,570,2.2083,1.2187,749495.0,591508.0,1.2993000000000001,1.1153
AUDCAD,C long-only+combo,2.5134,3317883.0,542016.0,0,-344520.0,320,4.0726,1.6178,860295.0,542016.0,1.6926999999999999,0.5453
EURGBP,baseline,1.2589,4606516.0,3217236.0,8,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,long-only,1.4308,3528924.0,1981130.0,3,-1385290.0,421,1.2712,1.8501,1919780.0,1344535.0,2.2157999999999998,0.5263
EURGBP,R_sma480,1.2965,4327101.0,3488169.0,7,-1556670.0,697,1.1718,1.5894,2567782.0,1325060.0,1.5422500000000001,1.0947
EURGBP,R_sma1200,1.1992,3019670.0,3823852.0,8,-1556670.0,686,1.1224,1.3591,1765894.0,1332850.0,1.3807,0.8998
EURGBP,R_sma2400,1.1644,2543591.0,3981104.0,8,-1556670.0,685,0.9898,1.6895,2662531.0,1325060.0,1.47465,1.3072
EURGBP,S sml2,1.3029,4600646.0,1743535.0,3,-1385290.0,727,1.267,1.3681,1985005.0,1019275.0,1.42545,0.8279
EURGBP,S sml2+slot0.5,1.3477,4064785.0,1862332.0,3,-1385290.0,727,1.2686,1.5103,1952392.0,1181905.0,1.5627499999999999,0.7002
EURGBP,S slot0.5,1.4614,5436619.0,3029791.0,4,-1385290.0,835,1.3876,1.6143,2355260.0,971480.0,1.69315,0.9657
EURGBP,T_slot0.5,1.4614,5436619.0,3029791.0,4,-1385290.0,835,1.3876,1.6143,2355260.0,971480.0,1.69315,0.9657
EURGBP,T_slot0.3,1.3844,4170801.0,3113067.0,4,-1385290.0,835,1.2602,1.6808,2181068.0,1120702.0,1.8045,0.7899
EURGBP,C R-SMA1200+combo,1.3536,3024995.0,3393002.0,2,-1333800.0,585,1.0835,2.3825,2459177.0,523745.0,2.93695,1.7927
EURGBP,C sml2+combo,1.4978,4628729.0,1333800.0,1,-1333800.0,630,1.2751,2.0859,2773431.0,515691.0,2.3348500000000003,1.3949
EURGBP,C long-only+combo,1.5663,2638939.0,1333800.0,1,-1333800.0,353,1.1765,3.7823,1939746.0,515691.0,inf,1.1498
NZDJPY,baseline,1.0998,2841093.0,3733907.0,24,-1195000.0,1324,1.0601,1.149,1894379.0,2509982.0,1.0947,0.7709
NZDJPY,long-only,1.4789,5193329.0,2671250.0,9,-1089900.0,673,1.7096,1.258,1429704.0,2671250.0,1.32975,0.5801
NZDJPY,R_sma480,1.1204,2544532.0,2612989.0,19,-1089900.0,986,1.1948,1.032,308807.0,1821629.0,0.9923,0.9048
NZDJPY,R_sma1200,0.9902,-229229.0,4063225.0,21,-1195000.0,964,1.0504,0.9198,-867904.0,2774439.0,0.8774500000000001,0.5357
NZDJPY,R_sma2400,1.1311,2742493.0,2828214.0,18,-1195000.0,977,1.1112,1.1584,1395061.0,2828214.0,1.29895,0.5258
NZDJPY,S sml2,1.0657,1567636.0,2587679.0,9,-1089900.0,1077,1.0812,1.048,533371.0,2587679.0,0.96915,0.7379
NZDJPY,S sml2+slot0.5,1.1948,3380482.0,2608534.0,9,-1089900.0,1077,1.2658,1.1178,981537.0,2608534.0,1.0768,0.6721
NZDJPY,S slot0.5,1.1988,3931418.0,2289843.0,14,-1089900.0,1330,1.2313,1.162,1500714.0,2289843.0,1.15095,0.7181
NZDJPY,T_slot0.5,1.1988,3931418.0,2289843.0,14,-1089900.0,1330,1.2313,1.162,1500714.0,2289843.0,1.15095,0.7181
NZDJPY,T_slot0.3,1.2204,3724354.0,2331861.0,11,-1089900.0,1328,1.2162,1.2256,1700457.0,2331861.0,1.21615,0.6697
NZDJPY,C R-SMA1200+combo,0.9493,-757914.0,2658544.0,1,-1426053.0,857,0.8567,1.1093,600844.0,1304314.0,1.46425,0.8035
NZDJPY,C sml2+combo,0.9685,-569337.0,2571617.0,1,-1426053.0,974,0.8607,1.1412,980877.0,769811.0,1.3275000000000001,1.1256
NZDJPY,C long-only+combo,1.2803,2101475.0,1717468.0,1,-1426053.0,591,1.0805,1.6975,1675898.0,919323.0,1.68545,1.292
