pair,event,pf,net,maxDD,worst,nTP,nFS,nB48,bars
GBPJPY,2016_Brexit,inf,0.0,0.0,0.0,0,0,0,357
GBPJPY,2018_VolXmas,0.3018,-1066989.0,1528100.0,-1528100.0,13,1,0,490
GBPJPY,2020_COVID,inf,175575.0,0.0,0.0,5,0,0,962
GBPJPY,2022_UKgilt_BoE,inf,0.0,0.0,0.0,0,0,0,553
GBPJPY,2022_JPY_interv,inf,0.0,0.0,0.0,0,0,0,912
GBPJPY,2024_carry_unwind,inf,0.0,0.0,0.0,0,0,0,313
GBPJPY,2024_JPY_interv,inf,323839.0,0.0,0.0,8,0,0,285
CHFJPY,2016_Brexit,inf,0.0,0.0,0.0,0,0,0,357
CHFJPY,2018_VolXmas,inf,0.0,0.0,0.0,0,0,0,490
CHFJPY,2020_COVID,1.7367,496607.0,647671.0,-674100.0,39,0,1,962
CHFJPY,2022_UKgilt_BoE,inf,654964.0,0.0,0.0,25,0,0,553
CHFJPY,2022_JPY_interv,inf,722721.0,0.0,0.0,27,0,0,912
CHFJPY,2024_carry_unwind,inf,0.0,0.0,0.0,0,0,0,313
CHFJPY,2024_JPY_interv,inf,0.0,0.0,0.0,0,0,0,284
NZDJPY,2016_Brexit,inf,0.0,0.0,0.0,0,0,0,357
NZDJPY,2018_VolXmas,inf,0.0,0.0,0.0,0,0,0,490
NZDJPY,2020_COVID,0.4682,-644432.0,1211700.0,-1211700.0,23,1,0,962
NZDJPY,2022_UKgilt_BoE,0.7531,-295054.0,1163307.0,-1195000.0,23,1,0,552
NZDJPY,2022_JPY_interv,1.1815,216875.0,1163307.0,-1195000.0,37,1,0,911
NZDJPY,2024_carry_unwind,inf,0.0,0.0,0.0,0,0,0,313
NZDJPY,2024_JPY_interv,inf,0.0,0.0,0.0,0,0,0,281
AUDCAD,2016_Brexit,inf,0.0,0.0,0.0,0,0,0,357
AUDCAD,2018_VolXmas,inf,121523.0,0.0,0.0,8,0,0,489
AUDCAD,2020_COVID,inf,0.0,0.0,0.0,0,0,0,962
AUDCAD,2022_UKgilt_BoE,inf,649358.0,0.0,0.0,32,0,0,552
AUDCAD,2022_JPY_interv,inf,926455.0,0.0,0.0,47,0,0,911
AUDCAD,2024_carry_unwind,inf,0.0,0.0,0.0,0,0,0,312
AUDCAD,2024_JPY_interv,inf,0.0,0.0,0.0,0,0,0,280
