pair,oos_year,is_qualified,is_pf,sel_atr,sel_lv,sel_fs,oos_pf,oos_net,oos_dd,oos_worst,oos_nfs
GBPJPY,2019,1,1.0437,2.0,3.0,-1500000.0,1.0301,56543.0,1521300.0,-1521300.0,1.0
GBPJPY,2020,1,1.016,2.0,3.0,-1000000.0,1.2135,469186.0,710986.0,-586200.0,0.0
GBPJPY,2021,1,1.1128,2.0,3.0,-500000.0,0.6497,-1082043.0,1461886.0,-614400.0,4.0
GBPJPY,2022,0,,,,,,,,,
GBPJPY,2023,0,,,,,,,,,
GBPJPY,2024,0,,,,,,,,,
GBPJPY,2025,0,,,,,,,,,
CHFJPY,2019,1,1.1905,2.0,7.0,-1000000.0,2.2658,1369771.0,1082100.0,-1082100.0,1.0
CHFJPY,2020,1,1.3187,2.0,7.0,-1000000.0,1.3319,684686.0,1785043.0,-1036700.0,2.0
CHFJPY,2021,1,1.7429,2.0,7.0,-1500000.0,0.8917,-566529.0,2097300.0,-1542700.0,2.0
CHFJPY,2022,1,1.5002,1.5,7.0,-1500000.0,0.7161,-1308954.0,3473100.0,-1600700.0,3.0
CHFJPY,2023,1,1.2478,2.0,5.0,-1000000.0,0.8657,-446086.0,1211000.0,-1211000.0,3.0
CHFJPY,2024,1,1.2221,2.0,3.0,-500000.0,0.8631,-856100.0,1903329.0,-539900.0,10.0
CHFJPY,2025,1,1.0951,1.0,7.0,-1000000.0,1.0919,876743.0,2318943.0,-1209100.0,9.0
NZDJPY,2019,1,1.4126,1.5,5.0,-1500000.0,1.1707,300429.0,689314.0,-552100.0,0.0
NZDJPY,2020,1,1.581,2.0,7.0,-1500000.0,0.8079,-535086.0,2229814.0,-1580900.0,1.0
NZDJPY,2021,1,1.3866,1.5,5.0,-1500000.0,0.4168,-2497950.0,3055489.0,-1522700.0,2.0
NZDJPY,2022,1,1.1191,2.0,5.0,-500000.0,0.8949,-331514.0,1034329.0,-596800.0,6.0
NZDJPY,2023,1,1.2225,1.0,7.0,-1500000.0,0.8828,-353264.0,1811493.0,-1512100.0,2.0
NZDJPY,2024,1,1.2582,2.0,7.0,-1000000.0,1.2335,745600.0,1412700.0,-1121800.0,3.0
NZDJPY,2025,1,1.474,2.0,7.0,-1000000.0,0.6688,-1021143.0,1721914.0,-1068300.0,3.0
AUDCAD,2019,1,1.4716,2.0,7.0,-1500000.0,inf,2234381.0,0.0,0.0,0.0
AUDCAD,2020,1,1.7201,2.0,7.0,-1500000.0,1.3258,499809.0,1534032.0,-1534032.0,1.0
AUDCAD,2021,1,2.6742,2.0,7.0,-1500000.0,inf,2107790.0,0.0,0.0,0.0
AUDCAD,2022,1,1.6543,2.0,7.0,-1500000.0,1.5492,848062.0,1544184.0,-1544184.0,1.0
AUDCAD,2023,1,1.8846,2.0,7.0,-1500000.0,1.9756,2292223.0,1530036.0,-1530036.0,1.0
AUDCAD,2024,1,1.8276,1.5,5.0,-1500000.0,2.0437,1534017.0,521532.0,-521532.0,0.0
AUDCAD,2025,1,3.0312,2.0,7.0,-1500000.0,2.2566,1893996.0,1507248.0,-1507248.0,1.0
