tag,full_pf,full_net,full_dd,full_nfs,full_nb48,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
baseline,1.514,5582022.0,880833.0,8,11,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
A_dd0.3,1.2967,3441694.0,1015752.0,13,4,-784728.0,677,1.1529,1.5373,2331450.0,1015752.0,1.7365,1.1445
A_dd0.4,1.5485,5580129.0,924738.0,8,10,-836568.0,708,1.3886,1.8045,3146935.0,906938.0,2.0528,1.4057
A_dd0.5,1.5871,6022875.0,906938.0,8,10,-818856.0,733,1.4387,1.8235,3257172.0,906938.0,2.11835,1.4057
A_dd0.6,1.5987,6142766.0,906938.0,8,10,-818856.0,737,1.4486,1.8381,3314913.0,906938.0,2.1281,1.4057
A_dd0.75,1.5052,5502156.0,906938.0,8,11,-818856.0,736,1.4528,1.5774,2647932.0,906938.0,1.6185,1.3188
B_adx20,1.5964,3557462.0,1374832.0,6,3,-891864.0,444,1.7877,1.3675,998009.0,821201.0,3.2668,1.4899
B_adx25,1.8583,5747552.0,1071476.0,5,7,-836568.0,577,2.0931,1.5935,1868188.0,811728.0,1.8617,0.5374
B_adx30,1.7786,6052332.0,998379.0,5,9,-836568.0,634,1.8196,1.7246,2435770.0,811728.0,1.9256000000000002,0.9413
B_adx35,1.7674,6507787.0,882078.0,6,9,-811728.0,683,1.6698,1.9159,3079146.0,811728.0,2.05715,1.1989
C_slope0.0,1.5616,4898290.0,953254.0,7,7,-788400.0,606,1.4846,1.6752,2378233.0,898194.0,1.4226999999999999,1.1755
C_slope-1.0,1.5051,4951777.0,1525427.0,8,8,-788400.0,663,1.509,1.5002,2156748.0,1525427.0,1.33045,1.0799
C_slope-2.0,1.5314,5326066.0,951765.0,7,11,-788400.0,696,1.4924,1.5863,2441190.0,951765.0,1.5034,1.1717
