pair,tag,full_pf,full_net,full_dd,full_nfs,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCAD,baseline,1.514,5582022.0,880833.0,8,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,E1_NFP±24h,1.5365,5491623.0,994911.0,8,-811728.0,705,1.5332,1.5405,2478515.0,880833.0,1.6135000000000002,1.2819
AUDCAD,E1_NFP±48h,1.3726,4024095.0,1387495.0,9,-811728.0,659,1.4362,1.3028,1558953.0,1387495.0,1.3606500000000001,1.1849
AUDCAD,E2_real±24h(22-26),1.5081,5130710.0,1029761.0,8,-793908.0,686,1.4635,1.5812,2222725.0,1029761.0,1.87485,1.2702
AUDCAD,T0_mom24=2.0_(ref),2.478,8629856.0,884393.0,5,-811728.0,655,2.583,2.3432,3436363.0,811728.0,4.71475,1.0073
AUDCAD,T1_mom120=3,2.1278,7476794.0,944730.0,5,-820800.0,630,1.9243,2.4792,3595756.0,944730.0,2.52805,1.0804
AUDCAD,T1_mom120=4,1.6585,5881040.0,941621.0,8,-836568.0,664,1.3892,2.2305,3517664.0,907146.0,2.6929,1.1534
AUDCAD,T1_mom120=6,1.6057,5992118.0,926659.0,8,-836568.0,711,1.4873,1.7941,3031379.0,926659.0,2.3447,1.3521
AUDCAD,T1_mom120=8,1.5148,5541661.0,855202.0,8,-811728.0,729,1.4505,1.6047,2715421.0,855202.0,1.70905,1.3188
AUDCAD,T2_mom24+mom120=4,2.2795,7674700.0,996362.0,6,-822204.0,613,2.3903,2.1415,3048219.0,996362.0,3.1684,0.9467
AUDCAD,T2_mom24+mom120=6,2.4634,8388240.0,959098.0,5,-804924.0,636,2.5044,2.4066,3382136.0,804924.0,4.89055,1.0073
AUDCAD,T3_combo_(ref),2.2658,6175830.0,410380.0,0,-344520.0,662,2.5611,1.946,2215719.0,410380.0,2.30095,1.3619
AUDCAD,T3_combo+mom120=4,1.9823,5182666.0,599787.0,0,-362804.0,618,2.3982,1.588,1592208.0,599787.0,2.09405,0.9368
AUDCAD,T3_combo+mom120=6,2.1403,5754616.0,479168.0,0,-344520.0,640,2.4919,1.7761,1923453.0,479168.0,2.3386,1.3619
EURGBP,baseline,1.2589,4606516.0,3217236.0,8,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,E1_NFP±24h,1.3826,6056630.0,3003941.0,7,-1556670.0,812,1.4204,1.3193,1891497.0,1682328.0,1.54265,0.7728
EURGBP,E1_NFP±48h,1.428,6205746.0,2562028.0,6,-1556670.0,780,1.5578,1.2402,1422835.0,1682328.0,1.522,0.6893
EURGBP,E2_real±24h(22-26),1.2571,4223748.0,3217236.0,8,-1556670.0,754,1.2836,1.1998,1035894.0,2173933.0,1.96295,0.985
EURGBP,T0_mom24=2.0_(ref),1.6378,7469456.0,3031884.0,5,-1956810.0,701,1.5034,1.9414,3382176.0,1325060.0,1.43865,1.4217
EURGBP,T1_mom120=3,1.3196,4712333.0,2941906.0,9,-1558950.0,721,1.2554,1.4523,2175357.0,1969018.0,1.7805,0.6248
EURGBP,T1_mom120=4,1.4987,6891307.0,2822518.0,7,-1556670.0,764,1.4017,1.7048,3115416.0,1881278.0,2.16205,0.6776
EURGBP,T1_mom120=6,1.4156,6345233.0,2807576.0,7,-1556670.0,796,1.3952,1.4526,2456069.0,1824034.0,1.6344,0.72
EURGBP,T1_mom120=8,1.2626,4608633.0,3202701.0,8,-1556670.0,814,1.2684,1.2525,1600560.0,1717709.0,1.4797,0.7596
EURGBP,T2_mom24+mom120=4,1.923,8767950.0,2978535.0,5,-1338550.0,665,1.6723,2.582,4141043.0,1325060.0,2.7352,1.3479
EURGBP,T2_mom24+mom120=6,1.5916,6928262.0,3027752.0,5,-1956810.0,677,1.4487,1.9146,3285602.0,1325060.0,1.42645,1.3905
EURGBP,T3_combo_(ref),1.4754,4578433.0,2969407.0,2,-1333800.0,704,1.2903,1.9647,2550677.0,693576.0,1.9717500000000001,1.6187
EURGBP,T3_combo+mom120=4,1.6249,5276741.0,2610173.0,2,-1333800.0,661,1.3721,2.3606,2938256.0,697802.0,3.4677,2.1611
EURGBP,T3_combo+mom120=6,1.4553,4384800.0,2988715.0,2,-1333800.0,680,1.259,1.9742,2575787.0,690319.0,1.99815,1.6043
GBPJPY,baseline,0.8073,-11547299.0,17859067.0,37,-2750400.0,1230,0.6857,0.9715,-727203.0,7591870.0,0.9953,0.606
GBPJPY,E1_NFP±24h,0.7754,-13238874.0,18933499.0,37,-1878400.0,1175,0.6747,0.9076,-2355313.0,8602838.0,0.9455,0.5854
GBPJPY,E1_NFP±48h,0.8347,-8670135.0,14221895.0,33,-1856100.0,1132,0.7282,0.977,-516770.0,6333024.0,0.9455,0.5854
GBPJPY,E2_real±24h(22-26),0.7548,-14823504.0,20194536.0,37,-2750400.0,1167,0.6857,0.8462,-4003407.0,9927339.0,0.8956,0.5431
GBPJPY,T0_mom24=2.0_(ref),0.8033,-9624396.0,16339210.0,31,-1878400.0,1000,0.676,0.981,-388346.0,8767549.0,1.3496000000000001,0.4967
GBPJPY,T1_mom120=3,0.7682,-11909763.0,16996499.0,32,-2750400.0,999,0.6401,0.9376,-1380978.0,7765524.0,1.0528,0.5393
GBPJPY,T1_mom120=4,0.7848,-11456056.0,16909981.0,33,-2750400.0,1053,0.6441,0.9816,-407770.0,7322492.0,1.1641,0.5501
GBPJPY,T1_mom120=6,0.8489,-8098156.0,14323803.0,33,-2750400.0,1151,0.711,1.0426,950051.0,6728710.0,1.2508,0.5684
GBPJPY,T1_mom120=8,0.8083,-11199631.0,17384456.0,36,-2750400.0,1196,0.6994,0.949,-1301699.0,8068899.0,0.9626,0.5876
GBPJPY,T2_mom24+mom120=4,0.7781,-10454895.0,16656463.0,30,-1878400.0,927,0.6626,0.9296,-1435445.0,9260410.0,1.28135,0.4865
GBPJPY,T2_mom24+mom120=6,0.813,-8864267.0,15432167.0,30,-1878400.0,976,0.7067,0.9532,-956217.0,9125495.0,1.28545,0.4861
USDJPY,baseline,1.0926,906575.0,2496879.0,7,-999000.0,434,1.112,1.0713,332839.0,1988654.0,0.60425,0.2453
USDJPY,E1_NFP±24h,1.0598,571175.0,2253086.0,7,-999000.0,407,0.9989,1.1303,576632.0,1903636.0,0.6447,0.2453
USDJPY,E1_NFP±48h,0.9938,-59264.0,2392982.0,7,-999000.0,383,0.944,1.0514,227582.0,1903636.0,0.6184999999999999,0.2453
USDJPY,E2_real±24h(22-26),1.1975,1619068.0,1353821.0,6,-999000.0,405,1.112,1.3397,1045332.0,1009021.0,2.9016,0.7523
