pair,tag,full_pf,full_net,full_dd,full_nfs,full_nbk,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCAD,baseline,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X1_tp0.6,1.715,6603388.0,993868.0,8,0,-794556.0,1197,1.577,1.9347,3330081.0,970328.0,4.2543,1.3475
AUDCAD,X1_tp0.8,1.5008,5307592.0,943358.0,8,0,-825768.0,901,1.5252,1.4687,2145593.0,928300.0,1.63945,1.1384
AUDCAD,X1_tp1.2,1.2355,3014962.0,1797135.0,10,0,-810324.0,593,1.3693,1.1024,657509.0,1797135.0,1.3782999999999999,0.7679
AUDCAD,X1_tp1.5,1.2227,2987286.0,2047354.0,11,0,-812268.0,483,1.2017,1.2481,1504371.0,1390620.0,2.11445,0.8342
AUDCAD,X1_tp2.0,1.0453,696546.0,2523219.0,12,0,-813456.0,354,0.9622,1.1474,1017661.0,1365205.0,1.3529,0.833
AUDCAD,X2_bk0.15,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X2_bk0.25,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X2_bk0.4,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X3_arm0.15_gb0.5,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X3_arm0.25_gb0.5,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X3_arm0.25_gb0.33,1.514,5582022.0,880833.0,8,0,-811728.0,738,1.4635,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,X4_b48_24,1.549,5843841.0,854353.0,7,0,-811728.0,738,1.3957,1.7946,3250048.0,811728.0,2.3606499999999997,1.2429
AUDCAD,X4_b48_36,1.5314,5673861.0,854353.0,7,0,-811728.0,732,1.3546,1.8336,3284909.0,811728.0,2.33865,1.4108
AUDCAD,X4_b48_72,1.5257,5665182.0,880833.0,9,0,-811728.0,738,1.4465,1.6393,2831178.0,880833.0,2.085,1.1948
AUDCAD,X4_b48_96,1.3601,4361279.0,1123115.0,11,0,-811728.0,740,1.3545,1.3673,1954453.0,1123115.0,1.51445,1.1948
AUDCAD,L2_pyr1.15,1.4401,6012747.0,1459989.0,13,0,-944571.0,744,1.4984,1.3725,2355890.0,1459989.0,1.654,1.4518
AUDCAD,L2_pyr1.3,1.3164,5530846.0,1783338.0,20,0,-1138683.0,739,1.3822,1.2402,1946524.0,1783338.0,1.5793,1.0009
AUDCAD,C_combo_(ref),2.2658,6175830.0,410380.0,0,0,-344520.0,662,2.5611,1.946,2215719.0,410380.0,2.30095,1.3619
AUDCAD,C_combo+tp0.8,2.2139,5993513.0,575672.0,0,0,-359932.0,815,2.4329,1.9535,2150540.0,575672.0,2.5328,1.0719
AUDCAD,C_combo+tp1.2,1.7871,4661529.0,558138.0,0,0,-364165.0,540,2.0721,1.5002,1476526.0,558138.0,1.9608999999999999,1.0178
AUDCAD,C_combo+bk0.25,2.2658,6175830.0,410380.0,0,0,-344520.0,662,2.5611,1.946,2215719.0,410380.0,2.30095,1.3619
