pair,ci_th,atr_mult,max_levels,float_stop,is_pf,is_net,is_ntp,is_lev,oos_pf,oos_net,oos_ntp,oos_lev,oos_worst,oos_dd
GBPJPY,61.8,1.0,3,-500000.0,0.9877,-83732.0,178,14,1.0513,239590.0,200,14,-627798.0,1413964.0
GBPJPY,61.8,1.0,3,-750000.0,1.0303,171268.0,160,10,1.9468,2430417.0,205,11,-505899.0,505899.0
GBPJPY,61.8,1.0,3,-1000000.0,1.2627,1201273.0,159,8,1.9468,2430417.0,205,11,-505899.0,505899.0
GBPJPY,61.8,1.0,3,-1500000.0,1.2165,1005644.0,156,8,1.9468,2430417.0,205,11,-505899.0,505899.0
GBPJPY,61.8,1.0,3,-2000000.0,1.3029,1313746.0,156,8,1.9468,2430417.0,205,11,-505899.0,505899.0
GBPJPY,61.8,1.0,3,-3000000.0,1.3029,1313746.0,156,8,1.9468,2430417.0,205,11,-505899.0,505899.0
GBPJPY,61.8,1.0,5,-500000.0,0.9118,-723765.0,201,15,0.9353,-402452.0,240,11,-743398.0,1221905.0
GBPJPY,61.8,1.0,5,-750000.0,0.9647,-260802.0,191,9,1.4043,1740955.0,249,6,-853702.0,1174187.0
GBPJPY,61.8,1.0,5,-1000000.0,0.9452,-407470.0,190,7,1.8932,2734391.0,239,4,-1121204.0,1662398.0
GBPJPY,61.8,1.0,5,-1500000.0,1.3579,1836243.0,189,4,1.8411,2621999.0,237,4,-1244003.0,1664048.0
GBPJPY,61.8,1.0,5,-2000000.0,1.1897,1111142.0,189,4,1.8411,2621999.0,237,4,-1244003.0,1664048.0
GBPJPY,61.8,1.0,5,-3000000.0,3.8301,5051426.0,185,2,1.8411,2621999.0,237,4,-1244003.0,1664048.0
GBPJPY,61.8,1.0,7,-500000.0,0.9118,-723765.0,201,15,0.9289,-446610.0,241,11,-743398.0,1202462.0
GBPJPY,61.8,1.0,7,-750000.0,0.9555,-333016.0,192,9,1.1387,748159.0,252,7,-791800.0,1605099.0
GBPJPY,61.8,1.0,7,-1000000.0,0.9488,-380744.0,191,7,1.3675,1670471.0,256,4,-1309506.0,2028301.0
GBPJPY,61.8,1.0,7,-1500000.0,1.513,2533352.0,202,3,1.541,2222013.0,261,3,-1765196.0,2741135.0
