month,basket_p5,solo_p5,basket_p50,solo_p50,basket_p95,solo_p95
0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0
1,403503.0,433996.0,538338.0,500000.0,741207.0,689571.0
2,390604.0,433951.0,589224.0,528695.0,876550.0,764740.0
3,420478.0,395009.0,640171.0,575417.0,1024584.0,818282.0
4,410130.0,395009.0,697802.0,596418.0,1202693.0,937375.0
5,416444.0,390044.0,764628.0,638654.0,1402750.0,1020842.0
6,437534.0,395009.0,830225.0,670301.0,1588199.0,1115435.0
7,449066.0,396806.0,906454.0,707549.0,1839711.0,1217386.0
8,463589.0,397186.0,992533.0,745702.0,2104692.0,1335073.0
9,489363.0,407551.0,1078959.0,785328.0,2366116.0,1449773.0
10,502154.0,413913.0,1182811.0,824139.0,2708436.0,1568201.0
11,527938.0,417679.0,1284985.0,866150.0,3058691.0,1691071.0
12,566331.0,428208.0,1403710.0,912521.0,3421498.0,1814879.0
13,586992.0,436769.0,1527462.0,958625.0,3896368.0,1979501.0
14,616846.0,442859.0,1663118.0,1009486.0,4409157.0,2154692.0
15,652781.0,456357.0,1812824.0,1062209.0,4900836.0,2318589.0
16,678787.0,464994.0,1976928.0,1117721.0,5562851.0,2496835.0
17,714610.0,475112.0,2152215.0,1173000.0,6332797.0,2665380.0
18,762046.0,490233.0,2352701.0,1231922.0,6952923.0,2866825.0
19,798568.0,502860.0,2562696.0,1296678.0,7924397.0,3104986.0
20,835358.0,511716.0,2785137.0,1361498.0,8821343.0,3325436.0
21,899461.0,527902.0,3046399.0,1428957.0,9854229.0,3582014.0
22,944641.0,546822.0,3320877.0,1498093.0,11115789.0,3869402.0
23,996281.0,560346.0,3609587.0,1576715.0,12402732.0,4114910.0
24,1083338.0,582483.0,3931443.0,1658153.0,13836271.0,4439139.0
25,1131629.0,595447.0,4301796.0,1741892.0,15577798.0,4787489.0
26,1202960.0,611566.0,4672898.0,1839528.0,17282706.0,5135819.0
27,1298349.0,630047.0,5096657.0,1925253.0,19296964.0,5505688.0
28,1364969.0,646248.0,5557198.0,2024875.0,21893872.0,5979364.0
29,1445303.0,663462.0,6058285.0,2128662.0,24367196.0,6333913.0
30,1551884.0,681613.0,6636535.0,2229590.0,26614297.0,6725810.0
31,1606890.0,707920.0,7202776.0,2338536.0,29660888.0,7233643.0
32,1724377.0,729726.0,7795199.0,2467393.0,33557619.0,7719988.0
33,1873470.0,754795.0,8557876.0,2585877.0,37108741.0,8302572.0
34,1979394.0,775547.0,9302129.0,2717790.0,41419848.0,8824336.0
35,2095076.0,797468.0,10125998.0,2862079.0,45667302.0,9439928.0
36,2235659.0,821934.0,11048478.0,3022666.0,51621448.0,10128109.0
37,2392483.0,849684.0,12032908.0,3155610.0,57551340.0,10805081.0
38,2541650.0,871330.0,13079613.0,3309109.0,64334531.0,11601131.0
39,2726077.0,902253.0,14217021.0,3491132.0,71469922.0,12340068.0
40,2907175.0,928063.0,15532949.0,3640797.0,79156450.0,13172082.0
41,3069668.0,966292.0,16776952.0,3827719.0,86347845.0,14023199.0
42,3326630.0,1005325.0,18245877.0,4025302.0,96249778.0,15025578.0
43,3525935.0,1045563.0,19843477.0,4229561.0,107137824.0,15980353.0
44,3795237.0,1081918.0,21596713.0,4441134.0,118878183.0,17075263.0
45,4122258.0,1115969.0,23588559.0,4684533.0,130839117.0,18191401.0
46,4363736.0,1139863.0,25757989.0,4927128.0,146500419.0,19482435.0
47,4659725.0,1179590.0,27992664.0,5172389.0,161988584.0,20806124.0
48,5014827.0,1216567.0,30472355.0,5436582.0,181615701.0,22372349.0
49,5281254.0,1263181.0,33222446.0,5700943.0,203392829.0,23489221.0
50,5654039.0,1297192.0,36238133.0,6035040.0,224487499.0,25289748.0
51,6081263.0,1381007.0,39351275.0,6333293.0,247918171.0,26906682.0
52,6427661.0,1424883.0,43049385.0,6635390.0,272712866.0,28553617.0
53,6953401.0,1473571.0,46685391.0,6954268.0,302084912.0,30581754.0
54,7471714.0,1537076.0,50683633.0,7292610.0,333231613.0,32581116.0
55,8054568.0,1587001.0,55324461.0,7689607.0,367746001.0,34549851.0
56,8485484.0,1648122.0,60349372.0,8031525.0,405876877.0,36780220.0
57,8937072.0,1710911.0,66099997.0,8431946.0,454536106.0,39552463.0
58,9477981.0,1753625.0,72163498.0,8870236.0,508103033.0,42373383.0
59,10233800.0,1812227.0,77874075.0,9308783.0,555334727.0,45044760.0
60,11073410.0,1879207.0,85314761.0,9822514.0,619852392.0,47736749.0
