dc,adx,trail,gate,seg,n_tr,pf,net_R,worst_R,sharpe,comp_insR,comp_normR,corr_all,corr_ins
20,OFF,3.0,inverse,IS,160,0.666,-19.95,-2.81,-1.023,-19.95,0.0,0.051,0.053
20,OFF,3.0,inverse,OOS,108,0.626,-15.09,-1.92,-1.489,-15.09,0.0,-0.02,-0.013
20,OFF,3.0,none,IS,181,0.634,-24.16,-2.81,-1.206,-24.16,0.0,0.022,0.024
20,OFF,3.0,none,OOS,115,0.596,-17.03,-2.02,-1.69,-17.03,0.0,-0.069,-0.061
20,25,3.0,inverse,IS,116,0.786,-8.45,-2.7,-0.467,-8.45,0.0,0.054,0.055
20,25,3.0,inverse,OOS,78,0.541,-14.82,-1.92,-1.687,-14.82,0.0,-0.003,0.006
20,25,3.0,none,IS,125,0.718,-12.28,-2.7,-0.67,-12.28,0.0,0.038,0.039
20,25,3.0,none,OOS,79,0.564,-13.52,-1.78,-1.573,-13.52,0.0,-0.003,0.005
40,OFF,3.0,inverse,IS,117,0.572,-20.69,-2.81,-1.309,-20.69,0.0,0.052,0.054
40,OFF,3.0,inverse,OOS,80,0.731,-7.74,-1.92,-0.861,-7.74,0.0,0.028,0.033
40,OFF,3.0,none,IS,128,0.547,-24.68,-2.81,-1.505,-24.68,0.0,0.037,0.039
40,OFF,3.0,none,OOS,84,0.733,-7.62,-1.87,-0.878,-7.62,0.0,0.012,0.017
40,25,3.0,inverse,IS,81,0.759,-7.09,-2.7,-0.501,-7.09,0.0,0.056,0.057
40,25,3.0,inverse,OOS,53,0.74,-5.2,-1.92,-0.69,-5.2,0.0,0.052,0.056
40,25,3.0,none,IS,85,0.709,-9.2,-2.7,-0.643,-9.2,0.0,0.048,0.049
40,25,3.0,none,OOS,54,0.77,-4.42,-1.76,-0.6,-4.42,0.0,0.054,0.058
