pair,entry_time,exit_time,side,pnl_r
GBPJPY,2024-07-02 16:00:00,2024-07-03 14:00:00,1,0.9865633954809101
GBPJPY,2024-07-03 16:00:00,2024-07-04 10:00:00,1,-0.8528475518364751
GBPJPY,2024-07-08 12:00:00,2024-07-08 20:00:00,1,-0.8843386586259724
GBPJPY,2024-07-10 12:00:00,2024-07-11 12:00:00,1,1.5479030797509203
GBPJPY,2024-07-24 16:00:00,2024-07-25 12:00:00,-1,0.40611322376430986
GBPJPY,2024-07-26 00:00:00,2024-07-26 10:00:00,-1,-0.7672424165803641
GBPJPY,2024-07-31 08:00:00,2024-08-01 12:00:00,-1,0.2551872177224727
GBPJPY,2024-08-01 16:00:00,2024-08-02 13:00:00,-1,0.7894887687247188
GBPJPY,2024-08-02 16:00:00,2024-08-05 07:00:00,-1,1.8357455006475516
GBPJPY,2024-08-05 08:00:00,2024-08-05 16:00:00,-1,-0.20824553583455116
GBPJPY,2024-08-05 20:00:00,2024-08-07 01:00:00,-1,-0.4920466423766975
GBPJPY,2024-09-26 08:00:00,2024-09-27 06:00:00,1,0.9749557314904935
GBPJPY,2024-11-27 04:00:00,2024-11-27 15:00:00,-1,-0.13676851749986543
GBPJPY,2024-11-27 16:00:00,2024-11-28 00:00:00,-1,-0.36866123671444007
GBPJPY,2024-11-29 12:00:00,2024-12-02 05:00:00,-1,-0.6650382328092981
GBPJPY,2024-12-02 16:00:00,2024-12-03 03:00:00,-1,-0.3690795522784519
GBPJPY,2025-02-06 16:00:00,2025-02-07 07:00:00,-1,-0.3664927289415388
GBPJPY,2025-02-07 20:00:00,2025-02-10 07:00:00,-1,-0.6026188961437452
GBPJPY,2025-04-09 00:00:00,2025-04-09 17:00:00,-1,-0.034974594501526006
GBPJPY,2025-05-13 16:00:00,2025-05-14 04:00:00,1,-0.665317834540195
GBPJPY,2025-06-25 12:00:00,2025-06-26 06:00:00,1,-0.5742568316558845
GBPJPY,2025-08-13 20:00:00,2025-08-14 00:00:00,1,-1.0021592391556713
