variant,cap,block_set,gate_scope,net_yr,req99,capEff,p5,dnet_pct,dreq_pct
baseline,,-,-,842374.0,825138.0,1.021,0.0001,,
cap,-6000000.0,all,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-6000000.0,all,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-6000000.0,thin2,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-6000000.0,thin2,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-6000000.0,thin1,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-6000000.0,thin1,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-4500000.0,all,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-4500000.0,all,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-4500000.0,thin2,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-4500000.0,thin2,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-4500000.0,thin1,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-4500000.0,thin1,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-3500000.0,all,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-3500000.0,all,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-3500000.0,thin2,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-3500000.0,thin2,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-3500000.0,thin1,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-3500000.0,thin1,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-2500000.0,all,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-2500000.0,all,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-2500000.0,thin2,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-2500000.0,thin2,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-2500000.0,thin1,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-2500000.0,thin1,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-1800000.0,all,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-1800000.0,all,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-1800000.0,thin2,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-1800000.0,thin2,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-1800000.0,thin1,level0,842374.0,825138.0,1.021,0.0001,0.0,0.0
cap,-1800000.0,thin1,all,842374.0,825138.0,1.021,0.0001,0.0,0.0
