pair,max_levels,pf,total_pnl,n_tp,n_b48,b48_avg_pnl,max_dd,skip_count,skip_rate
GBPJPY,5,1.8226,101028.0,244,6,-20254.0,49758.0,48,0.1611
GBPJPY,7,2.0129,122944.0,267,2,-60692.0,80606.0,33,0.1093
GBPJPY,9,3.133,173038.0,276,1,-80960.0,80960.0,0,0.0
GBPJPY,11,inf,256266.0,279,0,0.0,0.0,0,0.0
GBPJPY,13,inf,256266.0,279,0,0.0,0.0,0,0.0
CHFJPY,5,0.6974,-73946.0,160,7,-34725.0,131921.0,48,0.2233
CHFJPY,7,0.407,-258973.0,166,4,-109142.0,295728.0,48,0.2202
CHFJPY,9,0.656,-100256.0,181,1,-291464.0,291464.0,11,0.057
CHFJPY,11,0.4868,-203327.0,183,1,-396220.0,396220.0,0,0.0
CHFJPY,13,0.4449,-236002.0,179,1,-425184.0,425184.0,23,0.1133
