pair,atr_mult,max_levels,full_PF,full_pnl,IS_PF,IS_pnl,OOS_PF,OOS_pnl,OOS_n,OOS_n_b48,OOS_dd,OOS_skip_r,full_n_b48,full_dd
AUDCAD,1.0,5,1.637,91579,2.733,105836,1.051,3338,148,4,39536,0.2,13,56372
AUDCAD,1.0,7,3.312,172563,4.082,131294,9.999,75354,156,0,0,0.0,4,32036
AUDCAD,1.0,9,5.042,202648,3.539,127295,9.999,75354,156,0,0,0.0,2,29904
AUDCAD,1.0,11,9.081,228162,6.412,152808,9.999,75354,156,0,0,0.0,1,27991
AUDCAD,1.0,13,5.5,208181,3.871,132827,9.999,75354,156,0,0,0.0,1,46261
AUDCAD,1.5,5,1.905,82042,3.288,86289,1.31,11518,68,1,37132,0.0,6,52897
AUDCAD,1.5,7,1.913,83638,2.492,77819,9.999,45793,63,0,0,0.0,4,38978
AUDCAD,1.5,9,6.779,148991,5.003,103198,9.999,45793,63,0,0,0.0,1,25657
AUDCAD,1.5,11,9.999,177185,9.999,130890,9.999,45793,63,0,0,0.0,0,0
AUDCAD,1.5,13,9.999,177185,9.999,130890,9.999,45793,63,0,0,0.0,0,0
AUDCAD,2.0,5,1.684,54536,3.401,62473,1.771,19012,45,1,24207,0.25,4,53756
AUDCAD,2.0,7,3.15,92444,2.112,47839,9.999,44605,45,0,0,0.0,2,22809
AUDCAD,2.0,9,9.999,144512,9.999,99237,9.999,44605,45,0,0,0.0,0,0
AUDCAD,2.0,11,9.999,144512,9.999,99237,9.999,44605,45,0,0,0.0,0,0
AUDCAD,2.0,13,9.999,144512,9.999,99237,9.999,44605,45,0,0,0.0,0,0
AUDCAD,2.5,5,1.417,32757,2.735,48246,1.29,6959,28,1,23582,0.152,4,50676
AUDCAD,2.5,7,4.15,87745,3.007,55914,9.999,31831,28,0,0,0.0,1,27854
AUDCAD,2.5,9,9.999,119508,9.999,86840,9.999,31831,28,0,0,0.0,0,0
AUDCAD,2.5,11,9.999,119508,9.999,86840,9.999,31831,28,0,0,0.0,0,0
AUDCAD,2.5,13,9.999,119508,9.999,86840,9.999,31831,28,0,0,0.0,0,0
NZDJPY,1.0,5,1.274,37778,1.24,25996,1.4,11782,117,3,15598,0.378,15,15830
NZDJPY,1.0,7,1.798,86518,1.563,53247,3.405,33271,132,1,13836,0.05,6,28282
NZDJPY,1.0,9,2.055,103454,1.569,55784,9.999,47669,132,0,0,0.022,3,61650
NZDJPY,1.0,11,3.526,145508,2.665,95926,9.999,48311,134,0,0,0.0,1,57608
NZDJPY,1.0,13,1.818,92277,1.379,42695,9.999,48311,134,0,0,0.0,1,112784
NZDJPY,1.5,5,1.499,48341,1.281,24392,3.336,23948,64,1,10254,0.158,10,15153
NZDJPY,1.5,7,1.997,77547,1.798,53495,3.235,24052,65,1,10534,0.0,4,34076
NZDJPY,1.5,9,2.596,99886,1.99,61966,9.999,36369,68,0,0,0.0,1,62572
NZDJPY,1.5,11,1.885,76226,1.445,38306,9.999,36369,68,0,0,0.0,1,85621
NZDJPY,1.5,13,9.999,166314,9.999,125627,9.999,36369,68,0,0,0.0,0,0
NZDJPY,2.0,5,1.933,60698,1.731,41455,3.124,17668,37,1,8318,0.075,5,20853
NZDJPY,2.0,7,4.489,102852,3.407,70959,9.999,30318,43,0,0,0.0,1,29344
NZDJPY,2.0,9,2.246,75627,1.72,43734,9.999,30318,43,0,0,0.0,1,60554
NZDJPY,2.0,11,9.999,138268,9.999,102889,9.999,30318,43,0,0,0.0,0,0
NZDJPY,2.0,13,9.999,138268,9.999,102889,9.999,30318,43,0,0,0.0,0,0
NZDJPY,2.5,5,2.369,66770,2.305,52350,2.437,12429,24,1,8652,0.0,4,18908
NZDJPY,2.5,7,4.02,89029,3.119,62461,9.999,24577,28,0,0,0.0,1,29344
NZDJPY,2.5,9,1.806,53901,1.409,27333,9.999,24577,28,0,0,0.0,1,66844
NZDJPY,2.5,11,1.218,21461,0.948,-5107,9.999,24577,28,0,0,0.0,1,98282
NZDJPY,2.5,13,9.999,125978,9.999,93778,9.999,24577,28,0,0,0.0,0,0
GBPAUD,1.0,5,1.642,129011,1.798,79364,1.48,48778,256,5,39620,0.452,10,39620
GBPAUD,1.0,7,1.352,88853,1.227,32324,1.503,55659,279,3,55117,0.177,8,55117
GBPAUD,1.0,9,0.896,-41432,3.3,135716,0.474,-178018,275,3,280043,0.223,4,280043
GBPAUD,1.0,11,0.954,-17444,1.842,89023,0.613,-107337,289,2,240690,0.124,3,240690
GBPAUD,1.0,13,1.576,136091,1.84,89424,1.353,45797,294,1,129665,0.061,2,129665
GBPAUD,1.5,5,1.413,72775,1.187,19291,1.733,53452,143,3,40270,0.235,8,41471
GBPAUD,1.5,7,1.077,18038,1.27,27706,0.459,-139285,138,3,214758,0.277,6,74504
GBPAUD,1.5,9,0.858,-43761,1.792,60951,1.376,35302,145,1,93967,0.137,3,206161
GBPAUD,1.5,11,0.968,-8682,0.99,-1395,1.302,30282,147,1,100175,0.0,2,137775
GBPAUD,1.5,13,0.667,-135639,9.999,141416,0.363,-221849,144,1,348463,0.2,1,407193
GBPAUD,2.0,5,1.359,59704,1.599,45480,1.153,13754,94,4,40853,0.069,8,40853
GBPAUD,2.0,7,1.049,11120,3.496,99672,0.585,-71817,89,2,149580,0.258,3,164741
GBPAUD,2.0,9,1.359,64926,1.885,64875,1.115,11121,92,1,97006,0.032,2,107630
GBPAUD,2.0,11,0.706,-101577,0.608,-87177,0.314,-221135,88,1,322576,0.307,2,258319
GBPAUD,2.0,13,0.675,-119357,9.999,141438,0.34,-197625,88,1,299066,0.129,1,367102
GBPAUD,2.5,5,1.036,7549,2.075,60372,0.718,-38753,70,2,120655,0.352,4,125042
GBPAUD,2.5,7,2.183,120830,2.002,59309,1.492,34302,71,1,69739,0.174,2,59181
GBPAUD,2.5,9,0.826,-46265,0.649,-62874,0.384,-158566,69,1,257563,0.349,2,180097
GBPAUD,2.5,11,0.747,-76181,9.999,121252,0.43,-138318,71,1,242359,0.0,1,301118
GBPAUD,2.5,13,9.999,229981,9.999,121252,9.999,104041,70,0,0,0.0,0,0
