pair,tag,full_pf,full_net,full_dd,full_nfs,full_worst,full_ntp,is_pf,is_net,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCAD,baseline,1.514,5582022.0,880833.0,8,-811728.0,738,1.4635,2907985.0,1.5831,2674038.0,880833.0,1.6353499999999999,1.3188
AUDCAD,N1 long-only,1.7734,3577947.0,1001492.0,4,-793908.0,368,1.7416,2007477.0,1.8182,1570470.0,775764.0,2.28225,0.6776
AUDCAD,N1 short-only,1.3215,2004075.0,1283163.0,4,-811728.0,370,1.2525,900508.0,1.4139,1103567.0,845841.0,inf,0.5931
AUDCAD,N2_cd24,1.5045,5478585.0,880833.0,8,-811728.0,734,1.4577,2871685.0,1.5685,2606900.0,880833.0,1.6353499999999999,1.3188
AUDCAD,N2_cd48,1.5045,5478585.0,880833.0,8,-811728.0,734,1.4577,2871685.0,1.5685,2606900.0,880833.0,1.6353499999999999,1.3188
AUDCAD,N2_cd96,1.5045,5478585.0,880833.0,8,-811728.0,734,1.4577,2871685.0,1.5685,2606900.0,880833.0,1.6353499999999999,1.3188
AUDCAD,N2_cd168,1.5045,5478585.0,880833.0,8,-811728.0,734,1.4577,2871685.0,1.5685,2606900.0,880833.0,1.6353499999999999,1.3188
AUDCAD,N3 LDN+NY(7-20),1.7056,5629107.0,1370782.0,7,-807948.0,637,1.8112,3573820.0,1.5753,2055286.0,1370782.0,2.3259,0.8873
AUDCAD,N3 overlap(12-16),2.7004,6514467.0,1114151.0,5,-779760.0,483,1.944,2901119.0,5.7673,3613348.0,757944.0,inf,inf
AUDCAD,C Lonly+cd48,1.7655,3541648.0,1037791.0,4,-793908.0,367,1.7281,1971177.0,1.8182,1570470.0,775764.0,2.28225,0.6776
AUDCAD,C Lonly+cd96,1.7655,3541648.0,1037791.0,4,-793908.0,367,1.7281,1971177.0,1.8182,1570470.0,775764.0,2.28225,0.6776
