pair,gm,lv,ci_pct,is_best,full_PF,full_n,full_PnL,full_DD,full_hold,IS_PF,IS_n,IS_PnL,OOS_PF,OOS_n,OOS_PnL,OOS_DD,OOS_hold
AUDCAD,1.0,3,29.3,False,0.839,403,-12708,22.36,56.4,1.14,310,6026,0.479,93,-18734,22.36,83.4
AUDCAD,1.0,5,29.3,False,1.276,429,17638,10.53,70.7,1.238,320,10823,1.325,111,6174,10.6,68.0
AUDCAD,1.0,7,29.3,False,1.18,431,13119,22.23,113.4,1.409,317,17397,1.049,117,1286,22.3,88.8
AUDCAD,1.5,3,29.3,True,1.285,263,14005,8.74,79.9,1.624,200,17541,0.832,63,-3536,8.74,86.0
AUDCAD,1.5,5,29.3,False,1.209,252,11835,15.47,130.9,1.335,186,11812,1.187,64,3409,15.38,134.1
AUDCAD,1.5,7,29.3,False,0.977,242,-1655,32.44,197.4,1.06,181,2674,1.773,61,9877,12.52,146.4
AUDCAD,2.0,3,29.3,False,1.241,173,10715,8.71,137.4,1.263,124,7459,1.024,50,448,8.88,120.4
AUDCAD,2.0,5,29.3,False,1.451,161,19064,11.97,226.1,1.386,113,10975,1.759,45,9303,12.0,176.3
AUDCAD,2.0,7,29.3,False,0.944,157,-3654,42.71,336.2,1.271,112,8424,1.759,45,9303,12.0,176.3
AUDJPY,1.0,3,12.3,False,0.709,347,-22194,25.24,30.7,0.725,261,-15913,0.658,86,-6282,10.08,21.6
AUDJPY,1.0,5,12.3,False,0.568,356,-43185,47.92,78.4,0.673,277,-22722,0.332,79,-20463,28.85,94.4
AUDJPY,1.0,7,12.3,False,0.818,397,-15841,41.43,108.1,1.245,300,11195,0.347,97,-27036,41.43,84.4
AUDJPY,1.5,3,12.3,False,0.96,227,-2161,12.89,64.5,0.888,175,-5176,1.393,52,3015,4.68,39.6
AUDJPY,1.5,5,12.3,False,0.656,237,-29959,37.65,102.2,0.86,181,-7506,0.332,56,-22453,31.59,111.3
AUDJPY,1.5,7,12.3,True,0.947,244,-3650,44.04,172.1,1.858,188,24322,0.315,56,-27972,40.83,203.6
AUDJPY,2.0,3,12.3,False,0.853,173,-8430,19.59,89.9,0.771,132,-11261,1.352,41,2831,3.8,52.8
AUDJPY,2.0,5,12.3,False,0.707,167,-21435,36.95,181.1,1.014,134,581,0.276,33,-22016,30.43,217.1
AUDJPY,2.0,7,12.3,False,0.961,179,-2540,40.81,212.6,1.334,138,12677,0.293,42,-28057,39.7,185.8
AUDUSD,1.0,3,12.7,False,0.644,369,-28969,30.35,27.1,0.692,279,-16838,0.547,90,-12131,13.87,22.7
AUDUSD,1.0,5,12.7,False,0.699,420,-26852,35.19,42.5,0.809,325,-10645,0.516,95,-16207,31.78,68.2
AUDUSD,1.0,7,12.7,False,1.175,436,10657,29.45,51.2,1.612,329,19147,0.712,107,-8490,29.45,64.1
AUDUSD,1.5,3,12.7,False,0.743,270,-18309,20.13,43.2,0.866,203,-5901,0.542,67,-12407,13.77,28.9
AUDUSD,1.5,5,12.7,True,1.508,281,22848,24.66,69.4,2.412,214,28683,0.763,67,-5836,24.66,105.9
AUDUSD,1.5,7,12.7,False,1.038,292,2686,49.31,114.8,1.775,222,22968,0.861,75,-3403,24.52,98.0
AUDUSD,2.0,3,12.7,False,0.748,205,-17451,21.47,53.7,0.973,153,-1026,0.477,52,-16425,19.06,58.5
AUDUSD,2.0,5,12.7,False,1.438,197,18494,20.52,105.6,1.91,143,19724,0.94,54,-1230,20.52,121.0
AUDUSD,2.0,7,12.7,False,0.966,203,-2275,45.2,155.0,1.505,149,15081,1.66,57,9029,13.69,149.6
AUDNZD,1.0,3,52.8,False,0.859,285,-8817,12.22,93.8,0.832,188,-6990,0.92,95,-1650,5.4,72.6
AUDNZD,1.0,5,52.8,False,1.017,258,989,9.67,157.2,1.077,166,2633,0.986,93,-288,9.03,108.5
AUDNZD,1.0,7,52.8,False,0.671,250,-27893,36.1,215.4,0.915,154,-3301,0.586,98,-14608,20.6,175.0
AUDNZD,1.5,3,52.8,False,0.786,163,-10874,14.88,159.8,0.887,94,-3051,0.656,63,-7606,11.02,114.0
AUDNZD,1.5,5,52.8,False,0.744,145,-15150,21.12,307.2,0.96,84,-1116,0.706,57,-7398,16.32,210.3
AUDNZD,1.5,7,52.8,False,0.805,133,-10781,27.81,467.6,1.112,77,2719,0.671,58,-8663,20.29,268.1
AUDNZD,2.0,3,52.8,False,0.856,105,-6086,10.49,261.5,0.867,66,-3388,0.859,38,-2372,7.31,234.2
AUDNZD,2.0,5,52.8,False,0.746,101,-13638,25.85,416.4,0.853,62,-4189,0.608,39,-9914,17.05,272.8
AUDNZD,2.0,7,52.8,True,0.78,87,-10825,32.81,704.2,1.767,48,9893,0.8,38,-3966,14.37,345.9
CHFJPY,1.0,3,10.8,False,0.505,277,-58186,64.99,36.2,0.507,210,-44893,0.755,67,-4452,10.82,42.4
CHFJPY,1.0,5,10.8,False,0.47,334,-85859,98.14,54.0,0.498,255,-59524,0.915,80,-1646,14.79,42.8
CHFJPY,1.0,7,10.8,False,0.413,320,-102202,115.97,103.5,0.474,247,-61977,0.695,81,-8086,26.5,57.9
CHFJPY,1.5,3,10.8,False,0.539,197,-51117,57.69,46.6,0.552,150,-37870,0.775,47,-3948,11.12,43.0
CHFJPY,1.5,5,10.8,False,0.398,203,-98791,114.56,143.6,0.359,152,-84811,2.506,53,11270,7.48,66.0
CHFJPY,1.5,7,10.8,False,0.312,205,-154647,172.27,203.9,0.31,154,-114668,1.548,54,7088,12.93,131.2
CHFJPY,2.0,3,10.8,False,0.698,154,-26893,37.42,67.6,0.669,117,-23057,1.566,37,5926,5.64,71.2
CHFJPY,2.0,5,10.8,False,0.565,158,-52156,76.32,184.2,0.486,120,-51885,1.106,38,1646,15.6,92.3
CHFJPY,2.0,7,10.8,True,0.755,155,-24084,65.17,264.0,1.023,117,1257,1.521,38,6649,12.77,170.1
EURGBP,1.0,3,12.2,False,0.532,308,-31174,32.52,35.2,0.457,185,-24437,0.706,128,-6482,8.71,31.3
EURGBP,1.0,5,12.2,False,0.739,326,-14870,19.59,66.7,0.587,190,-17163,1.149,136,2293,5.47,60.1
EURGBP,1.0,7,12.2,False,0.746,342,-14739,23.26,113.5,0.826,210,-5770,0.593,148,-12979,18.66,50.0
EURGBP,1.5,3,12.2,False,0.672,211,-16809,19.42,60.4,0.552,131,-16819,1.001,80,11,3.08,62.3
EURGBP,1.5,5,12.2,False,0.786,222,-11114,13.34,91.2,0.728,135,-9221,0.861,82,-2371,10.39,119.8
EURGBP,1.5,7,12.2,False,1.013,224,544,20.14,175.3,0.82,138,-5781,1.589,86,6325,7.2,127.7
EURGBP,2.0,3,12.2,False,0.738,165,-11788,14.97,74.4,0.603,100,-12676,1.248,67,3006,2.65,73.4
EURGBP,2.0,5,12.2,True,0.967,159,-1273,7.94,133.6,0.912,97,-2143,1.0,60,-5,7.5,114.4
EURGBP,2.0,7,12.2,False,0.899,154,-4383,17.21,270.1,0.819,100,-5608,1.464,63,5417,11.68,281.2
EURJPY,1.0,3,12.5,False,0.632,301,-36311,41.21,38.6,0.707,219,-20366,0.439,79,-16043,19.05,35.3
EURJPY,1.0,5,12.5,False,0.691,349,-35791,54.22,53.5,0.85,260,-11668,0.317,84,-26961,30.53,50.5
EURJPY,1.0,7,12.5,True,1.255,375,19417,44.57,80.9,1.772,275,34034,0.482,96,-17181,20.75,59.2
EURJPY,1.5,3,12.5,False,0.729,228,-25752,36.03,50.6,0.877,164,-7684,0.432,62,-18273,21.66,54.1
EURJPY,1.5,5,12.5,False,1.033,226,2612,35.83,98.1,1.225,167,12290,0.582,59,-9971,13.36,74.8
EURJPY,1.5,7,12.5,False,0.781,223,-23063,67.75,144.5,1.187,163,10584,0.303,60,-33941,39.4,143.4
EURJPY,2.0,3,12.5,False,0.88,169,-8958,22.51,69.6,1.036,125,1827,0.471,43,-13346,16.6,83.2
