pair,ci_th,atr_mult,max_levels,b48_h,pf,total,n_tp,n_b48,n_fstop,worst,max_dd
GBPJPY,55.0,1.0,3,24,1.1113,3584397.0,1105,79,1,-1571301.0,2327551.0
GBPJPY,55.0,1.0,3,36,1.145,4323832.0,1057,68,1,-1571301.0,2186931.0
GBPJPY,55.0,1.0,3,48,1.1317,3883818.0,1025,62,2,-1571301.0,2338996.0
GBPJPY,55.0,1.0,5,24,1.1686,6067120.0,1286,31,8,-1939497.0,4064130.0
GBPJPY,55.0,1.0,5,36,1.1514,5445394.0,1263,23,11,-1939497.0,4075009.0
GBPJPY,55.0,1.0,5,48,1.1801,6228468.0,1239,20,12,-1939497.0,4136499.0
GBPJPY,55.0,1.0,7,24,1.0797,3221289.0,1329,5,22,-2112497.0,5262931.0
GBPJPY,55.0,1.0,7,36,1.0418,1748838.0,1329,3,24,-2112497.0,5927758.0
GBPJPY,55.0,1.0,7,48,1.0456,1900745.0,1329,3,24,-2112497.0,5775850.0
GBPJPY,55.0,1.5,3,24,1.0726,2043261.0,616,62,1,-1505101.0,1982027.0
GBPJPY,55.0,1.5,3,36,1.1097,2915330.0,603,54,1,-1505101.0,2307544.0
GBPJPY,55.0,1.5,3,48,1.118,3009853.0,582,47,2,-1556999.0,2513970.0
GBPJPY,55.0,1.5,5,24,1.2205,5944082.0,663,20,7,-1731197.0,3198778.0
GBPJPY,55.0,1.5,5,36,1.1858,5130799.0,662,16,9,-1731197.0,3234641.0
GBPJPY,55.0,1.5,5,48,1.1691,4668791.0,653,15,10,-1731197.0,3217577.0
GBPJPY,55.0,1.5,7,24,1.1426,4219180.0,687,3,17,-1731197.0,5020978.0
GBPJPY,55.0,1.5,7,36,1.1963,5572044.0,693,2,17,-1731197.0,3666009.0
GBPJPY,55.0,1.5,7,48,1.243,6659571.0,695,1,17,-1731197.0,3666009.0
GBPJPY,55.0,2.0,3,24,1.1273,2994006.0,408,50,1,-1516299.0,2144041.0
GBPJPY,55.0,2.0,3,36,1.1435,3289317.0,401,45,1,-1516299.0,2205208.0
GBPJPY,55.0,2.0,3,48,1.1101,2552921.0,393,42,2,-1592400.0,2488601.0
GBPJPY,55.0,2.0,5,24,1.0302,829437.0,432,14,10,-1664497.0,3142507.0
GBPJPY,55.0,2.0,5,36,1.0197,548549.0,434,12,11,-1664497.0,3210045.0
GBPJPY,55.0,2.0,5,48,1.0285,779701.0,431,12,11,-1664497.0,3185104.0
GBPJPY,55.0,2.0,7,24,1.0911,2450998.0,453,0,17,-1680099.0,3700031.0
GBPJPY,55.0,2.0,7,36,1.0911,2450998.0,453,0,17,-1680099.0,3700031.0
GBPJPY,55.0,2.0,7,48,1.0911,2450998.0,453,0,17,-1680099.0,3700031.0
GBPJPY,55.0,2.5,3,24,1.1435,2937345.0,288,42,1,-1722101.0,2184301.0
GBPJPY,55.0,2.5,3,36,1.1394,2911616.0,293,37,1,-1722101.0,1938824.0
GBPJPY,55.0,2.5,3,48,1.1387,2828839.0,286,37,1,-1722101.0,1888466.0
GBPJPY,55.0,2.5,5,24,1.0341,833334.0,309,5,13,-1754596.0,4174733.0
GBPJPY,55.0,2.5,5,36,0.9968,-81738.0,308,4,14,-1754596.0,4174733.0
GBPJPY,55.0,2.5,5,48,0.9992,-20741.0,308,4,14,-1754596.0,4174733.0
GBPJPY,55.0,2.5,7,24,1.0175,436740.0,312,0,16,-1754596.0,4174733.0
GBPJPY,55.0,2.5,7,36,1.0175,436740.0,312,0,16,-1754596.0,4174733.0
GBPJPY,55.0,2.5,7,48,1.0175,436740.0,312,0,16,-1754596.0,4174733.0
GBPJPY,55.0,3.0,3,24,1.3092,5239771.0,223,36,1,-1617702.0,1722967.0
GBPJPY,55.0,3.0,3,36,1.1635,3034574.0,217,31,1,-1617702.0,1811449.0
GBPJPY,55.0,3.0,3,48,1.2432,4103847.0,210,29,1,-1617702.0,1872411.0
GBPJPY,55.0,3.0,5,24,1.1452,2878505.0,228,5,10,-1617702.0,3278137.0
GBPJPY,55.0,3.0,5,36,1.1483,2950241.0,232,3,11,-1676701.0,4143201.0
GBPJPY,55.0,3.0,5,48,1.1322,2662727.0,232,3,11,-1676701.0,4143201.0
GBPJPY,55.0,3.0,7,24,1.0607,1331617.0,239,0,14,-1676701.0,4143201.0
GBPJPY,55.0,3.0,7,36,1.0607,1331617.0,239,0,14,-1676701.0,4143201.0
GBPJPY,55.0,3.0,7,48,1.0607,1331617.0,239,0,14,-1676701.0,4143201.0
GBPJPY,60.0,1.0,3,24,1.0534,788643.0,504,40,0,-971599.0,2217942.0
GBPJPY,60.0,1.0,3,36,1.0989,1328401.0,485,32,1,-1698802.0,2378195.0
GBPJPY,60.0,1.0,3,48,1.11,1449846.0,480,31,1,-1698802.0,2658603.0
GBPJPY,60.0,1.0,5,24,1.0427,737922.0,588,11,6,-1722696.0,3461267.0
GBPJPY,60.0,1.0,5,36,1.0905,1492486.0,585,8,6,-1722696.0,2747820.0
GBPJPY,60.0,1.0,5,48,1.0974,1587323.0,581,8,6,-1722696.0,2747820.0
GBPJPY,60.0,1.0,7,24,1.0039,75260.0,621,2,11,-1722696.0,4277471.0
GBPJPY,60.0,1.0,7,36,0.9541,-920952.0,620,1,12,-1774896.0,4372682.0
GBPJPY,60.0,1.0,7,48,0.9541,-920952.0,620,1,12,-1774896.0,4372682.0
GBPJPY,60.0,1.5,3,24,0.9987,-17102.0,292,29,1,-1528699.0,2543998.0
GBPJPY,60.0,1.5,3,36,1.0992,1198540.0,286,26,1,-1528699.0,2129739.0
GBPJPY,60.0,1.5,3,48,1.0409,504374.0,277,23,1,-1528699.0,2306102.0
GBPJPY,60.0,1.5,5,24,0.9302,-1106893.0,315,6,7,-1645099.0,3413655.0
GBPJPY,60.0,1.5,5,36,0.8705,-2177765.0,312,6,7,-1645099.0,3788212.0
