pair,ci_th,atr_mult,max_levels,is_pf,is_net,is_ntp,is_loss_ev,oos_pf,oos_net,oos_ntp,oos_loss_ev,oos_worst,oos_dd
GBPJPY,55.0,1.0,3,1.3436,4443242.0,450,25,0.997,-47769.0,574,39,-1528902.0,2338996.0
GBPJPY,55.0,1.0,5,1.3255,5175315.0,544,13,1.1308,2296480.0,700,18,-1599002.0,4136499.0
GBPJPY,55.0,1.0,7,1.1406,2785203.0,589,12,1.0319,651030.0,742,14,-1774896.0,5775850.0
GBPJPY,55.0,1.5,3,1.3558,3977487.0,264,19,0.9751,-339948.0,316,30,-1556999.0,2513970.0
GBPJPY,55.0,1.5,5,1.1825,2618300.0,295,11,1.2082,2636382.0,359,13,-1539201.0,3217577.0
GBPJPY,55.0,1.5,7,1.2432,3429086.0,308,9,1.1828,2536291.0,385,9,-1584201.0,3666009.0
GBPJPY,55.0,2.0,3,1.2393,2539874.0,170,17,0.9703,-378537.0,222,27,-1592400.0,2488601.0
GBPJPY,55.0,2.0,5,1.0419,573778.0,189,10,1.0899,1140081.0,242,12,-1614001.0,3185104.0
GBPJPY,55.0,2.0,7,0.9915,-120829.0,188,9,1.2085,2615958.0,264,8,-1657297.0,3700031.0
GBPJPY,55.0,2.5,3,1.1389,1412138.0,119,17,1.0992,1029494.0,164,21,-992699.0,1698813.0
GBPJPY,55.0,2.5,5,0.8541,-2066635.0,125,9,1.2228,2299456.0,179,9,-1576796.0,3430206.0
GBPJPY,55.0,2.5,7,0.8541,-2066635.0,125,9,1.4231,3921293.0,187,6,-1576796.0,3283665.0
GBPJPY,55.0,3.0,3,1.4055,3274462.0,96,12,1.0559,508028.0,113,18,-1118498.0,1872411.0
GBPJPY,55.0,3.0,5,0.9191,-1031907.0,102,8,1.7264,4682769.0,131,5,-1621399.0,2120472.0
GBPJPY,55.0,3.0,7,0.9191,-1031907.0,102,8,1.4921,3811245.0,137,5,-1621399.0,2402416.0
GBPJPY,60.0,1.0,3,1.0435,301167.0,194,12,1.3376,1855905.0,285,19,-859897.0,1537830.0
GBPJPY,60.0,1.0,5,1.0814,671071.0,238,6,1.3717,2417079.0,342,7,-1620099.0,1896539.0
GBPJPY,60.0,1.0,7,1.1701,1374590.0,252,5,0.9237,-794716.0,367,7,-1774896.0,2729506.0
GBPJPY,60.0,1.5,3,0.9727,-181960.0,115,9,1.2912,1418427.0,161,14,-847997.0,1221115.0
GBPJPY,60.0,1.5,5,0.9374,-487217.0,129,6,1.0454,315787.0,183,6,-1645099.0,3039101.0
GBPJPY,60.0,1.5,7,0.9833,-130272.0,135,5,1.4327,2479462.0,204,4,-1571803.0,3412104.0
GBPJPY,60.0,2.0,3,0.9757,-143353.0,76,9,1.2528,1207874.0,110,14,-824698.0,1351822.0
GBPJPY,60.0,2.0,5,0.8277,-1335293.0,84,5,1.349,1716900.0,122,4,-1646796.0,2423999.0
GBPJPY,60.0,2.0,7,0.8133,-1473191.0,84,5,1.487,2266274.0,126,3,-1565305.0,2718518.0
GBPJPY,60.0,2.5,3,0.8344,-806950.0,42,7,1.5999,2392232.0,94,11,-650098.0,751141.0
GBPJPY,60.0,2.5,5,0.5824,-3272596.0,46,5,1.7557,3073401.0,107,3,-1585896.0,2623176.0
GBPJPY,60.0,2.5,7,0.5824,-3272596.0,46,5,1.5496,2533510.0,107,3,-1585896.0,2844947.0
GBPJPY,60.0,3.0,3,1.0408,157692.0,33,6,1.2208,947495.0,66,9,-653400.0,847660.0
GBPJPY,60.0,3.0,5,0.9715,-134449.0,39,3,2.5332,3845731.0,79,2,-1540497.0,1540497.0
GBPJPY,60.0,3.0,7,0.9715,-134449.0,39,3,2.0796,3306777.0,79,2,-1540497.0,1540497.0
GBPJPY,61.8,1.0,3,1.2165,1005644.0,156,8,1.9468,2430417.0,205,11,-505899.0,505899.0
GBPJPY,61.8,1.0,5,1.3579,1836243.0,189,4,1.8411,2621999.0,237,4,-1244003.0,1664048.0
GBPJPY,61.8,1.0,7,1.513,2533352.0,202,3,1.541,2222013.0,261,3,-1765196.0,2741135.0
GBPJPY,61.8,1.5,3,1.2243,1005661.0,100,7,1.9425,2179870.0,120,6,-790900.0,832667.0
GBPJPY,61.8,1.5,5,1.2554,1223344.0,109,4,2.5359,3085556.0,136,3,-893701.0,1082866.0
GBPJPY,61.8,1.5,7,1.3649,1708386.0,115,3,inf,5697063.0,153,0,0.0,0.0
GBPJPY,61.8,2.0,3,1.1264,507977.0,62,7,2.5152,2384589.0,76,5,-511700.0,555814.0
GBPJPY,61.8,2.0,5,1.0715,335011.0,68,3,3.9161,3309491.0,86,2,-704898.0,704898.0
GBPJPY,61.8,2.0,7,1.059,279712.0,68,3,inf,4792661.0,94,0,0.0,0.0
GBPJPY,61.8,2.5,3,1.1007,315245.0,39,4,2.5107,2227893.0,59,3,-721301.0,811248.0
GBPJPY,61.8,2.5,5,1.2871,878048.0,45,2,inf,4428616.0,71,0,0.0,0.0
GBPJPY,61.8,2.5,7,1.2871,878048.0,45,2,inf,4428616.0,71,0,0.0,0.0
GBPJPY,61.8,3.0,3,1.6758,1332047.0,29,4,1.8848,1555497.0,45,4,-729001.0,833451.0
GBPJPY,61.8,3.0,5,2.4892,2286473.0,34,1,inf,4299268.0,59,0,0.0,0.0
GBPJPY,61.8,3.0,7,2.4892,2286473.0,34,1,inf,4299268.0,59,0,0.0,0.0
GBPJPY,65.0,1.0,3,1.208,575443.0,88,4,1.1482,210476.0,68,3,-780901.0,842409.0
GBPJPY,65.0,1.0,5,1.4781,1296014.0,104,2,0.8863,-224851.0,73,2,-1244003.0,1557248.0
GBPJPY,65.0,1.0,7,1.2523,822908.0,106,2,1.3078,470100.0,83,1,-1527097.0,1527097.0
GBPJPY,65.0,1.5,3,0.9753,-65582.0,45,4,1.3797,386901.0,39,3,-482401.0,551803.0
GBPJPY,65.0,1.5,5,0.9083,-279705.0,49,2,1.9089,812316.0,47,1,-893701.0,893701.0
GBPJPY,65.0,1.5,7,0.9281,-219352.0,50,2,inf,1942620.0,54,0,0.0,0.0
GBPJPY,65.0,2.0,3,0.9809,-45283.0,31,3,1.3382,334991.0,27,3,-482401.0,614958.0
GBPJPY,65.0,2.0,5,0.8485,-466043.0,35,2,2.301,917080.0,33,1,-704898.0,704898.0
GBPJPY,65.0,2.0,7,0.8485,-466043.0,35,2,inf,1840392.0,38,0,0.0,0.0
GBPJPY,65.0,2.5,3,1.6529,993863.0,27,1,1.0336,34818.0,18,2,-721301.0,768515.0
GBPJPY,65.0,2.5,5,1.6529,993863.0,27,1,inf,1567530.0,26,0,0.0,0.0
GBPJPY,65.0,2.5,7,1.6529,993863.0,27,1,inf,1567530.0,26,0,0.0,0.0
GBPJPY,65.0,3.0,3,inf,2323780.0,21,0,1.0429,44447.0,15,2,-729001.0,793962.0
GBPJPY,65.0,3.0,5,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,65.0,3.0,7,inf,2323780.0,21,0,inf,1577823.0,22,0,0.0,0.0
GBPJPY,70.0,1.0,3,inf,450293.0,11,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,5,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.0,7,inf,490528.0,12,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,3,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,5,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.5,3,inf,652071.0,6,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.5,5,inf,652071.0,6,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.5,7,inf,652071.0,6,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
CHFJPY,55.0,1.0,3,0.9921,-99366.0,433,23,1.0652,651178.0,439,26,-1057002.0,1916165.0
CHFJPY,55.0,1.0,5,0.9239,-1178430.0,495,14,1.1253,1429132.0,528,14,-1527000.0,1980364.0
