h,feat,is_rho,is_p,is_n,oos_rho,oos_p,oos_n,same_sign,pass
3,pe_3,0.010349305600460533,0.8562170854114177,309,0.1203121706622316,0.08729999490176546,203,True,False
3,pe_6,-0.12758679172040957,0.024906152404953003,309,0.14777893400526468,0.035370581260658236,203,False,False
3,pe_12,0.029635453771437396,0.6037981004148266,309,-0.01685092028443953,0.8113979149054902,203,False,False
3,vr5_3,0.013667046039308706,0.8108867326820304,309,0.033846024936388844,0.6316603808012111,203,True,False
3,vr5_6,-0.08195604943253659,0.15065097336453828,309,-0.01928196914757714,0.7848111771948814,203,True,False
3,vr5_12,-0.04175563285926742,0.46457072013892986,309,-0.012391247583900577,0.8607145633158241,203,True,False
3,tz_3,0.00813449188741654,0.8867528854257384,309,0.11940904569360067,0.0897178838837849,203,True,False
3,tz_6,-0.1479960272054208,0.009178008716264795,309,0.141043156836524,0.0447292890068896,203,False,False
3,tz_12,-0.021753274700356047,0.7032900771862894,309,-0.01804456599357526,0.7983147839354294,203,True,False
3,gate_3,-0.09120529278531629,0.10958048953955495,309,-0.10750825616620559,0.12682908383187444,203,True,False
3,gate_6,-0.033914170351956055,0.5525713406953897,309,-0.13982262428597572,0.04662967173954972,203,True,False
3,gate_12,0.0035135957740155834,0.950950463319135,309,-0.09125974708298162,0.19534581716217547,203,False,False
6,pe_3,-0.023724653452686914,0.6778420664160137,309,0.10871315555157474,0.134387105080879,191,False,False
6,pe_6,-0.1370450667431508,0.01592396816114176,309,-0.028702270883516477,0.6934698393176083,191,True,False
6,pe_12,-0.006710982866886244,0.9064705576975254,309,-0.014578042776605876,0.841354924910084,191,True,False
6,vr5_3,-0.07851213408410869,0.16862053912091723,309,-0.0006294848644160254,0.9931043306070206,191,True,False
6,vr5_6,-0.08482390305458301,0.13682805718112848,309,-0.03274785213252672,0.6529021921995152,191,True,False
6,vr5_12,-0.14968711128856887,0.00840234438266284,309,-0.12705777397381085,0.0798507941809867,191,True,True
6,tz_3,-0.02755694416281766,0.6294257340857349,309,0.10254661503983306,0.15805493906447993,191,False,False
6,tz_6,-0.16210890690387272,0.004276841516295057,309,-0.027183240376225278,0.7089379918450306,191,True,False
6,tz_12,-0.06564943387001673,0.24990659276155075,309,-0.015123137057283501,0.8355055317924736,191,True,False
6,gate_3,-0.04632076780818459,0.4171472573166795,309,-0.13667611839320085,0.05938133613180686,191,True,False
6,gate_6,0.04595301366539722,0.4208590594649694,309,-0.13972755252968366,0.053871899166095374,191,False,False
6,gate_12,0.11359883170578547,0.046015039647621644,309,-0.11390950875543288,0.1166390469324033,191,False,False
12,pe_3,-0.052834247638131306,0.3546414569634737,309,0.007268712394019863,0.9257222921135122,167,False,False
12,pe_6,-0.1223261069052612,0.03158202682906246,309,0.00886365495761373,0.9094870545634923,167,False,False
12,pe_12,0.061820141199533156,0.27866145879617493,309,0.13723205321003118,0.07697976481562246,167,True,False
12,vr5_3,-0.09102729497828813,0.11027779450364478,309,0.011838390320568685,0.8793115774431752,167,False,False
12,vr5_6,-0.13146615475702275,0.020797538035876726,309,-0.04339325963406186,0.5776538267675592,167,True,False
12,vr5_12,-0.23321957847165703,3.4693524612239515e-05,309,-0.10647465517833493,0.1708375932773775,167,True,False
12,tz_3,-0.05897967553534623,0.3013858182394007,309,0.0008773472421707776,0.9910218584260352,167,False,False
12,tz_6,-0.14775302328400852,0.009294544878905433,309,-0.0017005849627979828,0.9825984381028208,167,True,False
12,tz_12,-0.002895985613089563,0.9595641226927165,309,0.13128129416217973,0.09081525833210326,167,False,False
12,gate_3,-0.00893698264741142,0.8756670980096352,309,-0.14479694929285933,0.061903553926909265,167,True,False
12,gate_6,0.082898754295465,0.1459949333907687,309,-0.20189735242491189,0.008883804919318651,167,False,False
12,gate_12,0.2124929800387259,0.00016774452005359876,309,-0.01421335918614729,0.8553420401083138,167,False,False
