pair,tag,full_pf,full_net,full_dd,full_nfs,full_nls,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCAD,baseline,2.8388,5596736.0,452815.0,0,0,-344520.0,492,3.5993,2.2138,2027900.0,452815.0,1.89085,1.1994
AUDCAD,C2_legstop8.0,1.5843,3136511.0,407263.0,0,36,-317335.0,477,1.6026,1.5619,1353754.0,406269.0,1.5248,1.0054
AUDCAD,C2_legstop6.0,1.2349,1588254.0,797413.0,0,65,-238001.0,463,1.3408,1.1246,412709.0,797413.0,0.99725,0.8146
AUDCAD,C2_legstop4.0,0.9964,-29601.0,657375.0,0,109,-158667.0,435,0.9857,1.01,36082.0,657375.0,0.8914,0.7433
AUDCAD,C2_legstop3.0,1.0172,137744.0,895946.0,0,138,-119001.0,422,1.1256,0.9031,-377706.0,895946.0,0.7424999999999999,0.7064
AUDCAD,C1_cull_drain,2.8388,5596736.0,452815.0,0,0,-344520.0,492,3.5993,2.2138,2027900.0,452815.0,1.89085,1.1994
AUDCAD,C1C2_drain_ls6.0,1.2349,1588254.0,797413.0,0,65,-238001.0,463,1.3408,1.1246,412709.0,797413.0,0.99725,0.8146
AUDCAD,C1C2_drain_ls4.0,0.9964,-29601.0,657375.0,0,109,-158667.0,435,0.9857,1.01,36082.0,657375.0,0.8914,0.7433
CADCHF,baseline,1.4432,9712039.0,1437210.0,17,0,-1037340.0,1158,1.4981,1.3914,4416224.0,1221602.0,1.4369,1.3902
CADCHF,C2_legstop8.0,1.3406,7964676.0,1175987.0,3,81,-962370.0,1143,1.3192,1.3635,4102130.0,1175987.0,1.4316,1.2135
CADCHF,C2_legstop6.0,1.2394,6049984.0,1346036.0,1,142,-1025950.0,1146,1.137,1.3672,4128262.0,870606.0,1.3986,1.2608
CADCHF,C2_legstop4.0,1.1644,4346639.0,1595608.0,0,244,-280646.0,1122,1.1342,1.1968,2507706.0,679721.0,1.3169499999999998,1.0765
CADCHF,C2_legstop3.0,1.1585,4079290.0,1391116.0,0,316,-210484.0,1086,1.1256,1.194,2403921.0,658774.0,1.2778,1.1631
CADCHF,C1_cull_drain,1.4432,9712039.0,1437210.0,17,0,-1037340.0,1158,1.4981,1.3914,4416224.0,1221602.0,1.4369,1.3902
CADCHF,C1C2_drain_ls6.0,1.2394,6049984.0,1346036.0,1,142,-1025950.0,1146,1.137,1.3672,4128262.0,870606.0,1.3986,1.2608
CADCHF,C1C2_drain_ls4.0,1.1644,4346639.0,1595608.0,0,244,-280646.0,1122,1.1342,1.1968,2507706.0,679721.0,1.3169499999999998,1.0765
EURGBP,baseline,1.5215,3716640.0,2504031.0,1,0,-1333800.0,705,1.231,2.5569,2431297.0,582117.0,inf,1.4994
EURGBP,C2_legstop8.0,1.0367,388341.0,1853497.0,0,85,-395091.0,671,1.2198,0.8209,-868720.0,1277929.0,0.8359,0.5067
EURGBP,C2_legstop6.0,0.9839,-179668.0,1884990.0,0,116,-332106.0,650,1.0834,0.8472,-717419.0,1305420.0,0.8319000000000001,0.4905
EURGBP,C2_legstop4.0,0.9451,-635472.0,1490808.0,0,169,-221404.0,622,0.9208,0.9877,-51767.0,711931.0,0.94125,0.739
EURGBP,C2_legstop3.0,0.9734,-305710.0,1130276.0,0,215,-167946.0,606,0.9293,1.0586,229465.0,381714.0,0.9678500000000001,0.7823
EURGBP,C1_cull_drain,1.5215,3716640.0,2504031.0,1,0,-1333800.0,705,1.231,2.5569,2431297.0,582117.0,inf,1.4994
EURGBP,C1C2_drain_ls6.0,0.9839,-179668.0,1884990.0,0,116,-332106.0,650,1.0834,0.8472,-717419.0,1305420.0,0.8319000000000001,0.4905
EURGBP,C1C2_drain_ls4.0,0.9451,-635472.0,1490808.0,0,169,-221404.0,622,0.9208,0.9877,-51767.0,711931.0,0.94125,0.739
