pair,tag,full_pf,full_net,full_dd,full_nfs,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
CHFJPY,baseline,0.9454,-1320557.0,2776471.0,2,-1531600.0,1219,1.0882,0.8468,-2199443.0,2776471.0,1.0074,0.6324
CHFJPY,long-only,1.2207,2074379.0,1486471.0,0,-878900.0,614,0.9678,1.5458,2244636.0,1030586.0,1.9236,0.837
CHFJPY,R-SMA1200,0.9494,-822721.0,2349736.0,1,-1565200.0,830,0.853,1.0677,493607.0,1565200.0,1.14775,0.8019
CHFJPY,soft short_lot0.5,1.0328,545611.0,1256150.0,0,-1256150.0,1219,1.0461,1.0211,191296.0,1256150.0,1.107,0.9593
CHFJPY,combo (both),1.103,1542893.0,1207582.0,0,-749400.0,1091,1.1652,1.0541,454118.0,1207582.0,1.05205,0.742
CHFJPY,long-only+combo,1.3048,1909504.0,1042021.0,0,-613964.0,540,0.9614,1.7534,2046624.0,613964.0,2.11505,0.8782
CHFJPY,R-SMA1200+combo,0.914,-1052256.0,2350918.0,1,-1500240.0,746,0.8713,0.9588,-246015.0,1866704.0,1.15105,0.4874
AUDNZD,baseline,1.0775,958288.0,1505298.0,13,-885600.0,819,0.9406,1.3077,1663200.0,1505298.0,1.2349,0.9821
AUDNZD,long-only,1.0145,90508.0,2962941.0,7,-885600.0,386,0.5618,5.2611,2746649.0,288180.0,inf,1.6021
AUDNZD,R-SMA1200,0.9718,-263919.0,1800418.0,12,-885600.0,549,0.791,1.4143,1307713.0,904786.0,1.7393,0.8152
AUDNZD,soft short_lot0.5,1.0893,804272.0,2197871.0,8,-885600.0,818,0.8215,1.7007,2137302.0,627930.0,1.6054,1.2118
AUDNZD,combo (both),1.1818,1311355.0,1164838.0,1,-650160.0,726,1.232,1.1537,561458.0,1164838.0,1.7182,1.0441
AUDNZD,long-only+combo,1.4376,1256471.0,694581.0,1,-650160.0,346,0.7975,4.7047,1834707.0,190710.0,4.32395,1.9727
AUDNZD,R-SMA1200+combo,1.3243,1530201.0,650160.0,1,-650160.0,498,1.2733,1.4305,924942.0,461135.0,1.737,1.055
EURCHF,baseline,1.2235,6504224.0,2685951.0,14,-1373600.0,1420,1.2279,1.2142,2294314.0,1647840.0,1.0737999999999999,1.0418
EURCHF,long-only,1.0765,1241322.0,5498134.0,6,-1373600.0,689,1.229,0.8783,-863794.0,2173395.0,0.9335,0.6059
EURCHF,R-SMA1200,1.293,6434512.0,3336268.0,10,-1373600.0,1143,1.3097,1.2661,2350347.0,1979322.0,1.11755,0.8646
EURCHF,soft short_lot0.5,1.1367,3186019.0,3374615.0,8,-1373600.0,1418,1.183,1.0617,558186.0,1847879.0,0.97045,0.8804
EURCHF,combo (both),1.0418,817896.0,3355299.0,1,-1193740.0,1203,0.8948,1.4446,2310230.0,810816.0,1.4894,1.1937
EURCHF,long-only+combo,1.0334,325715.0,4256730.0,1,-1193740.0,590,0.8941,1.4503,1085177.0,678744.0,1.44985,0.9045
EURCHF,R-SMA1200+combo,1.129,1909748.0,2692589.0,1,-1193740.0,985,0.8818,1.9667,3245504.0,572537.0,1.9157,1.4071
USDJPY,baseline,1.0926,906575.0,2496879.0,7,-999000.0,434,1.112,1.0713,332839.0,1988654.0,0.60425,0.2453
USDJPY,long-only,1.6453,2024479.0,1509464.0,2,-999000.0,219,1.3574,2.1393,1316050.0,916700.0,1.7123,1.3778
USDJPY,R-SMA1200,1.5845,2869721.0,1198936.0,4,-999000.0,317,1.6584,1.4766,979914.0,984050.0,1.9941,0.3582
USDJPY,soft short_lot0.5,1.1805,1214511.0,1644362.0,4,-999000.0,434,1.3997,1.1199,404877.0,1297780.0,1.39015,0.2002
USDJPY,combo (both),1.0422,299338.0,1678925.0,1,-1027810.0,373,1.2835,0.843,-609804.0,1678925.0,0.5692999999999999,0.3094
USDJPY,long-only+combo,1.3902,976249.0,1425348.0,1,-1027810.0,184,1.1932,1.7143,675677.0,932318.0,inf,0.7852
USDJPY,R-SMA1200+combo,1.0765,402501.0,1905855.0,3,-1027810.0,277,1.1134,1.0208,43592.0,1151490.0,1.3343,0.229
EURUSD,baseline,0.8268,-3489426.0,4369821.0,10,-1395775.0,504,0.8944,0.8071,-2186662.0,3122342.0,0.942,0.5969
EURUSD,long-only,1.081,674322.0,2836926.0,4,-1247440.0,268,2.0583,0.7458,-1575581.0,2258106.0,0.939,0.3815
EURUSD,R-SMA1200,0.8644,-2162848.0,4947705.0,9,-1395775.0,415,1.3776,0.6487,-3938904.0,4947705.0,0.6943,0.3746
EURUSD,soft short_lot0.5,0.9425,-787012.0,2373922.0,6,-1247440.0,507,1.0349,0.8797,-950330.0,1794775.0,1.02215,0.5245
EURUSD,combo (both),0.8562,-1893092.0,2953918.0,0,-891197.0,450,0.7742,0.9916,-50717.0,1608760.0,0.9925999999999999,0.4138
EURUSD,long-only+combo,1.0779,443672.0,2091378.0,0,-728810.0,233,2.6736,0.6613,-1528881.0,2091378.0,0.6925,0.2517
EURUSD,R-SMA1200+combo,0.8778,-1301923.0,2552974.0,1,-1128389.0,368,1.0756,0.7812,-1331250.0,2552974.0,0.7702,0.2718
