pair,grp,year,pf,net,n_tp,n_fs,n_b48,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
AUDCAD,GO,2015,inf,293289.0,11,0,0,0.0,0.0,31.669515669515803,0.07939886573048978,58.06837606837621,0.007140816909454442
AUDCAD,GO,2016,1.1431,334017.0,93,3,0,854353.0,-793908.0,26.66808873720139,0.041428902806773325,64.10494880546088,0.08392056374119154
AUDCAD,GO,2017,2.4998,684049.0,53,0,1,456084.0,-456084.0,9.409233997901373,0.014001071120194927,56.32318992654774,0.04531576410091596
AUDCAD,GO,2018,0.6512,-264465.0,23,1,0,758160.0,-758160.0,16.89042675893912,0.02441386875795014,91.88811995386561,0.014939759036144579
AUDCAD,GO,2019,2.1923,722886.0,67,0,1,606312.0,-606312.0,47.24033149171256,0.06497945287460265,75.34668508287261,0.061837455830388695
AUDCAD,GO,2020,1.2012,308803.0,78,1,2,776628.0,-776628.0,50.27305888483539,0.06919438893853729,130.62532569046277,0.08416
AUDCAD,GO,2021,2.3883,810868.0,71,0,2,343548.0,-343548.0,54.52770780856456,0.07986209746145687,90.12720403022733,0.07307692307692308
AUDCAD,GO,2022,1.3188,451166.0,72,1,1,784728.0,-784728.0,3.5961445783132544,0.005368438016196023,61.9575903614452,0.061718499519076625
AUDCAD,GO,2023,1.4394,340867.0,47,1,0,775764.0,-775764.0,14.9498069498071,0.020871965155892826,75.97683397683498,0.03279215560199325
AUDCAD,GO,2024,2.7517,1156132.0,103,0,2,454865.0,-439452.0,11.563920454545498,0.01615098322408626,64.70028409090914,0.08423256563053631
AUDCAD,GO,2025,1.8313,767325.0,86,0,2,505548.0,-505548.0,23.608723540731354,0.03582036678747568,73.30468248877541,0.08145886889460155
AUDCAD,GO,2026,0.9158,-68379.0,32,1,0,811728.0,-811728.0,51.76690489279875,0.15339703970625124,63.10390324354105,0.045061960195268494
EURGBP,GO,2015,0.4368,-2576943.0,56,3,1,2823366.0,-1418350.0,32.980929678188346,0.041104294478527696,78.29320619785445,0.04280904280904281
EURGBP,GO,2016,0.7047,-393870.0,19,1,0,1333800.0,-1333800.0,79.39574046557755,0.09907586875259577,139.63942545814845,0.011207172590457892
EURGBP,GO,2017,inf,809665.0,27,0,0,0.0,0.0,31.12068965517227,0.03932975988146589,85.61206896551707,0.01896191547485136
EURGBP,GO,2018,4.5418,1761110.0,77,0,1,497230.0,-497230.0,9.818181818181891,0.013966921960542078,48.25252525252528,0.06376485705107614
EURGBP,GO,2019,0.7314,-1058151.0,99,2,1,2202826.0,-1556670.0,51.52537722908034,0.06552852676826879,100.57338820301676,0.08464503694185672
EURGBP,GO,2020,6.6825,2802846.0,104,0,1,480700.0,-480700.0,38.57867435158484,0.04691026119036876,98.2501440922185,0.07249159865578493
EURGBP,GO,2021,5.0382,1625070.0,93,0,1,402420.0,-402420.0,64.5088757396453,0.09532386681589251,84.86390532544407,0.07019230769230769
EURGBP,GO,2022,0.7728,-609873.0,59,2,0,1682328.0,-1351660.0,39.41101963267883,0.05278909302518913,95.49081697276742,0.04310897435897436
EURGBP,GO,2023,1.3139,453903.0,78,0,3,888820.0,-888820.0,20.45774647887311,0.02923358692589452,59.943661971830814,0.06604531576410091
EURGBP,GO,2024,1.4051,428050.0,86,0,2,823182.0,-628140.0,65.30092592592523,0.09362730292962847,74.90972222222142,0.07217154744759162
EURGBP,GO,2025,1.8244,895321.0,94,0,2,756912.0,-773300.0,59.930300096806405,0.08305473122722654,84.5692158760904,0.0767871485943775
EURGBP,GO,2026,1.6614,184103.0,26,0,1,278350.0,-278350.0,12.483333333333238,0.0420999381709859,29.68333333333267,0.07164179104477612
GBPJPY,NOGO,2015,0.6432,-1112954.0,47,2,0,1707232.0,-1574700.0,46.94928084784225,0.10407041393243625,66.85591723441804,0.06092677345537757
GBPJPY,NOGO,2016,0.5683,-1860289.0,43,2,0,2966689.0,-2750400.0,87.61359093937342,0.10454101733287961,146.5236508994,0.03815325424815646
GBPJPY,NOGO,2017,0.9577,-269500.0,164,4,0,2254811.0,-1666600.0,30.7904869762176,0.039492816252656375,70.59852774631965,0.13916117628153624
GBPJPY,NOGO,2018,0.6481,-2738796.0,136,5,0,2946621.0,-1649500.0,49.536908881199636,0.0666760849602528,69.56805074971189,0.10793446835849663
GBPJPY,NOGO,2019,1.5506,837621.0,88,1,0,1521300.0,-1521300.0,20.80972480162057,0.02590707118265026,105.58973493162087,0.06633472534532606
GBPJPY,NOGO,2020,2.2281,2023739.0,115,1,0,1647800.0,-1647800.0,11.618792744573483,0.014790124372704749,86.98483496877935,0.08496
GBPJPY,NOGO,2021,0.3469,-4176850.0,80,4,0,4648868.0,-1750200.0,75.06776859504149,0.10114531584526795,96.19761248852166,0.05721153846153846
GBPJPY,NOGO,2022,0.8329,-510429.0,59,2,0,2041693.0,-1532200.0,8.894621775251416,0.011795458788956286,71.29777000437238,0.03413461538461538
GBPJPY,NOGO,2023,0.606,-3960493.0,132,6,0,4578846.0,-1856100.0,77.20806409924995,0.09743767724140448,120.5469113466003,0.09979109754137876
GBPJPY,NOGO,2024,1.1577,737072.0,124,3,0,2458104.0,-1620400.0,59.31578947368486,0.07406359389474737,100.20711500974765,0.09649543927028324
GBPJPY,NOGO,2025,1.4126,2555164.0,192,4,0,3192896.0,-1623600.0,49.65874195146136,0.06768583715325364,94.38732045567149,0.1893975903614458
GBPJPY,NOGO,2026,1.1718,284675.0,58,1,0,1657000.0,-1657000.0,11.420835785756209,0.03474076023611673,38.576221306650694,0.14419827262485918
CHFJPY,NOGO,2015,0.4696,-232243.0,11,0,1,437900.0,-437900.0,57.62729298817089,0.14762302943852845,75.8059317675298,0.012875536480686695
CHFJPY,NOGO,2016,0.7442,-480400.0,83,0,5,865500.0,-865500.0,25.622911694510783,0.035672988742540504,88.71599045346062,0.05386341776210324
CHFJPY,NOGO,2017,1.2061,306071.0,115,0,6,394300.0,-394300.0,5.315442146942241,0.008016944271554236,67.24681038275246,0.0729551663184959
CHFJPY,NOGO,2018,1.055,24379.0,32,0,2,307700.0,-307700.0,25.79629629629643,0.04076637771164887,68.53996101364551,0.019274012206874396
CHFJPY,NOGO,2019,0.8853,-212914.0,148,0,10,551850.0,-512900.0,5.149839228295869,0.00795626834323236,59.313183279742994,0.0965151758471174
CHFJPY,NOGO,2020,2.2389,977157.0,82,0,2,647671.0,-674100.0,32.057971014492736,0.043818376558794316,64.52873563218375,0.04992
CHFJPY,NOGO,2021,1.165,484629.0,246,0,14,900043.0,-878900.0,71.82773564463666,0.10766292671281932,80.12459371614253,0.1503205128205128
CHFJPY,NOGO,2022,0.6324,-1224414.0,107,1,6,2524164.0,-1522100.0,66.44592547712783,0.08492749695080637,118.36170857315908,0.06942440275773609
CHFJPY,NOGO,2023,1.4317,314029.0,43,0,2,671329.0,-398700.0,108.33878157503774,0.14438991932130082,137.8282317979206,0.027692803091289648
CHFJPY,NOGO,2024,1.0277,108457.0,169,0,11,1120129.0,-817100.0,24.000602046959834,0.033825721803484234,62.29199277543672,0.09523047375160051
CHFJPY,NOGO,2025,0.9871,-59321.0,161,0,10,1464557.0,-1180300.0,99.67740063823689,0.14116361335595753,133.87931534667925,0.1005631536604988
CHFJPY,NOGO,2026,0.5252,-409393.0,21,0,2,668236.0,-602800.0,15.383038210624608,0.045066510371540865,37.05498602050358,0.036076662908680945
NZDJPY,NOGO,2015,1.2297,500039.0,87,2,0,1089900.0,-1089900.0,32.92369624885627,0.08539307925370754,82.07355901189356,0.13762517882689557
NZDJPY,NOGO,2016,1.5876,1270879.0,113,2,0,1107671.0,-1142600.0,6.125000000000083,0.008155977028135758,75.90754437869882,0.0964279993592824
NZDJPY,NOGO,2017,2.1443,1218125.0,104,1,0,1064500.0,-1064500.0,9.002103049421581,0.013044081101547578,60.61514195583547,0.08902458621243774
NZDJPY,NOGO,2018,0.4266,-1795000.0,66,3,0,2468671.0,-1075800.0,47.922497308933856,0.060505736628803104,70.15823466092498,0.04657886283327979
