datetime,known,atr1h,pre_high,c_detect,trough,total_drop,drop_to_detect,postB_drop_1h,postB_drop_3h,postB_drop_6h,maxadv_1h,maxadv_3h,revD_50_days,revD_100_days,revD_max_recover,revD_below_trough_10d,revD_below_trough_20d,revD_horizon_days
2016-04-28 03:05:00,,0.189,111.883,109.012,107.916,3.967,2.871,0.025,0.262,1.096,0.432,0.432,14.6,149.4,1.03,2.367,2.367,2638.0
2016-06-24 02:40:00,,0.684,105.705,100.306,98.955,6.75,5.399,1.351,1.351,1.351,3.19,3.19,0.0,14.4,1.01,0.0,0.0,2597.0
2016-11-09 02:20:00,,0.289,105.467,102.399,101.191,4.276,3.068,0.712,1.208,1.208,0.796,0.796,0.1,0.4,1.0,0.0,0.0,2499.0
2019-01-02 22:35:00,,0.183,109.138,105.103,104.736,4.402,4.035,0.367,0.367,0.367,3.065,3.065,0.0,9.9,1.01,0.0,0.0,1938.0
2020-03-09 01:45:00,,0.413,104.265,102.135,101.553,2.712,2.13,0.582,0.582,0.582,1.263,1.263,0.0,0.8,1.06,0.373,0.373,1630.0
2022-08-10 12:45:00,,0.157,135.072,132.779,132.025,3.047,2.293,0.06,0.754,0.754,0.536,0.536,1.3,4.9,1.01,0.294,0.294,998.0
2022-08-23 14:10:00,,0.276,137.641,135.943,135.804,1.837,1.698,0.139,0.139,0.139,0.555,0.587,0.1,2.3,1.06,0.0,0.0,989.0
2022-09-22 08:40:00,2022 1st (since1998) ~145.9->140,0.438,145.901,140.964,140.346,5.555,4.937,0.284,0.284,0.618,1.878,2.43,0.6,13.9,1.01,0.0,0.0,968.0
2022-10-23 23:40:00,2022 Tokyo-am follow,0.862,149.705,145.747,145.394,4.311,3.958,0.353,0.353,0.353,2.849,3.291,0.0,242.0,1.0,0.289,7.723,945.0
2022-11-10 13:45:00,,0.238,146.539,143.453,141.466,5.073,3.086,1.453,1.987,1.987,0.509,0.509,163.5,199.5,1.0,3.795,7.848,933.0
2022-12-13 13:45:00,,0.252,137.604,134.999,134.65,2.954,2.605,0.349,0.349,0.349,0.363,0.373,1.2,1.5,1.01,4.084,5.143,909.0
2022-12-20 03:10:00,,0.27,137.472,133.257,132.098,5.374,4.215,0.157,0.583,1.159,1.201,1.201,42.0,55.5,1.0,2.318,4.88,904.0
2024-04-29 04:30:00,2024 holiday thin ~160->154,0.424,159.594,156.247,154.523,5.071,3.347,1.204,1.204,1.724,1.024,1.024,0.8,38.1,1.0,2.666,2.666,550.0
2024-05-01 20:35:00,2024 post-FOMC late-NY ~158->153,0.223,157.585,154.182,152.989,4.596,3.403,1.193,1.193,1.193,0.955,1.574,0.0,19.8,1.01,1.132,1.132,548.0
2024-07-11 13:05:00,2024 US-CPI ~162->157,0.327,161.621,157.566,157.409,4.212,4.055,0.157,0.157,0.157,1.402,1.402,435.5,,0.79,5.468,15.733,498.0
2024-07-12 13:10:00,2024 US-CPI ~162->157,0.365,159.155,157.388,157.359,1.796,1.767,0.029,0.029,0.029,1.068,1.068,0.0,392.9,1.02,5.418,15.683,497.0
2024-08-02 12:30:00,,0.424,149.122,147.16,146.417,2.705,1.962,0.145,0.743,0.743,1.787,1.787,3.2,9.2,1.01,4.741,4.741,482.0
2024-09-27 06:45:00,,0.356,146.491,143.306,142.607,3.884,3.185,0.528,0.528,0.699,0.35,0.463,3.5,3.8,1.0,0.965,0.965,442.0
2025-08-01 12:55:00,,0.218,150.596,148.634,147.482,3.114,1.962,0.651,1.152,1.152,0.151,0.151,23.4,47.4,1.01,1.269,1.269,222.0
2025-08-22 14:15:00,,0.17,148.718,146.879,146.572,2.146,1.839,0.269,0.307,0.307,0.428,0.428,2.2,7.6,1.0,0.0,1.091,207.0
2026-04-30 10:50:00,2026 Apr-May campaign (11.7T),0.254,159.647,157.103,155.554,4.093,2.544,1.549,1.549,1.549,0.585,0.585,3.5,19.8,1.0,0.525,0.525,28.0
2026-05-01 06:50:00,2026 Apr-May campaign (11.7T),0.329,157.298,155.694,155.486,1.812,1.604,0.208,0.208,0.208,0.943,1.065,0.0,2.4,1.0,0.457,0.457,27.0
2026-05-06 04:50:00,2026 Apr-May campaign (11.7T),0.17,157.89,155.085,155.029,2.861,2.805,0.056,0.056,0.056,1.303,1.48,0.1,5.1,1.0,0.0,0.0,24.0
