strategy,period,mom_th,filter_th,use_ema200_filter,monday_th_mult,PF,win_rate,trades,max_dd
MOM_JPY,10,0.015,0.005,False,1.5,1.5713,0.4828,58,7.116196
MOM_JPY,10,0.015,0.003,False,1.5,1.5597,0.4921,63,8.733908
MOM_JPY,10,0.015,0.005,True,1.0,1.5372,0.4878,41,6.340355
MOM_JPY,10,0.015,0.001,True,1.0,1.5306,0.5,44,6.72886
MOM_JPY,10,0.015,0.002,True,1.0,1.5306,0.5,44,6.72886
MOM_GBJ,7,0.015,0.002,False,1.5,1.4458,0.4889,45,18.375361
MOM_GBJ,7,0.005,0.002,True,1.5,1.4457,0.5143,70,13.970141
MOM_GBJ,7,0.015,0.002,False,1.0,1.4457,0.4894,47,17.526433
MOM_GBJ,7,0.005,0.002,True,1.0,1.4221,0.5068,73,15.040998
MOM_GBJ,7,0.005,0.001,True,1.5,1.4172,0.507,71,14.604198
MOM_ENZ,14,0.007,0.005,False,1.5,1.15,0.5283,53,0.139893
MOM_ENZ,14,0.015,0.005,False,1.0,1.0938,0.5556,27,0.141459
MOM_ENZ,14,0.015,0.002,False,1.0,1.0926,0.5333,30,0.149269
MOM_ENZ,14,0.005,0.005,False,1.0,1.0914,0.4677,62,0.125893
MOM_ENZ,14,0.01,0.005,False,1.5,1.0739,0.5676,37,0.1577
MOM_ECA,7,0.015,0.002,True,1.5,4.1085,0.7273,11,0.009929
MOM_ECA,7,0.015,0.002,True,1.0,4.0698,0.7273,11,0.010188
MOM_ECA,7,0.015,0.003,True,1.5,3.7434,0.7,10,0.01756
MOM_ECA,7,0.015,0.003,True,1.0,2.7014,0.6364,11,0.028051
MOM_ECA,7,0.015,0.002,False,1.5,2.5045,0.6154,13,0.015986
MOM_GBU,10,0.007,0.002,True,1.0,1.4269,0.5536,56,0.058835
MOM_GBU,10,0.007,0.001,True,1.0,1.3845,0.5439,57,0.058835
MOM_GBU,10,0.007,0.003,True,1.5,1.3757,0.5455,55,0.059181
MOM_GBU,20,0.007,0.003,False,1.0,1.3747,0.5204,98,0.091178
MOM_GBU,10,0.007,0.002,True,1.5,1.374,0.5455,55,0.059181
