pair,entry_ts,exit_ts,direction,entry,exit,pnl_pips,pnl_r,exit_reason,bars_held
AUDUSD,2024-05-30 16:00:00,2024-05-31 16:00:00,1,0.6634291410446167,0.6634291410446167,-1.2,0.0,SL,6
AUDUSD,2024-06-03 04:00:00,2024-06-03 12:00:00,1,0.6634379029273987,0.6688369003574277,52.78997430029028,3.0000000000000164,TP,2
GBPUSD,2024-06-03 08:00:00,2024-06-03 16:00:00,1,1.2729285955429077,1.2800631699667686,69.84574423860896,2.999999999999998,TP,2
AUDUSD,2024-06-04 16:00:00,2024-06-05 12:00:00,1,0.6650484204292297,0.6628641905758633,-23.042298533664148,-0.9999999999999929,SL,5
EURUSD,2024-06-05 04:00:00,2024-06-05 16:00:00,1,1.0874292850494385,1.0859265364468453,-16.027486025931402,-1.0000000000000215,SL,3
GBPUSD,2024-06-05 12:00:00,2024-06-06 08:00:00,1,1.276959776878357,1.276959776878357,-1.5,0.0,SL,5
EURUSD,2024-06-05 16:00:00,2024-06-07 12:00:00,1,1.0876659154891968,1.0876659154891968,-1.0,0.0,SL,11
AUDUSD,2024-06-05 16:00:00,2024-06-06 04:00:00,1,0.6652165055274963,0.6652165055274963,-1.2,0.0,SL,3
GBPUSD,2024-06-06 12:00:00,2024-06-07 12:00:00,1,1.2784126996994019,1.276316131868457,-22.465678309448066,-0.9999999999999857,SL,6
GBPUSD,2024-06-11 16:00:00,2024-06-12 12:00:00,1,1.274112582206726,1.281396183883626,71.33601676900008,2.9999999999999676,TP,5
AUDUSD,2024-06-11 20:00:00,2024-06-12 12:00:00,1,0.6609822511672974,0.6657105838068688,46.08332639571397,2.9999999999999742,TP,4
GBPUSD,2024-06-13 12:00:00,2024-06-14 04:00:00,1,1.2763731479644775,1.2731977463098565,-33.254016546210465,-0.9999999999999741,SL,4
AUDUSD,2024-06-24 12:00:00,2024-06-25 12:00:00,1,0.665530800819397,0.6637253718053644,-19.25429014032578,-0.9999999999999796,SL,6
AUDUSD,2024-06-25 12:00:00,2024-06-26 12:00:00,1,0.6641693711280823,0.6641693711280823,-1.2,0.0,SL,6
AUDUSD,2024-06-26 12:00:00,2024-06-28 00:00:00,1,0.664867103099823,0.6626813070818365,-23.057960179865187,-0.9999999999999929,SL,9
EURUSD,2024-06-28 04:00:00,2024-06-28 12:00:00,-1,1.0699764490127563,1.0717361664261684,-18.597174134120763,-0.9999999999999558,SL,2
AUDUSD,2024-06-28 08:00:00,2024-07-01 12:00:00,1,0.6654776930809021,0.6654776930809021,-1.2,0.0,SL,8
AUDUSD,2024-07-01 12:00:00,2024-07-03 12:00:00,1,0.6652784943580627,0.6712645823068104,58.66087948747664,3.000000000000025,TP,12
EURUSD,2024-07-02 08:00:00,2024-07-02 12:00:00,-1,1.0726161003112793,1.0744958157508995,-19.797154396201776,-0.9999999999999813,SL,1
EURUSD,2024-07-02 12:00:00,2024-07-03 04:00:00,-1,1.0738831758499146,1.0758043253236516,-20.21149473737005,-1.000000000000038,SL,4
AUDUSD,2024-07-08 16:00:00,2024-07-11 12:00:00,1,0.6736274361610413,0.6779838188235371,42.36382662495827,3.0000000000000306,TP,17
GBPUSD,2024-07-09 08:00:00,2024-07-09 12:00:00,1,1.2797870635986328,1.2780241710856115,-19.12892513021308,-1.0000000000000262,SL,1
GBPUSD,2024-07-16 12:00:00,2024-07-17 08:00:00,1,1.2957228422164917,1.301996374083549,61.23531867057258,2.999999999999984,TP,5
GBPUSD,2024-07-18 08:00:00,2024-07-18 16:00:00,1,1.2981786727905273,1.2960383740921617,-22.90298698365628,-0.9999999999999921,SL,2
EURUSD,2024-07-23 00:00:00,2024-07-23 04:00:00,1,1.0897995233535767,1.088598612182907,-13.009111706696718,-1.000000000000009,SL,1
GBPUSD,2024-07-24 08:00:00,2024-07-24 20:00:00,1,1.2919729948043823,1.2898795096056705,-22.434851987117753,-0.9999999999999598,SL,3
EURUSD,2024-07-25 16:00:00,2024-07-29 08:00:00,1,1.0849517583847046,1.0831132173372464,-19.385410474581754,-0.9999999999999476,SL,11
GBPUSD,2024-07-29 00:00:00,2024-07-29 04:00:00,1,1.288195013999939,1.2863854207445564,-19.595932553825467,-1.0000000000000446,SL,1
GBPUSD,2024-07-29 16:00:00,2024-07-30 12:00:00,1,1.286421775817871,1.2839151563829183,-26.566194349527837,-1.0000000000000044,SL,5
EURUSD,2024-07-31 08:00:00,2024-07-31 16:00:00,1,1.0831888914108276,1.0815278683887801,-17.61023022047514,-1.0000000000000004,SL,2
EURUSD,2024-07-31 16:00:00,2024-08-01 04:00:00,1,1.082602620124817,1.080627463976093,-20.75156148723789,-1.0000000000000142,SL,3
GBPUSD,2024-08-04 20:00:00,2024-08-05 04:00:00,1,1.27883780002594,1.2754593665579494,-35.28433467990494,-0.9999999999999827,SL,2
GBPUSD,2024-08-05 04:00:00,2024-08-05 08:00:00,1,1.2792794704437256,1.2751383644586765,-42.91105985049131,-0.9999999999999967,SL,1
GBPUSD,2024-08-05 08:00:00,2024-08-06 08:00:00,1,1.2763731479644775,1.2716421644502052,-48.809835142723685,-0.9999999999999912,SL,6
AUDUSD,2024-08-05 20:00:00,2024-08-07 00:00:00,-1,0.6516186594963074,0.6554508230107888,-39.52163514481457,-0.9999999999999893,SL,7
EURUSD,2024-08-07 00:00:00,2024-08-08 12:00:00,1,1.0918222665786743,1.0894659514027627,-24.563151759116163,-1.0000000000000362,SL,9
AUDUSD,2024-08-07 16:00:00,2024-08-08 00:00:00,-1,0.6520477533340454,0.6554236569298235,-34.95903595778107,-1.000000000000006,SL,2
EURUSD,2024-08-09 00:00:00,2024-08-13 16:00:00,1,1.0926573276519775,1.0982043368756225,54.470092236449275,2.9999999999999725,TP,17
