bin,n,wr,pf,avg_net,sum_net,axis
1-3,50,0.44,1.0231499674954807,0.39436314759729,19.7181573798645,hold
4-6,30,0.7666666666666667,2.6415190907944157,24.687040337252956,740.6112101175887,hold
7-12,32,0.9375,7.2464481203275755,37.71720613813963,1206.9505964204682,hold
13-24,56,0.9642857142857143,184.67448888889464,36.89889285714321,2066.3380000000197,hold
25-48,40,0.15,0.06766129164933514,-24.793624999999842,-991.7449999999938,hold
49-96,6,0.0,0.0,-145.0166666666669,-870.1000000000015,hold
97+,0,,,,0.0,hold
2.00-2.25,82,0.6829268292682927,1.6513752133566673,10.121055648126275,829.9265631463545,z
2.25-2.50,48,0.6041666666666666,1.136676288298291,2.3510890668471234,112.85227520866192,z
2.50-2.75,33,0.5757575757575758,1.251690693304417,5.784677047794031,190.89434257720302,z
2.75-3.00,19,0.8421052631578947,6.462982415979426,40.19271555459711,763.6615955373451,z
3.00-3.50,22,0.5,2.316307049284072,18.07512479874563,397.6527455724039,z
3.50-4.00,6,0.16666666666666666,0.0015479462332157743,-23.37831471758463,-140.26988830550778,z
4.00+,4,0.75,29.649273737814823,4.263832545371217,17.05533018148487,z
