symbol,filter_label,sl_atr_mult,stage2_distance,pf,win_rate,rr_actual,avg_exit_pct,tp_count,trail_count,sl_count,trades
GBPUSD,no_filter,1.0,0.1,0.485,23.5,1.575,-30.0,14,55,224,293
GBPUSD,no_filter,1.0,0.2,0.472,23.5,1.533,-30.6,24,45,224,293
GBPUSD,no_filter,1.0,0.3,0.509,23.5,1.652,-29.5,42,27,224,293
GBPUSD,no_filter,1.2,0.1,0.57,27.6,1.491,-24.6,14,67,212,293
GBPUSD,no_filter,1.2,0.2,0.558,27.6,1.462,-25.1,25,56,212,293
GBPUSD,no_filter,1.2,0.3,0.551,27.6,1.441,-25.6,36,45,212,293
GBPUSD,no_filter,1.5,0.1,0.641,31.7,1.379,-19.2,11,82,200,293
GBPUSD,no_filter,1.5,0.2,0.636,31.7,1.368,-19.7,26,67,200,293
GBPUSD,no_filter,1.5,0.3,0.67,31.7,1.442,-18.1,54,39,200,293
GBPUSD,no_filter,2.0,0.1,0.674,35.2,1.244,-15.2,8,95,190,293
GBPUSD,no_filter,2.0,0.2,0.675,35.2,1.245,-15.6,31,72,190,293
GBPUSD,no_filter,2.0,0.3,0.735,35.2,1.356,-13.1,65,38,190,293
GBPUSD,f1_p3,1.0,0.1,0.479,23.5,1.558,-29.7,16,51,218,285
GBPUSD,f1_p3,1.0,0.2,0.47,23.5,1.528,-30.2,26,41,218,285
GBPUSD,f1_p3,1.0,0.3,0.501,23.5,1.63,-29.3,42,25,218,285
GBPUSD,f1_p3,1.2,0.1,0.563,27.7,1.469,-24.4,15,64,206,285
GBPUSD,f1_p3,1.2,0.2,0.553,27.7,1.442,-24.9,25,54,206,285
GBPUSD,f1_p3,1.2,0.3,0.545,27.7,1.421,-25.4,35,44,206,285
GBPUSD,f1_p3,1.5,0.1,0.655,32.3,1.375,-18.4,11,81,193,285
GBPUSD,f1_p3,1.5,0.2,0.65,32.3,1.363,-18.8,26,66,193,285
GBPUSD,f1_p3,1.5,0.3,0.686,32.3,1.438,-17.2,54,38,193,285
GBPUSD,f1_p3,2.0,0.1,0.661,34.4,1.261,-16.5,6,92,187,285
GBPUSD,f1_p3,2.0,0.2,0.663,34.4,1.265,-16.8,28,70,187,285
GBPUSD,f1_p3,2.0,0.3,0.724,34.4,1.381,-14.2,62,36,187,285
GBPUSD,f1_p5,1.0,0.1,0.489,23.7,1.572,-29.7,14,55,222,291
GBPUSD,f1_p5,1.0,0.2,0.476,23.7,1.532,-30.3,24,45,222,291
GBPUSD,f1_p5,1.0,0.3,0.516,23.7,1.659,-29.0,43,26,222,291
GBPUSD,f1_p5,1.2,0.1,0.572,27.8,1.484,-24.4,14,67,210,291
GBPUSD,f1_p5,1.2,0.2,0.561,27.8,1.456,-24.9,25,56,210,291
GBPUSD,f1_p5,1.2,0.3,0.552,27.8,1.43,-25.3,36,45,210,291
GBPUSD,f1_p5,1.5,0.1,0.66,32.3,1.383,-18.4,11,83,197,291
GBPUSD,f1_p5,1.5,0.2,0.654,32.3,1.371,-18.9,26,68,197,291
GBPUSD,f1_p5,1.5,0.3,0.691,32.3,1.449,-17.2,55,39,197,291
GBPUSD,f1_p5,2.0,0.1,0.679,35.4,1.239,-14.9,8,95,188,291
GBPUSD,f1_p5,2.0,0.2,0.682,35.4,1.245,-15.1,32,71,188,291
GBPUSD,f1_p5,2.0,0.3,0.739,35.4,1.349,-12.8,65,38,188,291
GBPUSD,htf4h_only,1.0,0.1,0.444,22.9,1.498,-30.8,6,29,118,153
GBPUSD,htf4h_only,1.0,0.2,0.422,22.9,1.424,-31.7,9,26,118,153
GBPUSD,htf4h_only,1.0,0.3,0.467,22.9,1.576,-30.5,20,15,118,153
GBPUSD,htf4h_only,1.2,0.1,0.553,27.5,1.462,-24.3,6,36,111,153
GBPUSD,htf4h_only,1.2,0.2,0.533,27.5,1.409,-25.3,8,34,111,153
GBPUSD,htf4h_only,1.2,0.3,0.529,27.5,1.397,-25.6,16,26,111,153
GBPUSD,htf4h_only,1.5,0.1,0.679,32.7,1.4,-17.4,5,45,103,153
GBPUSD,htf4h_only,1.5,0.2,0.687,32.7,1.416,-17.6,15,35,103,153
GBPUSD,htf4h_only,1.5,0.3,0.726,32.7,1.496,-15.6,32,18,103,153
GBPUSD,htf4h_only,2.0,0.1,0.796,39.9,1.2,-8.7,6,55,92,153
GBPUSD,htf4h_only,2.0,0.2,0.832,39.9,1.255,-8.1,21,40,92,153
GBPUSD,htf4h_only,2.0,0.3,0.854,39.9,1.288,-7.0,35,26,92,153
EURUSD,htf4h_bw002,1.2,0.1,0.972,50.0,0.972,1.6,0,1,1,2
EURUSD,htf4h_bw002,1.2,0.2,0.832,50.0,0.832,-3.4,0,1,1,2
EURUSD,htf4h_bw002,1.2,0.3,0.693,50.0,0.693,-8.4,0,1,1,2
EURUSD,htf4h_bw002,1.5,0.1,0.86,50.0,0.86,-2.4,0,1,1,2
EURUSD,htf4h_bw002,1.5,0.2,0.721,50.0,0.721,-7.4,0,1,1,2
EURUSD,htf4h_bw002,1.5,0.3,0.582,50.0,0.582,-12.4,0,1,1,2
EURUSD,htf4h_bw002,2.0,0.1,1.392,50.0,1.392,16.7,1,0,1,2
