pair,tag,n_is,n_oos,eg_t,eg_p,adf_p_is,adf_p_oos,beta_is,beta_oos,beta_drift,collapse_to_cross,hl_is,hl_oos,z_oos_mean,z_oos_std
AUDUSD/NZDUSD,antipodean,2188,1390,-3.934,0.0089,0.0018,0.89,0.941,0.67,0.288,True,49.4,239.8,1.14,1.45
AUDCAD/NZDCAD,antipodean,2050,1382,-3.684,0.0192,0.0044,0.9415,0.86,0.282,0.672,True,53.3,181.5,0.91,1.47
AUDCHF/NZDCHF,antipodean,2189,1391,-4.005,0.0071,0.0014,0.857,0.948,0.798,0.158,True,47.6,198.0,0.96,1.38
AUDUSD/USDCAD,resource,2189,1392,-2.332,0.3577,0.1621,0.5326,-1.111,-0.993,0.106,True,97.5,88.8,-1.3,0.78
NZDUSD/USDCAD,resource,2188,1390,-2.76,0.1788,0.0644,0.0075,-1.043,-1.28,0.228,True,77.3,35.3,-2.23,0.64
EURCHF/GBPCHF,euro_chf,2188,1385,-1.521,0.753,0.5235,0.2073,0.038,0.753,18.848,False,61.0,49.2,-3.8,0.99
GBPCHF/CADCHF,euro_chf,2188,1391,-2.011,0.5231,0.2822,0.7349,0.864,0.388,0.551,True,194.2,52.1,-0.52,0.8
EURCHF/CADCHF,euro_chf,2189,1386,-2.525,0.2682,0.1097,0.047,0.45,0.349,0.224,False,87.3,44.3,-2.46,0.63
EURCAD/GBPCAD,euro_cad,2188,1392,-3.205,0.0691,0.0197,0.8479,-0.062,0.965,16.47,False,65.9,49.0,0.01,1.78
AUDCHF/CADCHF,cad_chf,2189,1392,-2.891,0.1384,0.0465,0.7893,1.223,0.884,0.277,True,73.6,71.0,-0.62,1.1
NZDCHF/CADCHF,cad_chf,2189,1391,-2.95,0.1225,0.0399,0.0036,1.153,1.077,0.066,True,65.1,34.3,-1.74,0.66
