scheme,seg,pf,sharpe,maxdd,net,worst
base,FULL,2.4,2.34,2490614,17424323,-1972101
inv_vol_L20,FULL,2.18,1.47,3857476,10956857,-3365865
risk_parity_L20,FULL,6.46,3.18,1217006,23759921,-1217006
inv_vol_L40,FULL,2.92,2.91,2380098,21731142,-2380098
risk_parity_L40,FULL,3.27,2.25,1855945,16768610,-1424079
inv_vol_L60,FULL,2.72,2.71,2434799,20195023,-2434799
risk_parity_L60,FULL,3.06,2.4,1609782,17916253,-1508757
inv_vol_L90,FULL,3.04,3.22,1826413,24050880,-1324764
risk_parity_L90,FULL,3.23,2.96,1714429,22066723,-1459974
vol_target_L20,FULL,2.79,2.87,3322845,21421857,-1754463
vol_target_L40,FULL,3.16,3.19,2017451,23827327,-1884103
vol_target_L60,FULL,2.95,2.92,1925196,21820135,-1879619
base,IS,1.85,1.67,2490614,8938540,-1972101
inv_vol_L20,IS,1.74,1.11,3857476,6025055,-3365865
risk_parity_L20,IS,5.49,3.55,1217006,19537988,-1217006
inv_vol_L40,IS,2.29,2.21,2380098,10619909,-2380098
risk_parity_L40,IS,2.85,2.38,1855945,12823543,-1424079
inv_vol_L60,IS,2.12,2.03,2434799,10488236,-2434799
risk_parity_L60,IS,2.93,2.78,1609782,14433309,-1508757
inv_vol_L90,IS,2.48,2.71,1826413,13244074,-1324764
risk_parity_L90,IS,2.55,2.65,1714429,13461640,-1459974
vol_target_L20,IS,1.96,1.83,3322845,9210179,-1754463
vol_target_L40,IS,2.51,2.5,2017451,11953815,-1884103
vol_target_L60,IS,2.34,2.22,1925196,10652799,-1879619
base,OOS,5.2,4.9,698402,8485783,-698402
inv_vol_L20,OOS,5.11,3.19,665522,4931803,-665522
risk_parity_L20,OOS,12548883998916.46,3.39,0,4221933,0
inv_vol_L40,OOS,4.61,4.28,977514,11111233,-977514
risk_parity_L40,OOS,9.68,2.45,454759,3945067,-454759
inv_vol_L60,OOS,5.0,4.67,822071,9706787,-822071
risk_parity_L60,OOS,3.83,1.74,1186816,3482945,-1186816
inv_vol_L90,OOS,4.76,4.31,923215,10806806,-923215
risk_parity_L90,OOS,7.94,3.88,1025784,8605082,-1025784
vol_target_L20,OOS,6.12,5.42,768187,12211678,-768187
vol_target_L40,OOS,4.8,4.52,849503,11873513,-849503
vol_target_L60,OOS,4.44,4.3,905185,11167336,-905185
