pair,overlay,var,seg,pf,net,maxdd,worst,retain_pct
GBPJPY,ER24>0.35,noadd,IS,1.07,417084,3651279,-1624696,30.7
GBPJPY,ER24>0.35,noadd,OOS,inf,4070133,0,25928,88.3
GBPJPY,ER24>0.35,exit,IS,1.2,485110,679894,-679894,35.8
GBPJPY,ER24>0.35,exit,OOS,2.29,1157734,349123,-265468,25.1
GBPJPY,ER48>0.35,noadd,IS,1.18,1085951,3291133,-1624696,80.0
GBPJPY,ER48>0.35,noadd,OOS,inf,4506044,0,25928,97.8
GBPJPY,ER48>0.35,exit,IS,1.17,904940,2672359,-1519101,66.7
GBPJPY,ER48>0.35,exit,OOS,2.32,1996536,787886,-635739,43.3
GBPJPY,ER24>0.5,noadd,IS,1.22,1312451,3291133,-1624696,96.7
GBPJPY,ER24>0.5,noadd,OOS,inf,4577894,0,25928,99.3
GBPJPY,ER24>0.5,exit,IS,1.13,653148,2380599,-1519101,48.1
GBPJPY,ER24>0.5,exit,OOS,1.49,872114,864931,-635739,18.9
GBPJPY,ER48>0.5,noadd,IS,1.23,1356701,3291133,-1624696,100.0
GBPJPY,ER48>0.5,noadd,OOS,inf,4578183,0,25928,99.3
GBPJPY,ER48>0.5,exit,IS,1.23,1356701,3291133,-1624696,100.0
GBPJPY,ER48>0.5,exit,OOS,7.33,3695189,583617,-528717,80.2
GBPJPY,ADX>25,noadd,IS,1.99,2998990,2330501,-1528699,221.1
GBPJPY,ADX>25,noadd,OOS,inf,4218377,0,25928,91.5
GBPJPY,ADX>25,exit,IS,1.04,66173,499875,-378185,4.9
GBPJPY,ADX>25,exit,OOS,1.9,1049624,328534,-328534,22.8
GBPJPY,ADX>35,noadd,IS,1.65,3025859,2336028,-1624696,223.0
GBPJPY,ADX>35,noadd,OOS,inf,4401323,0,25928,95.5
GBPJPY,ADX>35,exit,IS,1.05,238188,1351961,-806493,17.6
GBPJPY,ADX>35,exit,OOS,1.39,850628,1080467,-778543,18.5
CHFJPY,ER24>0.35,noadd,IS,1.19,361580,843301,-843301,49.1
CHFJPY,ER24>0.35,noadd,OOS,2.46,609568,326942,-326942,90.2
CHFJPY,ER24>0.35,exit,IS,1.65,556349,321791,-321791,75.6
CHFJPY,ER24>0.35,exit,OOS,2.46,419842,113057,-113057,62.1
CHFJPY,ER48>0.35,noadd,IS,1.35,662513,649503,-649503,90.0
CHFJPY,ER48>0.35,noadd,OOS,2.41,676085,388199,-388199,100.0
CHFJPY,ER48>0.35,exit,IS,2.01,1114263,443402,-443402,151.4
CHFJPY,ER48>0.35,exit,OOS,1.82,462096,388199,-388199,68.3
CHFJPY,ER24>0.5,noadd,IS,1.36,660442,608438,-608438,89.7
CHFJPY,ER24>0.5,noadd,OOS,2.76,738292,326942,-326942,109.2
CHFJPY,ER24>0.5,exit,IS,1.73,947382,443402,-443402,128.7
CHFJPY,ER24>0.5,exit,OOS,1.53,384297,566329,-334322,56.8
CHFJPY,ER48>0.5,noadd,IS,1.4,736034,608438,-608438,100.0
CHFJPY,ER48>0.5,noadd,OOS,2.41,676085,388199,-388199,100.0
CHFJPY,ER48>0.5,exit,IS,1.47,816138,608438,-608438,110.9
CHFJPY,ER48>0.5,exit,OOS,2.41,676085,388199,-388199,100.0
CHFJPY,ADX>25,noadd,IS,1.19,350300,784602,-784602,47.6
CHFJPY,ADX>25,noadd,OOS,2.15,487179,331320,-331320,72.1
CHFJPY,ADX>25,exit,IS,1.4,391683,443402,-443402,53.2
CHFJPY,ADX>25,exit,OOS,1.52,193883,114886,-114886,28.7
CHFJPY,ADX>35,noadd,IS,1.3,478550,753513,-753513,65.0
CHFJPY,ADX>35,noadd,OOS,2.42,595450,327578,-327578,88.1
CHFJPY,ADX>35,exit,IS,1.86,988504,443402,-443402,134.3
CHFJPY,ADX>35,exit,OOS,1.54,267948,230207,-230207,39.6
NZDJPY,ER24>0.35,noadd,IS,1.92,1984257,1142721,-1142721,67.4
NZDJPY,ER24>0.35,noadd,OOS,1.24,495191,1055899,-1055899,30.9
NZDJPY,ER24>0.35,exit,IS,0.75,-581245,619019,-256499,-19.8
NZDJPY,ER24>0.35,exit,OOS,1.1,108548,408737,-177186,6.8
NZDJPY,ER48>0.35,noadd,IS,2.24,2562964,1053399,-1053399,87.1
NZDJPY,ER48>0.35,noadd,OOS,1.6,997164,954900,-954900,62.2
NZDJPY,ER48>0.35,exit,IS,0.94,-229516,1045935,-1020558,-7.8
NZDJPY,ER48>0.35,exit,OOS,1.55,866990,698402,-698402,54.0
NZDJPY,ER24>0.5,noadd,IS,2.27,2638399,1059799,-1059799,89.7
NZDJPY,ER24>0.5,noadd,OOS,1.28,567002,1055899,-1055899,35.3
NZDJPY,ER24>0.5,exit,IS,0.89,-360282,1079067,-963921,-12.2
NZDJPY,ER24>0.5,exit,OOS,1.08,131152,430688,-430688,8.2
NZDJPY,ER48>0.5,noadd,IS,2.37,2850481,1053399,-1053399,96.9
NZDJPY,ER48>0.5,noadd,OOS,2.38,1602932,698402,-698402,99.9
NZDJPY,ER48>0.5,exit,IS,1.66,1757946,1242686,-1053399,59.8
NZDJPY,ER48>0.5,exit,OOS,2.16,1442294,698402,-698402,89.9
NZDJPY,ADX>25,noadd,IS,1.54,1119270,1361423,-1053701,38.0
NZDJPY,ADX>25,noadd,OOS,2.19,1194167,1003300,-1003300,74.4
NZDJPY,ADX>25,exit,IS,0.91,-142732,352536,-288098,-4.9
NZDJPY,ADX>25,exit,OOS,1.59,364066,207353,-207353,22.7
NZDJPY,ADX>35,noadd,IS,2.06,2166064,1137798,-1026699,73.6
