pair,date,direction,entry_ts,exit_ts,entry,tp,sl,exit_price,atr,vol_ratio,bb_std,vol_thresh,result_pips,sl_pips,rr,exit_reason,win,event,event_dt
EURUSD,2024-09-18,SHORT,2024-09-18 08:00:00+00:00,2024-09-18 09:00:00+00:00,1.11311,1.11244,1.11412,1.11412,0.000671,0.695,1.5,0.7,-10.1,10.1,-1.0,SL,False,FOMC,2024-09-18 18:00:00+00:00
EURUSD,2024-12-17,LONG,2024-12-17 11:00:00+00:00,2024-12-17 13:00:00+00:00,1.04953,1.05052,1.04803,1.05052,0.000997,0.693,1.5,0.7,10.0,15.0,0.67,TP,True,FOMC,2024-12-18 18:00:00+00:00
EURUSD,2024-12-18,SHORT,2024-12-18 04:00:00+00:00,2024-12-18 07:00:00+00:00,1.05054,1.04977,1.0517,1.04977,0.000772,0.547,1.5,0.7,7.7,11.6,0.67,TP,True,FOMC,2024-12-18 18:00:00+00:00
EURUSD,2024-12-18,SHORT,2024-12-18 07:00:00+00:00,2024-12-18 13:00:00+00:00,1.04988,1.04898,1.05122,1.04898,0.000897,0.637,1.5,0.7,9.0,13.5,0.67,TP,True,FOMC,2024-12-18 18:00:00+00:00
EURUSD,2025-01-29,SHORT,2025-01-29 02:00:00+00:00,2025-01-29 07:00:00+00:00,1.04363,1.04279,1.0449,1.04279,0.000842,0.603,1.5,0.7,8.4,12.6,0.67,TP,True,FOMC,2025-01-29 18:00:00+00:00
EURUSD,2025-05-05,SHORT,2025-05-05 11:00:00+00:00,2025-05-05 15:00:00+00:00,1.13446,1.13287,1.13685,1.13287,0.001593,0.677,1.5,0.7,15.9,23.9,0.67,TP,True,FOMC,2025-05-07 18:00:00+00:00
EURUSD,2025-11-05,SHORT,2025-11-05 06:00:00+00:00,2025-11-05 10:00:00+00:00,1.14893,1.1482,1.15002,1.1482,0.000725,0.67,1.5,0.7,7.3,10.9,0.67,TP,True,FOMC,2025-11-05 18:00:00+00:00
EURUSD,2026-03-18,SHORT,2026-03-18 06:00:00+00:00,2026-03-18 07:00:00+00:00,1.1545,1.15368,1.15573,1.15368,0.000819,0.568,1.5,0.7,8.2,12.3,0.67,TP,True,FOMC,2026-03-18 18:00:00+00:00
EURUSD,2026-03-18,SHORT,2026-03-18 07:00:00+00:00,2026-03-18 10:00:00+00:00,1.1529,1.15191,1.15439,1.15439,0.000994,0.689,1.5,0.7,-14.9,14.9,-1.0,SL,False,FOMC,2026-03-18 18:00:00+00:00
USDJPY,2024-12-16,LONG,2024-12-16 08:00:00+00:00,2024-12-16 12:00:00+00:00,153.70799,153.91789,153.39314,153.91789,0.209902,0.699,1.5,0.7,21.0,31.5,0.67,TP,True,FOMC,2024-12-18 18:00:00+00:00
USDJPY,2024-12-17,SHORT,2024-12-17 00:00:00+00:00,2024-12-17 02:00:00+00:00,154.13,153.94102,154.41349,153.94102,0.188989,0.643,1.5,0.7,18.9,28.3,0.67,TP,True,FOMC,2024-12-18 18:00:00+00:00
USDJPY,2024-12-18,SHORT,2024-12-18 09:00:00+00:00,2024-12-18 13:00:00+00:00,153.615,153.41594,153.91359,153.91359,0.19906,0.698,1.5,0.7,-29.9,29.9,-1.0,SL,False,FOMC,2024-12-18 18:00:00+00:00
USDJPY,2024-12-18,SHORT,2024-12-18 14:00:00+00:00,2024-12-18 15:00:00+00:00,153.76601,153.5823,154.04157,154.04157,0.183708,0.646,1.5,0.7,-27.6,27.6,-1.0,SL,False,FOMC,2024-12-18 18:00:00+00:00
USDJPY,2025-03-18,SHORT,2025-03-18 04:00:00+00:00,2025-03-18 06:00:00+00:00,149.534,149.32443,149.84835,149.84835,0.209567,0.681,1.5,0.7,-31.4,31.4,-1.0,SL,False,FOMC,2025-03-19 18:00:00+00:00
USDJPY,2025-03-18,SHORT,2025-03-18 06:00:00+00:00,2025-03-18 14:00:00+00:00,149.72,149.51546,150.02681,149.51546,0.204537,0.663,1.5,0.7,20.5,30.7,0.67,TP,True,FOMC,2025-03-19 18:00:00+00:00
USDJPY,2025-03-18,LONG,2025-03-18 22:00:00+00:00,2025-03-19 00:00:00+00:00,149.39999,149.60885,149.08672,149.60885,0.208853,0.675,1.5,0.7,20.9,31.3,0.67,TP,True,FOMC,2025-03-19 18:00:00+00:00
USDJPY,2025-05-05,LONG,2025-05-05 21:00:00+00:00,2025-05-06 00:00:00+00:00,143.715,143.95501,143.35497,143.95501,0.240016,0.659,1.5,0.7,24.0,36.0,0.67,TP,True,FOMC,2025-05-07 18:00:00+00:00
USDJPY,2025-06-18,LONG,2025-06-18 09:00:00+00:00,2025-06-18 15:00:00+00:00,144.94299,145.12794,144.66558,144.66558,0.184942,0.693,1.5,0.7,-27.7,27.7,-1.0,SL,False,FOMC,2025-06-18 18:00:00+00:00
USDJPY,2025-09-15,LONG,2025-09-15 03:00:00+00:00,2025-09-15 06:00:00+00:00,147.438,147.5811,147.22336,147.5811,0.143099,0.698,1.5,0.7,14.3,21.5,0.67,TP,True,FOMC,2025-09-17 18:00:00+00:00
USDJPY,2025-09-15,LONG,2025-09-15 09:00:00+00:00,2025-09-16 01:00:00+00:00,147.381,147.52168,147.16997,147.52168,0.140684,0.689,1.5,0.7,14.1,21.1,0.67,TP,True,FOMC,2025-09-17 18:00:00+00:00
USDJPY,2025-09-16,SHORT,2025-09-16 01:00:00+00:00,2025-09-16 02:00:00+00:00,147.332,147.2004,147.5294,147.2004,0.131603,0.651,1.5,0.7,13.2,19.7,0.67,TP,True,FOMC,2025-09-17 18:00:00+00:00
