pair,date,direction,entry_ts,exit_ts,entry,tp,sl,exit_price,atr,vol_ratio,bb_std,vol_thresh,result_pips,sl_pips,rr,exit_reason,win,event,event_dt
EURUSD,2024-05-07,LONG,2024-05-07 02:00:00+00:00,2024-05-07 12:00:00+00:00,1.07676,1.0774,1.0758,1.0774,0.00064,0.616,1.5,0.7,6.4,9.6,0.67,TP,True,CPI,2024-05-08 12:30:00+00:00
EURUSD,2024-05-08,LONG,2024-05-08 03:00:00+00:00,2024-05-08 09:00:00+00:00,1.07456,1.07522,1.07357,1.07522,0.00066,0.651,1.5,0.7,6.6,9.9,0.67,TP,True,CPI,2024-05-08 12:30:00+00:00
EURUSD,2024-07-04,SHORT,2024-07-04 19:00:00+00:00,2024-07-05 03:00:00+00:00,1.08145,1.08096,1.08218,1.08218,0.000485,0.544,1.5,0.7,-7.3,7.3,-1.0,SL,False,NFP,2024-07-05 12:30:00+00:00
EURUSD,2024-07-05,SHORT,2024-07-05 05:00:00+00:00,2024-07-05 07:00:00+00:00,1.08239,1.08194,1.08305,1.08305,0.000442,0.502,1.5,0.7,-6.6,6.6,-1.0,SL,False,NFP,2024-07-05 12:30:00+00:00
EURUSD,2024-07-05,SHORT,2024-07-05 09:00:00+00:00,2024-07-05 11:00:00+00:00,1.08285,1.0823,1.08369,1.0823,0.000558,0.634,1.5,0.7,5.6,8.4,0.67,TP,True,NFP,2024-07-05 12:30:00+00:00
EURUSD,2024-07-10,SHORT,2024-07-10 07:00:00+00:00,2024-07-10 09:00:00+00:00,1.0818,1.08125,1.08262,1.08262,0.000548,0.646,1.5,0.7,-8.2,8.2,-1.0,SL,False,CPI,2024-07-10 12:30:00+00:00
EURUSD,2024-08-12,LONG,2024-08-12 00:00:00+00:00,2024-08-12 07:00:00+00:00,1.09228,1.09282,1.09147,1.09282,0.000542,0.609,1.5,0.7,5.4,8.1,0.67,TP,True,CPI,2024-08-14 12:30:00+00:00
EURUSD,2024-08-12,SHORT,2024-08-12 07:00:00+00:00,2024-08-12 10:00:00+00:00,1.09232,1.09171,1.09323,1.09323,0.000605,0.681,1.5,0.7,-9.1,9.1,-1.0,SL,False,CPI,2024-08-14 12:30:00+00:00
EURUSD,2024-08-13,SHORT,2024-08-13 03:00:00+00:00,2024-08-13 07:00:00+00:00,1.09387,1.09328,1.09476,1.09328,0.000591,0.666,1.5,0.7,5.9,8.9,0.67,TP,True,CPI,2024-08-14 12:30:00+00:00
EURUSD,2024-09-10,LONG,2024-09-10 00:00:00+00:00,2024-09-10 03:00:00+00:00,1.10349,1.10414,1.10251,1.10414,0.000655,0.68,1.5,0.7,6.5,9.8,0.67,TP,True,CPI,2024-09-11 12:30:00+00:00
EURUSD,2024-10-04,LONG,2024-10-04 08:00:00+00:00,2024-10-04 11:00:00+00:00,1.10288,1.10364,1.10174,1.10364,0.000762,0.695,1.5,0.7,7.6,11.4,0.67,TP,True,NFP,2024-10-04 12:30:00+00:00
EURUSD,2024-10-08,SHORT,2024-10-08 00:00:00+00:00,2024-10-08 07:00:00+00:00,1.09832,1.09756,1.09945,1.09945,0.000756,0.698,1.5,0.7,-11.3,11.3,-1.0,SL,False,CPI,2024-10-09 12:30:00+00:00
EURUSD,2024-10-09,LONG,2024-10-09 01:00:00+00:00,2024-10-09 04:00:00+00:00,1.09779,1.09853,1.09669,1.09669,0.000733,0.675,1.5,0.7,-11.0,11.0,-1.0,SL,False,CPI,2024-10-09 12:30:00+00:00
EURUSD,2024-10-09,LONG,2024-10-09 05:00:00+00:00,2024-10-09 07:00:00+00:00,1.09767,1.09841,1.09657,1.09657,0.000738,0.679,1.5,0.7,-11.1,11.1,-1.0,SL,False,CPI,2024-10-09 12:30:00+00:00
EURUSD,2024-12-10,LONG,2024-12-10 01:00:00+00:00,2024-12-10 06:00:00+00:00,1.05573,1.05663,1.05438,1.05663,0.0009,0.614,1.5,0.7,9.0,13.5,0.67,TP,True,CPI,2024-12-11 13:30:00+00:00
EURUSD,2025-01-02,SHORT,2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,1.03649,1.03565,1.03775,1.03565,0.00084,0.685,1.5,0.7,8.4,12.6,0.67,TP,True,NFP,2025-01-03 13:30:00+00:00
EURUSD,2025-02-06,LONG,2025-02-06 06:00:00+00:00,2025-02-06 07:00:00+00:00,1.03938,1.04022,1.03813,1.03813,0.000839,0.565,1.5,0.7,-12.6,12.6,-1.0,SL,False,NFP,2025-02-07 13:30:00+00:00
EURUSD,2025-02-07,SHORT,2025-02-07 09:00:00+00:00,2025-02-07 10:00:00+00:00,1.03929,1.03835,1.0407,1.03835,0.000941,0.632,1.5,0.7,9.4,14.1,0.67,TP,True,NFP,2025-02-07 13:30:00+00:00
EURUSD,2025-02-10,LONG,2025-02-10 22:00:00+00:00,2025-02-11 02:00:00+00:00,1.03092,1.03182,1.02957,1.02957,0.000901,0.608,1.5,0.7,-13.5,13.5,-1.0,SL,False,CPI,2025-02-12 13:30:00+00:00
EURUSD,2025-02-11,LONG,2025-02-11 03:00:00+00:00,2025-02-11 06:00:00+00:00,1.03018,1.03101,1.02893,1.03101,0.000832,0.564,1.5,0.7,8.3,12.5,0.67,TP,True,CPI,2025-02-12 13:30:00+00:00
