gate_th,time_max,trail,lot,cd,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R,gate_opens
-5%,24,1.5,0.1,0,IS,260,33.8,0.761,-27.19,-0.105,-1.733,30.96,2.72,21
-5%,24,1.5,0.1,0,OOS,108,27.8,0.412,-33.74,-0.312,-2.711,34.0,-1.48,22
-5%,24,1.5,0.1,12,IS,95,36.8,0.894,-4.15,-0.044,-0.387,9.35,2.62,21
-5%,24,1.5,0.1,12,OOS,34,35.3,0.425,-8.93,-0.263,-1.855,12.29,0.0,22
-5%,24,1.5,0.2,0,IS,260,33.8,0.761,-27.19,-0.105,-1.733,30.96,2.72,21
-5%,24,1.5,0.2,0,OOS,108,27.8,0.412,-33.74,-0.312,-2.711,34.0,-1.48,22
-5%,24,1.5,0.2,12,IS,95,36.8,0.894,-4.15,-0.044,-0.387,9.35,2.62,21
-5%,24,1.5,0.2,12,OOS,34,35.3,0.425,-8.93,-0.263,-1.855,12.29,0.0,22
-5%,24,2.0,0.1,0,IS,178,33.1,0.856,-9.91,-0.056,-0.712,16.8,6.72,21
-5%,24,2.0,0.1,0,OOS,82,22.0,0.372,-25.0,-0.305,-2.774,24.69,-0.21,22
-5%,24,2.0,0.1,12,IS,85,29.4,0.85,-4.65,-0.055,-0.503,9.18,4.89,21
-5%,24,2.0,0.1,12,OOS,31,32.3,0.606,-5.12,-0.165,-0.986,9.69,0.23,22
-5%,24,2.0,0.2,0,IS,178,33.1,0.856,-9.91,-0.056,-0.712,16.8,6.72,21
-5%,24,2.0,0.2,0,OOS,82,22.0,0.372,-25.0,-0.305,-2.774,24.69,-0.21,22
-5%,24,2.0,0.2,12,IS,85,29.4,0.85,-4.65,-0.055,-0.503,9.18,4.89,21
-5%,24,2.0,0.2,12,OOS,31,32.3,0.606,-5.12,-0.165,-0.986,9.69,0.23,22
-5%,24,3.0,0.1,0,IS,112,29.5,0.826,-6.41,-0.057,-0.682,8.89,3.82,21
-5%,24,3.0,0.1,0,OOS,54,16.7,0.254,-17.28,-0.32,-2.803,16.85,-0.83,22
-5%,24,3.0,0.1,12,IS,72,22.2,0.443,-14.94,-0.208,-2.258,14.91,-0.93,21
-5%,24,3.0,0.1,12,OOS,27,22.2,0.334,-6.04,-0.224,-1.886,8.22,-0.15,22
-5%,24,3.0,0.2,0,IS,112,29.5,0.826,-6.41,-0.057,-0.682,8.89,3.82,21
-5%,24,3.0,0.2,0,OOS,54,16.7,0.254,-17.28,-0.32,-2.803,16.85,-0.83,22
-5%,24,3.0,0.2,12,IS,72,22.2,0.443,-14.94,-0.208,-2.258,14.91,-0.93,21
-5%,24,3.0,0.2,12,OOS,27,22.2,0.334,-6.04,-0.224,-1.886,8.22,-0.15,22
-5%,48,1.5,0.1,0,IS,260,33.8,0.761,-27.19,-0.105,-1.733,30.96,2.72,21
-5%,48,1.5,0.1,0,OOS,108,27.8,0.412,-33.74,-0.312,-2.711,34.0,-1.48,22
-5%,48,1.5,0.1,12,IS,95,36.8,0.894,-4.15,-0.044,-0.387,9.35,2.62,21
