metric,grid,daily_all,daily_active,weekly,start,trough,grid_pnl,dd_depth,trend_R,R_yen,pf,maxDD,net,ratio
corr,GBPJPY,-0.045,-0.053,0.012,,,,,,,,,,
corr,CHFJPY,0.028,0.032,-0.09,,,,,,,,,,
corr,NZDJPY,0.0,0.001,0.058,,,,,,,,,,
corr,AUDCAD,-0.016,-0.018,-0.047,,,,,,,,,,
corr,COMBINED,-0.01,-0.011,-0.048,,,,,,,,,,
ddwin1,COMBINED,,,,2025-03-16,2025-05-13,-4774197.0,-4774197.0,-0.39,,,,,
ddwin2,COMBINED,,,,2024-10-22,2024-11-08,-2184270.0,-2578782.0,0.0,,,,,
ddwin3,COMBINED,,,,2024-06-10,2024-07-31,-2367177.0,-2466639.0,1.59,,,,,
ddwin4,COMBINED,,,,2026-03-09,2026-03-13,-897584.0,-1148762.0,0.0,,,,,
ddwin5,COMBINED,,,,2026-04-06,2026-04-07,-345089.0,-373192.0,0.0,,,,,
ddwin_gbpjpy1,GBPJPY,,,,2025-03-16,2025-05-01,-3291133.0,-3291133.0,-0.39,,,,,
ddwin_gbpjpy2,GBPJPY,,,,2024-10-27,2024-10-28,-1624696.0,-1624696.0,0.0,,,,,
blend,GBPJPY,,,,,,,,,0.0,1.99,3291133.0,5965956.0,
blend,GBPJPY,,,,,,,,,10000.0,1.986,3297050.0,5995070.0,
blend,GBPJPY,,,,,,,,,25000.0,1.981,3305925.0,6038741.0,
blend,GBPJPY,,,,,,,,,50000.0,1.973,3320717.0,6111526.0,
blend,GBPJPY,,,,,,,,,100000.0,1.957,3350301.0,6257097.0,
blend,GBPJPY,,,,,,,,,200000.0,1.93,3409470.0,6548238.0,
blend,GBPJPY,,,,,,,,,400000.0,1.885,3527806.0,7130521.0,
blend_ratio,GBPJPY,,,,,,,,,130650.0,1.948,3368437.0,6346333.0,10:1
blend_ratio,GBPJPY,,,,,,,,,261301.0,1.914,3445740.0,6726711.0,5:1
blend_ratio,GBPJPY,,,,,,,,,435502.0,1.878,3548812.0,7233881.0,3:1
blend,COMBINED,,,,,,,,,0.0,1.137,4774197.0,4117692.0,
blend,COMBINED,,,,,,,,,10000.0,1.138,4780114.0,4146806.0,
blend,COMBINED,,,,,,,,,25000.0,1.139,4788989.0,4190478.0,
blend,COMBINED,,,,,,,,,50000.0,1.142,4803781.0,4263263.0,
blend,COMBINED,,,,,,,,,100000.0,1.146,4833365.0,4408834.0,
blend,COMBINED,,,,,,,,,200000.0,1.154,4892533.0,4699975.0,
blend,COMBINED,,,,,,,,,400000.0,1.168,5054237.0,5282257.0,
blend_ratio,COMBINED,,,,,,,,,465421.0,1.172,5121267.0,5472725.0,10:1
blend_ratio,COMBINED,,,,,,,,,930842.0,1.201,5710613.0,6827758.0,5:1
blend_ratio,COMBINED,,,,,,,,,1551403.0,1.232,6778896.0,8634468.0,3:1
