dc,adx_th,trail,atr_p,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R
10,OFF,2.0,10,IS,116,38.8,0.954,-2.07,-0.018,-0.168,14.33,6.05
10,OFF,2.0,10,OOS,71,35.2,0.705,-8.98,-0.127,-1.071,13.67,-0.19
10,OFF,2.0,14,IS,117,38.5,0.943,-2.67,-0.023,-0.212,14.37,5.37
10,OFF,2.0,14,OOS,69,36.2,0.719,-8.34,-0.121,-0.99,13.16,0.21
10,OFF,2.0,20,IS,116,37.9,1.054,2.43,0.021,0.193,13.6,4.63
10,OFF,2.0,20,OOS,69,36.2,0.786,-6.34,-0.092,-0.69,10.51,0.11
10,OFF,3.0,10,IS,83,41.0,0.746,-7.25,-0.087,-0.809,16.01,1.14
10,OFF,3.0,10,OOS,44,38.6,0.761,-3.99,-0.091,-0.695,4.96,0.55
10,OFF,3.0,14,IS,83,38.6,0.731,-8.19,-0.099,-0.859,16.9,1.05
10,OFF,3.0,14,OOS,45,37.8,0.688,-5.55,-0.123,-0.954,5.76,0.59
10,OFF,3.0,20,IS,82,40.2,0.765,-7.32,-0.089,-0.726,17.15,1.12
10,OFF,3.0,20,OOS,45,35.6,0.658,-6.33,-0.141,-1.07,6.51,0.51
10,OFF,4.0,10,IS,59,45.8,1.035,0.57,0.01,0.078,7.31,4.67
10,OFF,4.0,10,OOS,34,47.1,0.71,-3.32,-0.098,-0.751,3.74,0.33
10,OFF,4.0,14,IS,57,43.9,1.064,1.08,0.019,0.132,7.78,4.99
10,OFF,4.0,14,OOS,34,44.1,0.659,-4.13,-0.122,-0.905,4.24,0.29
10,OFF,4.0,20,IS,57,42.1,1.078,1.31,0.023,0.162,8.25,3.77
10,OFF,4.0,20,OOS,34,44.1,0.634,-4.66,-0.137,-0.987,4.91,0.24
10,20,2.0,10,IS,89,37.1,0.902,-3.22,-0.036,-0.3,15.09,5.84
10,20,2.0,10,OOS,53,37.7,0.706,-6.24,-0.118,-0.936,8.31,-0.13
10,20,2.0,14,IS,91,36.3,0.877,-4.3,-0.047,-0.39,15.09,5.18
