pair,dc_period,tp_atr_mult,sl_atr_mult,adx_threshold,use_200ma,use_chop,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_hold_hours
EURJPY,40,2.0,1.5,25,False,True,181,48.62,1.311,26.53,8.2
EURJPY,40,2.0,1.0,25,False,True,195,37.44,1.298,31.33,6.1
EURJPY,40,2.0,1.5,30,False,True,123,49.59,1.293,15.8,8.7
EURJPY,60,4.0,1.5,20,False,False,209,33.97,1.291,23.82,14.8
EURJPY,60,4.0,1.5,20,True,False,198,33.84,1.289,23.51,15.3
EURJPY,60,4.0,1.5,20,False,True,188,33.51,1.283,27.88,16.1
EURJPY,60,2.0,1.5,25,False,True,160,48.75,1.277,25.95,8.2
EURJPY,40,2.0,2.0,25,False,True,176,54.55,1.277,24.21,11.1
EURJPY,60,4.0,1.5,20,True,True,181,33.15,1.274,27.84,16.5
EURJPY,20,4.0,1.5,25,True,True,143,33.57,1.261,29.49,17.7
EURUSD,60,2.0,1.0,30,True,False,156,39.1,1.261,21.05,4.7
EURJPY,20,2.0,1.5,25,True,True,179,48.04,1.257,27.71,8.5
EURJPY,60,2.0,1.0,25,False,True,174,36.78,1.257,35.31,5.8
EURJPY,60,3.0,2.0,25,False,True,136,46.32,1.253,34.91,17.4
EURJPY,60,4.0,1.5,25,False,True,131,33.59,1.24,40.05,17.0
EURJPY,60,2.0,2.0,25,False,True,156,54.49,1.239,28.02,11.1
EURJPY,20,2.0,1.5,30,True,True,124,48.39,1.233,18.8,9.0
EURJPY,20,2.0,1.5,30,False,True,139,48.92,1.227,16.85,8.9
EURJPY,40,3.0,1.5,30,False,True,111,39.64,1.222,28.7,13.1
EURJPY,40,3.0,2.0,25,False,True,154,45.45,1.221,27.52,17.1
EURJPY,20,2.0,1.0,25,True,True,194,36.08,1.218,34.42,6.2
EURJPY,60,4.0,1.0,20,False,False,241,23.65,1.216,33.98,9.6
EURJPY,60,2.0,1.5,25,True,True,157,47.77,1.215,37.31,8.2
EURJPY,60,4.0,2.0,20,False,True,180,40.56,1.212,31.75,19.5
EURJPY,60,2.0,1.5,30,False,True,118,48.31,1.207,28.98,8.5
EURJPY,20,3.0,1.5,30,True,True,111,38.74,1.204,27.95,13.6
EURJPY,60,4.0,1.5,25,False,False,148,32.43,1.203,37.14,15.8
EURJPY,40,2.0,1.5,25,False,False,210,46.67,1.202,31.27,8.2
EURJPY,60,4.0,1.0,20,True,False,229,23.14,1.199,41.25,9.9
EURUSD,60,2.0,1.0,30,False,False,160,38.12,1.199,21.05,4.7
EURJPY,40,4.0,1.0,20,True,True,224,22.32,1.198,41.16,10.8
EURJPY,40,2.0,1.5,30,True,True,120,47.5,1.196,20.16,9.0
EURJPY,60,4.0,2.0,20,False,False,197,39.59,1.195,28.84,18.3
EURJPY,60,4.0,1.5,25,True,True,128,32.81,1.194,53.73,17.1
EURJPY,40,2.0,1.0,25,False,False,229,36.24,1.194,33.8,6.0
EURJPY,20,3.0,1.5,30,False,True,127,38.58,1.193,25.92,13.7
EURJPY,40,4.0,1.0,25,False,True,164,22.56,1.192,31.77,11.1
EURJPY,60,3.0,1.5,25,False,True,140,39.29,1.192,34.23,13.3
EURJPY,60,2.0,1.0,25,True,True,171,35.67,1.191,43.87,5.8
EURJPY,60,4.0,2.0,20,True,True,173,39.88,1.189,40.99,20.0
EURUSD,60,2.0,1.0,30,True,True,143,37.06,1.189,23.66,4.7
EURJPY,60,3.0,2.0,25,True,True,133,45.11,1.189,44.19,17.3
EURJPY,40,2.0,1.5,30,False,False,142,47.18,1.188,20.13,8.2
EURJPY,60,4.0,2.0,25,False,True,128,38.28,1.188,42.51,22.1
EURJPY,60,2.0,1.0,25,False,False,201,36.32,1.186,36.71,5.7
EURJPY,40,2.0,2.0,25,False,False,201,53.23,1.184,31.46,11.0
EURJPY,40,2.0,2.0,30,False,True,121,53.72,1.184,27.64,10.3
EURJPY,40,2.0,1.5,25,True,True,173,46.24,1.181,39.8,8.3
EURJPY,40,4.0,1.0,20,True,False,255,22.35,1.181,36.95,10.0
EURJPY,40,3.0,1.0,25,False,True,176,28.41,1.176,36.72,8.6
EURJPY,20,3.0,1.5,25,True,True,154,38.31,1.175,32.04,13.4
EURJPY,60,4.0,2.0,20,True,False,187,39.04,1.172,33.21,19.0
USDJPY,40,3.0,1.5,25,False,True,204,34.8,1.171,29.12,12.0
EURJPY,20,2.0,2.0,30,True,True,120,53.33,1.171,23.42,11.0
EURJPY,60,2.0,2.0,25,True,True,152,53.29,1.169,42.81,11.3
GBPUSD,20,3.0,1.0,25,True,True,239,29.71,1.169,19.87,7.7
EURUSD,40,2.0,1.0,30,True,False,166,37.35,1.168,21.84,4.7
EURJPY,20,4.0,1.5,30,True,False,117,30.77,1.164,28.81,15.9
EURJPY,20,2.0,2.0,25,True,True,173,52.6,1.163,34.36,11.2
EURJPY,40,2.0,2.0,30,False,False,135,53.33,1.162,31.32,10.2
GBPJPY,20,4.0,1.0,30,True,True,127,23.62,1.162,52.95,10.5
EURJPY,20,4.0,1.0,25,True,True,163,22.09,1.162,37.81,11.6
GBPJPY,40,4.0,1.5,25,False,False,177,32.2,1.161,80.34,15.8
EURJPY,60,4.0,1.0,20,False,True,211,22.75,1.161,48.98,10.4
EURJPY,20,3.0,2.0,25,True,True,150,44.0,1.159,40.16,17.2
EURJPY,40,4.0,1.5,30,False,False,117,30.77,1.159,32.55,15.5
EURJPY,60,3.0,1.5,25,True,True,137,38.69,1.159,40.57,13.1
EURJPY,20,4.0,1.0,20,True,True,253,22.53,1.158,45.79,10.8
EURUSD,60,4.0,1.0,30,True,False,137,24.09,1.158,27.09,8.9
EURJPY,20,4.0,1.0,25,True,False,188,21.81,1.157,35.62,11.1
GBPUSD,20,3.0,1.0,25,True,False,262,29.39,1.155,27.03,7.7
EURJPY,40,3.0,1.5,30,True,True,108,37.96,1.155,34.05,13.3
EURJPY,40,2.0,1.0,25,True,True,187,34.76,1.154,48.32,6.0
EURJPY,20,2.0,1.5,25,False,True,212,46.7,1.152,35.72,8.3
EURJPY,60,2.0,1.5,25,False,False,185,46.49,1.149,37.33,7.9
EURJPY,60,4.0,2.0,25,False,False,141,36.88,1.149,38.07,20.7
EURJPY,60,2.0,1.5,30,True,True,117,47.01,1.148,28.98,8.6
EURJPY,20,3.0,1.0,25,True,True,173,27.75,1.148,42.38,8.9
EURJPY,60,4.0,1.5,25,True,False,143,31.47,1.147,51.33,16.1
GBPJPY,40,2.0,1.0,30,True,False,155,36.13,1.144,47.7,5.8
EURJPY,60,3.0,2.0,25,False,False,156,44.23,1.144,44.5,16.2
EURJPY,60,4.0,1.0,20,True,True,203,22.17,1.143,56.69,10.6
