metric,grid,daily_all,daily_active,weekly,start,trough,grid_pnl,dd_depth,statarb_jpy,ratio,pf,maxDD,net,k
corr,GBPJPY,-0.024,0.002,0.074,,,,,,,,,,
corr,CHFJPY,0.001,-0.007,0.06,,,,,,,,,,
corr,NZDJPY,-0.008,-0.01,0.094,,,,,,,,,,
corr,AUDCAD,-0.007,0.002,-0.012,,,,,,,,,,
corr,COMBINED,-0.019,-0.011,0.098,,,,,,,,,,
ddwin1,COMBINED,,,,2025-03-16,2025-05-13,-4774197.0,-4774197.0,-15500.0,,,,,
ddwin2,COMBINED,,,,2024-10-22,2024-11-08,-2184270.0,-2578782.0,-5159.0,,,,,
ddwin3,COMBINED,,,,2026-03-09,2026-03-13,-897584.0,-1148762.0,-2714.0,,,,,
ddwin4,COMBINED,,,,2024-09-08,2024-09-09,-444373.0,-509373.0,-265.0,,,,,
ddwin5,COMBINED,,,,2026-04-06,2026-04-07,-345089.0,-373192.0,182.0,,,,,
blend,,,,,,,,,,grid_only,1.198,4774197.0,5133641.0,
blend,,,,,,,,,,statarb_only,0.151,111928.0,-111823.0,
blend,,,,,,,,,,10:1,1.033,6794038.0,926236.0,37.626
blend,,,,,,,,,,5:1,0.893,8938235.0,-3281169.0,75.251
blend,,,,,,,,,,3:1,0.747,13110145.0,-8891043.0,125.419
