pair,fake_pips,tp_ratio,n,wins,wr_%,pf,avg_rr,avg_win_p,avg_loss_p,total_p,max_dd_p,dd_%,sharpe,adopt,n_tp,n_sl,n_to
ALL,3,0.3,629,238,37.8,0.764,1.25,20.3,-16.2,-1495.7,-1677.1,1867.6,-1.83,False,224,383,22
ALL,3,0.5,629,194,30.8,0.795,1.78,28.9,-16.2,-1444.6,-1754.4,931.7,-1.72,False,148,417,64
ALL,3,0.7,629,176,28.0,0.799,2.06,33.0,-16.1,-1463.4,-1737.6,860.6,-1.73,False,94,430,105
ALL,3,1.0,629,171,27.2,0.816,2.19,35.1,-16.1,-1354.8,-1656.8,722.9,-1.48,False,56,435,138
ALL,5,0.3,469,198,42.2,0.753,1.03,21.0,-20.4,-1364.7,-1564.6,1234.9,-1.54,False,184,260,25
ALL,5,0.5,469,157,33.5,0.74,1.47,29.7,-20.2,-1638.7,-1950.9,954.0,-1.92,False,114,290,65
ALL,5,0.7,469,143,30.5,0.721,1.64,32.8,-20.0,-1817.4,-2070.0,971.8,-2.06,False,66,300,103
ALL,5,1.0,469,139,29.6,0.726,1.72,34.5,-20.0,-1805.6,-2085.8,936.6,-1.9,False,39,304,126
ALL,7,0.3,306,146,47.7,0.803,0.88,22.4,-25.4,-800.4,-974.6,984.4,-0.93,False,135,151,20
ALL,7,0.5,306,116,37.9,0.767,1.26,31.3,-24.9,-1103.0,-1411.0,601.4,-1.12,False,81,170,55
ALL,7,0.7,306,107,35.0,0.743,1.38,34.0,-24.6,-1260.1,-1501.0,653.7,-1.38,False,49,176,81
ALL,7,1.0,306,104,34.0,0.763,1.48,36.5,-24.6,-1178.0,-1507.8,475.6,-1.12,False,28,179,99
ALL,10,0.3,178,85,47.8,0.728,0.8,25.5,-32.0,-807.7,-959.2,1004.4,-1.25,False,82,84,12
ALL,10,0.5,178,67,37.6,0.678,1.12,35.2,-31.4,-1120.1,-1315.3,983.8,-1.57,False,48,94,36
ALL,10,0.7,178,62,34.8,0.624,1.17,36.3,-31.1,-1353.7,-1482.5,1151.0,-2.1,False,22,98,58
ALL,10,1.0,178,61,34.3,0.636,1.22,38.0,-31.1,-1325.9,-1436.3,1301.0,-1.85,False,13,99,66
