pair,date,direction,entry_ts,exit_ts,entry,tp,sl,exit_price,tok_high,tok_low,tok_range_p,result_pips,sl_pips,rr,exit_reason,win,fake_pips,tp_ratio
GBPJPY,2024-06-10,LONG,2024-06-10 14:05:00+00:00,2024-06-10 15:25:00+00:00,199.437,199.7095,199.274,199.7095,199.924,199.379,54.5,27.2,16.3,1.67,TP,True,5,0.5
GBPJPY,2024-06-11,LONG,2024-06-11 14:05:00+00:00,2024-06-11 15:05:00+00:00,199.893,200.168,199.625,200.168,200.39101,199.841,55.0,27.5,26.8,1.03,TP,True,5,0.5
GBPJPY,2024-06-12,LONG,2024-06-12 14:00:00+00:00,2024-06-12 18:15:00+00:00,200.226,200.5555,199.902,200.5555,200.711,200.052,65.9,32.9,32.4,1.02,TP,True,5,0.5
GBPJPY,2024-06-18,SHORT,2024-06-18 14:25:00+00:00,2024-06-18 15:15:00+00:00,200.719,200.34649,200.891,200.34649,200.76801,200.02299,74.5,37.3,17.2,2.17,TP,True,5,0.5
GBPJPY,2024-06-19,SHORT,2024-06-19 15:20:00+00:00,2024-06-19 20:00:00+00:00,200.87,200.602,201.019,200.949,200.918,200.382,53.6,-7.9,14.9,-0.53,TIMEOUT,False,5,0.5
GBPJPY,2024-06-20,SHORT,2024-06-20 14:45:00+00:00,2024-06-20 20:00:00+00:00,201.185,200.9625,201.41,201.219,201.27699,200.832,44.5,-3.4,22.5,-0.15,TIMEOUT,False,5,0.5
GBPJPY,2024-06-21,SHORT,2024-06-21 14:35:00+00:00,2024-06-21 16:40:00+00:00,201.419,200.911,201.616,201.616,201.453,200.437,101.6,-19.7,19.7,-1.0,SL,False,5,0.5
GBPJPY,2024-06-26,LONG,2024-06-26 13:05:00+00:00,2024-06-26 13:30:00+00:00,202.705,202.9005,202.359,202.9005,202.871,202.48,39.1,19.6,34.6,0.57,TP,True,5,0.5
GBPJPY,2024-06-28,LONG,2024-06-28 14:50:00+00:00,2024-06-28 20:00:00+00:00,203.233,203.4725,202.864,203.391,203.588,203.10899,47.9,15.8,36.9,0.43,TIMEOUT,True,5,0.5
GBPJPY,2024-07-04,LONG,2024-07-04 13:30:00+00:00,2024-07-04 20:00:00+00:00,205.547,205.8025,205.391,205.753,206.004,205.493,51.1,20.6,15.6,1.32,TIMEOUT,True,5,0.5
GBPJPY,2024-07-18,SHORT,2024-07-18 15:40:00+00:00,2024-07-18 16:35:00+00:00,203.52,202.8375,203.719,203.719,203.58299,202.218,136.5,-19.9,19.9,-1.0,SL,False,5,0.5
GBPJPY,2024-07-26,LONG,2024-07-26 14:15:00+00:00,2024-07-26 16:25:00+00:00,197.264,198.0055,196.806,198.0055,198.664,197.181,148.3,74.2,45.8,1.62,TP,True,5,0.5
GBPJPY,2024-07-30,LONG,2024-07-30 15:00:00+00:00,2024-07-30 15:40:00+00:00,197.754,198.7465,197.311,197.311,199.47,197.485,198.5,-44.3,44.3,-1.0,SL,False,5,0.5
GBPJPY,2024-07-31,LONG,2024-07-31 14:05:00+00:00,2024-07-31 20:00:00+00:00,192.568,195.1185,192.253,192.578,197.592,192.491,510.1,1.0,31.5,0.03,TIMEOUT,True,5,0.5
GBPJPY,2024-08-06,LONG,2024-08-06 14:15:00+00:00,2024-08-06 14:30:00+00:00,184.109,185.6515,183.798,183.798,187.089,184.004,308.5,-31.1,31.1,-1.0,SL,False,5,0.5
GBPJPY,2024-08-14,SHORT,2024-08-14 13:05:00+00:00,2024-08-14 15:10:00+00:00,189.204,188.45749,189.477,188.45749,189.35001,187.85699,149.3,74.7,27.3,2.73,TP,True,5,0.5
GBPJPY,2024-08-21,SHORT,2024-08-21 14:10:00+00:00,2024-08-21 14:35:00+00:00,190.126,189.453,190.657,190.657,190.295,188.94901,134.6,-53.1,53.1,-1.0,SL,False,5,0.5
