pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
USDJPY,LONG,2016-01-27 15:00:00,2016-01-29 03:00:00,118.654,119.41647,117.89153,119.41647,0.998,0.76247,0.74247,TP,36
USDJPY,LONG,2016-03-01 15:00:00,2016-03-01 16:00:00,113.337,113.59141,113.08259,113.59141,0.333,0.25441,0.23441,TP,1
USDJPY,LONG,2016-04-19 09:00:00,2016-04-22 06:00:00,109.37,110.54045,108.19955,110.54045,1.532,1.17045,1.15045,TP,69
USDJPY,LONG,2016-05-12 11:00:00,2016-05-15 22:00:00,109.372,108.49722,108.49722,110.24678,1.145,-0.87478,-0.89478,SL,35
USDJPY,LONG,2016-07-18 22:00:00,2016-07-26 00:00:00,106.316,105.02713,105.02713,107.60487,1.687,-1.28887,-1.30887,SL,122
USDJPY,SHORT,2016-07-28 22:00:00,2016-07-29 16:00:00,104.099,102.23026,105.96774,102.23026,2.446,1.86874,1.84874,TP,18
USDJPY,LONG,2016-08-26 14:00:00,2016-08-26 15:00:00,100.541,100.90696,100.17504,100.90696,0.479,0.36596,0.34596,TP,1
USDJPY,LONG,2016-09-16 18:00:00,2016-09-16 19:00:00,102.427,102.31164,102.31164,102.54236,0.151,-0.11536,-0.13536,SL,1
USDJPY,SHORT,2016-09-21 11:00:00,2016-10-04 02:00:00,101.012,102.36581,102.36581,99.65819,1.772,-1.35381,-1.37381,SL,208
USDJPY,SHORT,2016-11-09 02:00:00,2016-11-09 16:00:00,102.548,104.77812,104.77812,100.31788,2.919,-2.23012,-2.25012,SL,14
USDJPY,SHORT,2016-12-28 22:00:00,2016-12-29 06:00:00,117.004,116.38592,117.62208,116.38592,0.809,0.61808,0.59808,TP,8
USDJPY,SHORT,2017-01-09 22:00:00,2017-01-12 06:00:00,115.665,114.23861,117.09139,114.23861,1.867,1.42639,1.40639,TP,56
USDJPY,SHORT,2017-02-06 13:00:00,2017-02-09 15:00:00,112.053,113.1333,113.1333,110.9727,1.414,-1.0803,-1.1003,SL,74
USDJPY,LONG,2017-02-14 15:00:00,2017-02-15 13:00:00,114.167,114.86759,113.46641,114.86759,0.917,0.70059,0.68059,TP,22
USDJPY,SHORT,2017-02-22 10:00:00,2017-02-22 19:00:00,113.077,113.61256,113.61256,112.54144,0.701,-0.53556,-0.55556,SL,9
USDJPY,LONG,2017-03-08 14:00:00,2017-03-15 18:00:00,114.748,113.8396,113.8396,115.6564,1.189,-0.9084,-0.9284,SL,125
USDJPY,SHORT,2017-03-26 22:00:00,2017-03-28 18:00:00,110.627,111.16791,111.16791,110.08609,0.708,-0.54091,-0.56091,SL,44
